Date,Hours From Start,Area,MayHavePlant
2023-01-03_0905,0,1,False
2023-02-21_1427,1181,0,False
2023-02-21_1505,1182,0,False
2023-02-21_2305,1190,0,False
2023-02-22_0905,1200,0,False
2023-02-23_1527,1230,1,False
2023-02-23_1609,1231,0,False
2023-02-23_1647,1231,0,False
2023-02-23_1705,1232,0,False
2023-02-23_2005,1235,0,False
2023-02-23_2107,1236,0,False
2023-02-24_1105,1250,0,False
2023-02-24_1205,1251,0,False
2023-02-24_1405,1253,0,False
2023-02-24_1505,1254,0,False
2023-02-24_1605,1255,0,False
2023-02-24_1705,1256,0,False
2023-02-27_1005,1321,0,False
2023-02-27_1105,1322,0,False
2023-02-27_1205,1323,0,False
2023-02-27_1305,1324,0,False
2023-02-27_1405,1325,0,False
2023-02-27_1505,1326,0,False
2023-02-27_1605,1327,0,False
2023-02-27_1705,1328,0,False
2023-02-28_1305,1348,0,False
2023-02-28_1405,1349,0,False
2023-02-28_1505,1350,0,False
2023-02-28_1605,1351,0,False
2023-02-28_1633,1351,0,False
2023-02-28_1705,1352,0,False
2023-02-28_1734,1352,0,False
2023-02-28_1737,1352,0,False
2023-02-28_1750,1352,0,False
2023-02-28_1805,1353,0,False
2023-02-28_1905,1354,0,False
2023-02-28_1942,1354,0,False
2023-02-28_2005,1355,0,False
2023-02-28_2105,1356,0,False
2023-02-28_2205,1357,0,False
2023-02-28_2305,1358,1,False
2023-03-01_0005,1359,0,False
2023-03-01_0105,1360,0,False
2023-03-01_0205,1361,0,False
2023-03-01_0305,1362,1,False
2023-03-01_0405,1363,0,False
2023-03-01_0505,1364,0,False
2023-03-01_0605,1365,0,False
2023-03-01_0705,1366,0,False
2023-03-01_0805,1367,0,False
2023-03-01_0905,1368,0,False
2023-03-01_1005,1369,0,False
2023-03-01_1105,1370,0,False
2023-03-01_1205,1371,0,False
2023-03-01_1305,1372,0,False
2023-03-01_1405,1373,0,False
2023-03-01_1505,1374,0,False
2023-03-01_1605,1375,0,False
2023-03-01_1705,1376,0,False
2023-03-01_1805,1377,0,False
2023-03-02_1005,1393,0,False
2023-03-02_1105,1394,0,False
2023-03-02_1146,1394,0,False
2023-03-02_1205,1395,0,False
2023-03-02_1305,1396,0,False
2023-03-02_1405,1397,0,False
2023-03-02_1505,1398,0,False
2023-03-02_1605,1399,0,False
2023-03-02_1654,1399,0,False
2023-03-02_1705,1400,0,False
2023-03-03_1005,1417,7,False
2023-03-03_1105,1418,0,False
2023-03-03_1205,1419,0,False
2023-03-03_1305,1420,0,False
2023-03-03_1405,1421,2,False
2023-03-03_1505,1422,0,False
2023-03-03_1605,1423,0,False
2023-03-03_1705,1424,0,False
2023-03-03_1805,1425,0,False
2023-03-06_1105,1490,0,False
2023-03-06_1205,1491,0,False
2023-03-06_1305,1492,0,False
2023-03-06_1405,1493,0,False
2023-03-06_1505,1494,0,False
2023-03-06_1605,1495,0,False
2023-03-06_1705,1496,0,False
2023-03-06_1805,1497,0,False
2023-03-06_1905,1498,0,False
2023-03-07_0905,1512,0,False
2023-03-07_1205,1515,0,False
2023-03-07_1305,1516,0,False
2023-03-07_1405,1517,0,False
2023-03-07_1505,1518,0,False
2023-03-07_1605,1519,0,False
2023-03-07_1705,1520,0,False
2023-03-07_1805,1521,0,False
2023-03-14_1105,1681,0,False
2023-03-14_1205,1682,0,False
2023-03-14_1305,1683,0,False
2023-03-14_1405,1684,0,False
2023-03-14_1505,1685,0,False
2023-03-14_1605,1686,0,False
2023-03-14_1705,1687,0,False
2023-03-15_1105,1705,0,False
2023-03-15_1205,1706,0,False
2023-03-15_1305,1707,0,False
2023-03-15_1405,1708,0,False
2023-03-15_1505,1709,0,False
2023-03-15_1605,1710,0,False
2023-03-15_1705,1711,0,False
2023-03-15_1805,1712,0,False
2023-03-15_1905,1713,0,False
2023-03-23_1305,1899,0,False
2023-03-23_1405,1900,2,False
2023-03-23_1505,1901,0,False
2023-03-23_1605,1902,0,False
2023-03-23_1705,1903,0,False
2023-03-23_1805,1904,1,False
2023-03-23_1905,1905,1,False
2023-03-23_2005,1906,1,False
2023-03-23_2105,1907,1,False
2023-03-23_2205,1908,0,False
2023-03-23_2305,1909,2,False
2023-03-24_0005,1910,0,False
2023-03-24_0105,1911,0,False
2023-03-24_0205,1912,0,False
2023-03-24_0305,1913,0,False
2023-03-24_0405,1914,0,False
2023-03-24_0505,1915,0,False
2023-03-24_0605,1916,0,False
2023-03-24_0705,1917,0,False
2023-03-24_0805,1918,0,False
2023-03-24_0905,1919,0,False
2023-03-24_1005,1920,0,False
2023-03-24_1105,1921,0,False
2023-03-24_1205,1922,0,False
2023-03-24_1305,1923,0,False
2023-03-24_1405,1924,1,False
2023-03-24_1505,1925,0,False
2023-03-24_1605,1926,0,False
2023-03-24_1705,1927,0,False
2023-03-24_1805,1928,1,False
2023-03-24_1905,1929,0,False
2023-03-24_2005,1930,0,False
2023-03-24_2105,1931,0,False
2023-03-24_2205,1932,0,False
2023-03-24_2305,1933,1,False
2023-03-25_0005,1934,0,False
2023-03-25_0105,1935,0,False
2023-03-25_0205,1936,2,False
2023-03-25_0305,1937,0,False
2023-03-25_0405,1938,0,False
2023-03-25_0505,1939,0,False
2023-03-25_0605,1940,1611,False
2023-03-25_0705,1941,0,False
2023-03-25_0805,1942,0,False
2023-03-25_0905,1943,1,False
2023-03-25_1005,1944,0,False
2023-03-25_1105,1945,0,False
2023-03-25_1205,1946,0,False
2023-03-25_1305,1947,0,False
2023-03-25_1405,1948,0,False
2023-03-25_1505,1949,1,False
2023-03-25_1605,1950,0,False
2023-03-25_1705,1951,0,False
2023-03-25_1805,1952,0,False
2023-03-25_1905,1953,2,False
2023-03-25_2005,1954,0,False
2023-03-25_2105,1955,2,False
2023-03-25_2205,1956,1,False
2023-03-25_2305,1957,0,False
2023-03-26_0005,1958,0,False
2023-03-26_0105,1959,1,False
2023-03-26_0205,1960,2293,False
2023-03-26_0305,1961,0,False
2023-03-26_0405,1962,1521,False
2023-03-26_0505,1963,1,False
2023-03-26_0605,1964,1,False
2023-03-26_0705,1965,2,False
2023-03-26_0805,1966,0,False
2023-03-26_0905,1967,2535,False
2023-03-26_1005,1968,0,False
2023-03-26_1105,1969,0,False
2023-03-26_1205,1970,0,False
2023-03-26_1305,1971,0,False
2023-03-26_1405,1972,0,False
2023-03-26_1505,1973,1,False
2023-03-26_1605,1974,0,False
2023-03-26_1705,1975,1,False
2023-03-26_1805,1976,0,False
2023-03-26_1905,1977,0,False
2023-03-26_2005,1978,0,False
2023-03-26_2105,1979,0,False
2023-03-26_2205,1980,0,False
2023-03-26_2305,1981,2,False
2023-03-27_0005,1982,0,False
2023-03-27_0105,1983,0,False
2023-03-27_0205,1984,0,False
2023-03-27_0305,1985,0,False
2023-03-27_0405,1986,0,False
2023-03-27_0505,1987,0,False
2023-03-27_0605,1988,0,False
2023-03-27_0705,1989,0,False
2023-03-27_0805,1990,1,False
2023-03-27_0905,1991,0,False
2023-03-27_1005,1992,0,False
2023-03-27_1105,1993,0,False
2023-03-27_1205,1994,3,False
2023-03-27_1305,1995,1,False
2023-03-27_1405,1996,0,False
2023-03-27_1505,1997,0,False
2023-03-27_1605,1998,0,False
2023-03-27_1705,1999,1,False
2023-03-27_1805,2000,0,False
2023-03-30_1005,2064,0,False
2023-03-30_1105,2065,0,False
2023-03-30_1205,2066,7,False
2023-03-30_1305,2067,5,False
2023-03-30_1405,2068,1,False
2023-03-30_1505,2069,0,False
2023-03-30_1605,2070,0,False
2023-03-30_1705,2071,0,False
2023-03-30_1805,2072,0,False
2023-03-30_1905,2073,0,False
2023-03-30_2005,2074,0,False
2023-03-30_2105,2075,0,False
2023-03-30_2205,2076,0,False
2023-03-30_2305,2077,0,False
2023-03-31_0005,2078,0,False
2023-03-31_0105,2079,0,False
2023-03-31_0205,2080,2,False
2023-03-31_0305,2081,0,False
2023-03-31_0405,2082,2,False
2023-03-31_0505,2083,0,False
2023-03-31_0605,2084,5,False
2023-03-31_0705,2085,1,False
2023-03-31_0805,2086,0,False
2023-03-31_0905,2087,1169,False
2023-03-31_1005,2088,0,False
2023-03-31_1020,2088,18829,False
2023-03-31_1105,2089,0,False
2023-03-31_1205,2090,0,False
2023-03-31_1305,2091,0,False
2023-03-31_1405,2092,1,False
2023-03-31_1505,2093,0,False
2023-03-31_1605,2094,0,False
2023-03-31_1705,2095,0,False
2023-03-31_1805,2096,0,False
2023-03-31_1905,2097,0,False
2023-03-31_2005,2098,0,False
2023-03-31_2105,2099,0,False
2023-03-31_2205,2100,0,False
2023-03-31_2305,2101,0,False
2023-04-01_0005,2102,0,False
2023-04-01_0105,2103,2,False
2023-04-01_0205,2104,0,False
2023-04-01_0305,2105,0,False
2023-04-01_0405,2106,0,False
2023-04-01_0505,2107,0,False
2023-04-01_0605,2108,0,False
2023-04-01_0705,2109,1,False
2023-04-01_0805,2110,0,False
2023-04-01_0905,2111,0,False
2023-04-01_1005,2112,0,False
2023-04-01_1105,2113,0,False
2023-04-01_1205,2114,0,False
2023-04-01_1305,2115,0,False
2023-04-01_1405,2116,0,False
2023-04-01_1505,2117,0,False
2023-04-01_1605,2118,0,False
2023-04-01_1705,2119,0,False
2023-04-01_1805,2120,1,False
2023-04-01_1905,2121,0,False
2023-04-01_2005,2122,0,False
2023-04-01_2105,2123,0,False
2023-04-01_2205,2124,0,False
2023-04-01_2305,2125,0,False
2023-04-02_0005,2126,2,False
2023-04-02_0105,2127,1,False
2023-04-02_0205,2128,0,False
2023-04-02_0305,2129,0,False
2023-04-02_0405,2130,0,False
2023-04-02_0505,2131,0,False
2023-04-02_0605,2132,0,False
2023-04-02_0705,2133,0,False
2023-04-02_0805,2134,0,False
2023-04-02_0905,2135,900,False
2023-04-02_1005,2136,0,False
2023-04-02_1105,2137,0,False
2023-04-02_1205,2138,0,False
2023-04-02_1305,2139,0,False
2023-04-03_1205,2162,0,False
2023-04-03_1305,2163,0,False
2023-04-03_1405,2164,0,False
2023-04-04_1005,2184,0,False
2023-04-04_1105,2185,0,False
2023-04-04_1205,2186,0,False
2023-04-04_1305,2187,0,False
2023-04-04_1505,2189,21,False
2023-04-04_1905,2193,0,False
