Date,Hours From Start,Area,MayHavePlant
2023-02-23_1705,0,0,False
2023-03-07_1005,281,0,False
2023-03-07_1105,282,0,False
2023-03-07_1205,283,0,False
2023-03-07_1220,283,0,False
2023-03-07_1305,284,0,False
2023-03-07_1405,285,0,False
2023-03-07_1505,286,0,False
2023-03-07_1554,286,0,False
2023-03-07_1605,287,0,False
2023-03-07_1705,288,0,False
2023-03-07_1805,289,0,False
2023-03-07_1905,290,0,False
2023-03-07_2005,291,0,False
2023-03-07_2105,292,0,False
2023-03-07_2205,293,0,False
2023-03-07_2305,294,0,False
2023-03-08_0005,295,0,False
2023-03-08_0105,296,0,False
2023-03-08_0205,297,0,False
2023-03-08_0305,298,0,False
2023-03-08_0405,299,2640,False
2023-03-08_0505,300,0,False
2023-03-08_0605,301,0,False
2023-03-08_0705,302,0,False
2023-03-08_0805,303,2,False
2023-03-08_0905,304,0,False
2023-03-08_1005,305,0,False
2023-03-08_1105,306,0,False
2023-03-08_1205,307,0,False
2023-03-08_1305,308,0,False
2023-03-08_1405,309,0,False
2023-03-08_1505,310,0,False
2023-03-08_1605,311,0,False
2023-03-08_1705,312,0,False
2023-03-08_1805,313,0,False
2023-03-08_1905,314,0,False
2023-03-08_2005,315,0,False
2023-03-08_2105,316,0,False
2023-03-08_2205,317,0,False
2023-03-08_2305,318,0,False
2023-03-09_0005,319,6,False
2023-03-09_0105,320,0,False
2023-03-09_0205,321,0,False
2023-03-09_0305,322,0,False
2023-03-09_0405,323,0,False
2023-03-09_0505,324,0,False
2023-03-09_0605,325,0,False
2023-03-09_0705,326,0,False
2023-03-09_0805,327,0,False
2023-03-09_0905,328,0,False
2023-03-09_1005,329,0,False
2023-03-09_1105,330,0,False
2023-03-09_1205,331,0,False
2023-03-09_1305,332,0,False
2023-03-09_1405,333,0,False
2023-03-09_1505,334,0,False
2023-03-09_1605,335,0,False
2023-03-09_1705,336,0,False
2023-03-09_1805,337,0,False
2023-03-09_1905,338,0,False
2023-03-09_2005,339,0,False
2023-03-09_2105,340,0,False
2023-03-09_2205,341,0,False
2023-03-09_2305,342,0,False
2023-03-10_0005,343,2194,False
2023-03-10_0105,344,0,False
2023-03-10_0205,345,0,False
2023-03-10_0305,346,0,False
2023-03-10_0405,347,0,False
2023-03-10_0505,348,0,False
2023-03-10_0605,349,0,False
2023-03-10_0705,350,0,False
2023-03-10_0805,351,0,False
2023-03-10_0905,352,0,False
2023-03-10_1005,353,0,False
2023-03-10_1105,354,0,False
2023-03-10_1205,355,0,False
2023-03-10_1305,356,0,False
2023-03-10_1405,357,0,False
2023-03-10_1505,358,1,False
2023-03-10_1605,359,0,False
2023-03-10_1705,360,56,False
2023-03-10_1805,361,0,False
2023-03-10_1905,362,61,False
2023-03-10_2005,363,0,False
2023-03-10_2105,364,63,False
2023-03-10_2205,365,31,False
2023-03-10_2305,366,41,False
2023-03-11_0005,367,68,False
2023-03-11_0105,368,44148,False
2023-03-11_0205,369,51,False
2023-03-11_0305,370,70,False
2023-03-11_0405,371,78,False
2023-03-11_0505,372,61,False
2023-03-11_0605,373,58,False
2023-03-11_0705,374,74,False
2023-03-11_0805,375,42,False
2023-03-11_0905,376,53,False
2023-03-11_1005,377,21,False
2023-03-11_1105,378,21,False
2023-03-11_1205,379,0,False
2023-03-11_1305,380,25,False
2023-03-11_1405,381,8,False
2023-03-11_1505,382,0,False
2023-03-11_1605,383,19,False
2023-03-11_1705,384,24,False
2023-03-11_1805,385,23,False
2023-03-11_1905,386,17,False
2023-03-11_2005,387,26,False
2023-03-11_2105,388,25,False
2023-03-11_2205,389,20,False
2023-03-11_2305,390,24,False
2023-03-12_0005,391,40,False
2023-03-12_0105,392,39,False
2023-03-12_0305,393,43,False
2023-03-12_0405,394,42,False
2023-03-12_0505,395,32,False
2023-03-12_0605,396,38,False
2023-03-12_0705,397,31,False
2023-03-12_0805,398,35,False
2023-03-12_0905,399,34,False
2023-03-12_1005,400,13,False
2023-03-12_1105,401,11,False
2023-03-12_1205,402,14,False
2023-03-12_1305,403,8,False
2023-03-12_1405,404,11,False
2023-03-12_1505,405,7,False
2023-03-12_1605,406,6,False
2023-03-12_1705,407,4,False
2023-03-12_1805,408,0,False
2023-03-12_1905,409,11,False
