Date,Hours From Start,Area,MayHavePlant
2023-07-05_1405,0,4809,False
2023-07-05_1505,1,6281,False
2023-07-05_1605,2,5440,False
2023-07-05_1705,3,5720,False
2023-07-05_1805,4,5756,False
2023-07-05_1905,5,5186,False
2023-07-05_2005,6,4899,False
2023-07-05_2105,7,6021,False
2023-07-05_2205,8,0,False
2023-07-05_2305,9,5013,False
2023-07-06_0005,10,7833,False
2023-07-06_0105,11,7114,False
2023-07-06_0205,12,7821,False
2023-07-06_0305,13,16503,False
2023-07-06_0405,14,9441,False
2023-07-06_0505,15,8468,False
2023-07-06_0605,16,8062,False
2023-07-06_0705,17,9155,False
2023-07-06_0805,18,8504,False
2023-07-06_0905,19,7127,False
2023-07-06_1005,20,5011,False
2023-07-06_1105,21,91,False
2023-07-06_1205,22,110,False
2023-07-06_1305,23,100,False
2023-07-06_1405,24,124,False
2023-07-06_1505,25,122,False
2023-07-06_1605,26,122,False
2023-07-06_1705,27,184,False
2023-07-06_1805,28,214,False
2023-07-06_1905,29,192,False
2023-07-06_2005,30,175,False
2023-07-06_2105,31,0,False
2023-07-06_2205,32,48,False
2023-07-06_2305,33,30,False
2023-07-07_0005,34,104,False
2023-07-07_0105,35,241,False
2023-07-07_0205,36,114,False
2023-07-07_0305,37,129,False
2023-07-07_0405,38,238,False
2023-07-07_0505,39,176,False
2023-07-07_0605,40,119,False
2023-07-07_0705,41,191,False
2023-07-07_0805,42,118,False
2023-07-07_0905,43,230,False
2023-07-07_1005,44,80,False
2023-07-07_1105,45,64,False
2023-07-07_1205,46,192,False
2023-07-07_1305,47,92,False
2023-07-07_1405,48,76,False
2023-07-07_1505,49,100,False
2023-07-07_1605,50,64,False
2023-07-07_1705,51,52,False
2023-07-07_1805,52,49,False
2023-07-07_1905,53,48,False
2023-07-07_2005,54,98,False
2023-07-07_2105,55,59,False
2023-07-07_2205,56,63,False
2023-07-07_2305,57,70,False
2023-07-08_0005,58,92,False
2023-07-08_0105,59,238,False
2023-07-08_0205,60,141,False
2023-07-08_0305,61,125,False
2023-07-08_0405,62,108,False
2023-07-08_0505,63,279,False
2023-07-08_0605,64,76,False
2023-07-08_0705,65,91,False
2023-07-08_0805,66,105,False
2023-07-08_0905,67,74,False
2023-07-08_1005,68,0,False
2023-07-08_1105,69,111,False
2023-07-08_1205,70,482,False
2023-07-08_1305,71,250,False
2023-07-08_1405,72,382,False
2023-07-08_1505,73,184,False
2023-07-08_1605,74,256,False
2023-07-08_1705,75,290,False
2023-07-08_1805,76,407,False
2023-07-08_1905,77,386,False
2023-07-08_2005,78,731,False
2023-07-08_2105,79,533,False
2023-07-08_2205,80,0,False
2023-07-08_2305,81,1026,False
2023-07-09_0005,82,2520,False
2023-07-09_0105,83,839,False
2023-07-09_0205,84,132,False
2023-07-09_0305,85,126,False
2023-07-09_0405,86,469,False
2023-07-09_0505,87,310,False
2023-07-09_0605,88,1998,False
2023-07-09_0705,89,2261,False
2023-07-09_0805,90,1461,False
2023-07-09_0905,91,2638,False
2023-07-09_1005,92,247,False
2023-07-09_1105,93,0,False
2023-07-09_1205,94,11713,False
2023-07-09_1305,95,18176,False
2023-07-09_1405,96,19907,False
2023-07-09_1505,97,26013,False
2023-07-09_1605,98,27540,False
2023-07-09_1705,99,36914,False
2023-07-09_1805,100,40389,False
2023-07-09_1905,101,43638,False
2023-07-09_2005,102,48216,False
2023-07-09_2105,103,44322,False
2023-07-09_2205,104,39556,False
2023-07-09_2305,105,18210,False
2023-07-10_0005,106,33316,False
2023-07-10_0105,107,24692,False
2023-07-10_0205,108,29650,False
2023-07-10_0305,109,20500,False
2023-07-10_0405,110,33563,False
2023-07-10_0505,111,25809,False
2023-07-10_0605,112,30946,False
2023-07-10_0705,113,77,False
2023-07-10_0805,114,42358,False
2023-07-10_0905,115,42773,False
2023-07-10_1005,116,19774,False
2023-07-10_1105,117,58412,False
2023-07-10_1205,118,69890,False
2023-07-10_1305,119,48768,False
2023-07-10_1405,120,54423,False
2023-07-10_1505,121,51410,False
2023-07-10_1605,122,51942,False
2023-07-13_1205,190,48200,False
2023-07-13_1305,191,46867,False
2023-07-13_1405,192,51688,False
2023-07-13_1505,193,53103,False
2023-07-13_1605,194,156383,True
2023-07-13_1705,195,159484,True
2023-07-13_1805,196,149499,True
2023-07-13_1905,197,137883,True
2023-07-13_2005,198,167626,True
2023-07-13_2105,199,171511,True
2023-07-13_2205,200,172276,True
2023-07-13_2305,201,163546,True
2023-07-14_0005,202,169184,True
2023-07-14_0105,203,151290,True
2023-07-14_0205,204,177679,True
2023-07-14_0305,205,189689,True
2023-07-14_0405,206,162280,True
2023-07-14_0505,207,179222,True
2023-07-14_0605,208,174992,True
2023-07-14_0705,209,169060,True
2023-07-14_0805,210,175957,True
2023-07-14_0905,211,153205,True
2023-07-14_1005,212,153458,True
2023-07-14_1105,213,137761,True
2023-07-14_1205,214,172210,True
2023-07-14_1305,215,139027,True
2023-07-14_1405,216,229376,True
2023-07-14_1505,217,207717,True
2023-07-14_1605,218,210997,True
2023-07-14_1705,219,232414,True
2023-07-14_1805,220,237522,True
2023-07-14_1905,221,234637,True
2023-07-14_2005,222,263462,True
2023-07-14_2105,223,279383,True
2023-07-14_2205,224,287846,True
2023-07-14_2305,225,289124,True
2023-07-15_0005,226,322230,True
2023-07-15_0105,227,332291,True
2023-07-15_0205,228,303545,True
2023-07-15_0305,229,302173,True
2023-07-15_0405,230,291218,True
2023-07-15_0505,231,82792,False
2023-07-15_0605,232,300288,True
2023-07-15_0705,233,289296,True
2023-07-15_0805,234,293688,True
2023-07-15_0905,235,73044,False
2023-07-15_1005,236,285020,True
2023-07-15_1105,237,273446,True
2023-07-15_1205,238,310379,True
2023-07-15_1305,239,356585,True
2023-07-15_1405,240,407401,True
2023-07-15_1505,241,401177,True
2023-07-15_1605,242,397320,True
