Date,Hours From Start,Area,MayHavePlant
2023-02-28_2034,0,0,False
2023-03-01_1005,13,0,False
2023-03-01_1036,14,0,False
2023-03-01_1305,16,0,False
2023-03-01_1405,17,0,False
2023-03-01_1507,18,0,False
2023-03-01_1605,19,0,False
2023-03-01_1705,20,0,False
2023-03-01_1805,21,0,False
2023-03-01_1905,22,0,False
2023-03-01_2005,23,0,False
2023-03-01_2105,24,0,False
2023-03-01_2205,25,0,False
2023-03-01_2305,26,0,False
2023-03-02_0005,27,0,False
2023-03-02_0105,28,0,False
2023-03-02_0205,29,0,False
2023-03-02_0305,30,0,False
2023-03-02_0405,31,0,False
2023-03-02_0505,32,0,False
2023-03-02_0605,33,0,False
2023-03-02_0705,34,0,False
2023-03-02_0805,35,0,False
2023-03-02_0905,36,0,False
2023-03-02_1005,37,0,False
2023-03-02_1105,38,0,False
2023-03-02_1305,40,0,False
2023-03-02_1338,41,0,False
2023-03-02_1405,41,0,False
2023-06-09_1205,2414,0,False
2023-06-09_1305,2415,0,False
2023-06-09_1405,2416,0,False
2023-06-09_1505,2417,0,False
2023-06-09_1605,2418,0,False
2023-06-09_1705,2419,0,False
2023-06-09_1805,2420,0,False
2023-06-09_1905,2421,0,False
2023-06-09_2005,2422,0,False
2023-06-09_2105,2423,0,False
2023-06-09_2205,2424,0,False
2023-06-09_2305,2425,0,False
2023-06-10_0005,2426,0,False
2023-06-10_0105,2427,0,False
2023-06-10_0205,2428,0,False
2023-06-10_0305,2429,0,False
2023-06-10_0405,2430,0,False
2023-06-10_0505,2431,0,False
2023-06-10_0605,2432,0,False
2023-06-10_0705,2433,0,False
2023-06-10_0805,2434,0,False
2023-06-10_0905,2435,0,False
2023-06-10_1005,2436,0,False
2023-06-10_1105,2437,0,False
2023-06-10_1205,2438,0,False
2023-06-10_1305,2439,0,False
2023-06-10_1405,2440,0,False
2023-06-10_1505,2441,0,False
2023-06-10_1605,2442,0,False
2023-06-10_1705,2443,0,False
2023-06-10_1805,2444,0,False
2023-06-10_1905,2445,0,False
2023-06-10_2005,2446,0,False
2023-06-10_2105,2447,0,False
2023-06-10_2205,2448,0,False
2023-06-10_2305,2449,0,False
2023-06-11_0005,2450,0,False
2023-06-11_0105,2451,0,False
2023-06-11_0205,2452,0,False
2023-06-11_0305,2453,0,False
2023-06-11_0405,2454,0,False
2023-06-11_0505,2455,0,False
2023-06-11_0605,2456,0,False
2023-06-11_0705,2457,0,False
2023-06-11_0805,2458,0,False
2023-06-11_0905,2459,0,False
2023-06-11_1005,2460,0,False
2023-06-11_1105,2461,0,False
2023-06-11_1205,2462,0,False
2023-06-11_1305,2463,0,False
2023-06-11_1405,2464,0,False
2023-06-11_1505,2465,0,False
2023-06-11_1605,2466,1,False
2023-06-11_1705,2467,0,False
2023-06-11_1805,2468,0,False
2023-06-11_1905,2469,0,False
2023-06-11_2005,2470,0,False
2023-06-11_2105,2471,0,False
2023-06-11_2205,2472,0,False
2023-06-11_2305,2473,0,False
2023-06-12_0005,2474,0,False
2023-06-12_0105,2475,0,False
2023-06-12_0205,2476,0,False
2023-06-12_0305,2477,0,False
2023-06-12_0405,2478,0,False
2023-06-12_0505,2479,994,False
2023-06-12_0605,2480,0,False
2023-06-12_0705,2481,0,False
2023-06-12_0805,2482,0,False
2023-06-12_0905,2483,0,False
2023-06-12_1005,2484,0,False
2023-06-12_1105,2485,0,False
2023-06-12_1205,2486,0,False
2023-06-12_1305,2487,0,False
2023-06-12_1405,2488,0,False
2023-06-12_1505,2489,1,False
2023-06-12_1605,2490,0,False
2023-06-12_1705,2491,0,False
2023-06-12_1805,2492,0,False
2023-06-12_1905,2493,0,False
2023-06-12_2005,2494,0,False
2023-06-12_2105,2495,0,False
2023-06-12_2205,2496,0,False
2023-06-12_2305,2497,0,False
2023-06-13_0005,2498,0,False
2023-06-13_0105,2499,0,False
2023-06-13_0205,2500,0,False
2023-06-13_0305,2501,0,False
2023-06-13_0405,2502,0,False
2023-06-13_0505,2503,0,False
2023-06-13_0605,2504,0,False
2023-06-13_0705,2505,0,False
2023-06-13_0805,2506,0,False
2023-06-13_0905,2507,0,False
2023-06-13_1005,2508,0,False
2023-06-13_1105,2509,0,False
2023-06-13_1205,2510,0,False
2023-06-13_1305,2511,0,False
2023-06-13_1405,2512,0,False
2023-06-13_1605,2514,0,False
2023-06-13_1705,2515,0,False
2023-06-13_1905,2517,0,False
2023-06-13_2005,2518,0,False
2023-06-13_2105,2519,0,False
2023-06-13_2205,2520,0,False
2023-06-13_2305,2521,0,False
2023-06-14_0005,2522,0,False
2023-06-14_0105,2523,0,False
2023-06-14_0205,2524,0,False
2023-06-14_0305,2525,0,False
2023-06-14_0405,2526,7521,False
2023-06-14_0505,2527,0,False
2023-06-14_0605,2528,0,False
2023-06-14_0905,2531,0,False
2023-06-14_1005,2532,0,False
2023-06-14_1305,2535,0,False
2023-06-14_1605,2538,0,False
2023-06-14_1905,2541,0,False
2023-06-14_2005,2542,0,False
2023-06-14_2105,2543,0,False
2023-06-14_2205,2544,0,False
2023-06-14_2305,2545,0,False
2023-06-15_0005,2546,0,False
2023-06-15_0205,2548,0,False
