Date,Hours From Start,Area,MayHavePlant
2023-02-28_1907,0,0,False
2023-03-01_1305,17,0,False
2023-03-01_1405,18,0,False
2023-03-01_1505,19,0,False
2023-03-01_1605,20,0,False
2023-03-01_1705,21,0,False
2023-03-01_1805,22,0,False
2023-03-01_1905,23,0,False
2023-03-01_2005,24,0,False
2023-03-01_2105,25,0,False
2023-03-01_2205,26,0,False
2023-03-01_2305,27,0,False
2023-03-02_0005,28,0,False
2023-03-02_0105,29,0,False
2023-03-02_0205,30,0,False
2023-03-02_0305,31,0,False
2023-03-02_0405,32,0,False
2023-03-02_0505,33,0,False
2023-03-02_0605,34,0,False
2023-03-02_0705,35,0,False
2023-03-02_0805,36,0,False
2023-03-02_0905,37,0,False
2023-03-02_1005,38,0,False
2023-03-02_1305,41,0,False
2023-03-02_1405,42,0,False
2023-04-19_0805,1187,0,False
2023-06-09_1205,2415,1,False
2023-06-09_1305,2416,15,False
2023-06-09_1405,2417,3,False
2023-06-09_1505,2418,0,False
2023-06-09_1605,2419,0,False
2023-06-09_1705,2420,0,False
2023-06-09_1805,2421,1,False
2023-06-09_1905,2422,0,False
2023-06-09_2005,2423,0,False
2023-06-09_2105,2424,0,False
2023-06-09_2205,2425,0,False
2023-06-09_2305,2426,0,False
2023-06-10_0005,2427,1,False
2023-06-10_0105,2428,0,False
2023-06-10_0205,2429,0,False
2023-06-10_0305,2430,0,False
2023-06-10_0405,2431,0,False
2023-06-10_0505,2432,4,False
2023-06-10_0605,2433,0,False
2023-06-10_0705,2434,4,False
2023-06-10_0805,2435,1397,False
2023-06-10_0905,2436,1,False
2023-06-10_1005,2437,0,False
2023-06-10_1105,2438,0,False
2023-06-10_1205,2439,2,False
2023-06-10_1305,2440,2,False
2023-06-10_1405,2441,0,False
2023-06-10_1505,2442,0,False
2023-06-10_1605,2443,0,False
2023-06-10_1705,2444,3,False
2023-06-10_1805,2445,7,False
2023-06-10_1905,2446,0,False
2023-06-10_2005,2447,1,False
2023-06-10_2105,2448,2,False
2023-06-10_2205,2449,2,False
2023-06-10_2305,2450,1,False
2023-06-11_0005,2451,1,False
2023-06-11_0105,2452,0,False
2023-06-11_0205,2453,0,False
2023-06-11_0305,2454,0,False
2023-06-11_0405,2455,0,False
2023-06-11_0505,2456,0,False
2023-06-11_0605,2457,2,False
2023-06-11_0705,2458,0,False
2023-06-11_0805,2459,0,False
2023-06-11_0905,2460,0,False
2023-06-11_1005,2461,1,False
2023-06-11_1105,2462,1,False
2023-06-11_1205,2463,5,False
2023-06-11_1305,2464,6,False
2023-06-11_1405,2465,0,False
