Date,Hours From Start,Area,MayHavePlant
2023-03-01_1305,0,0,False
2023-03-01_1405,1,0,False
2023-03-01_1505,2,0,False
2023-03-01_1605,3,0,False
2023-03-01_1705,4,0,False
2023-03-01_1805,5,0,False
2023-03-01_1905,6,0,False
2023-03-01_2005,7,0,False
2023-03-01_2105,8,0,False
2023-03-01_2205,9,0,False
2023-03-01_2305,10,0,False
2023-03-02_0005,11,0,False
2023-03-02_0105,12,0,False
2023-03-02_0205,13,0,False
2023-03-02_0305,14,0,False
2023-03-02_0405,15,0,False
2023-03-02_0505,16,0,False
2023-03-02_0605,17,0,False
2023-03-02_0705,18,0,False
2023-03-02_0805,19,0,False
2023-03-02_0905,20,0,False
2023-03-02_1005,21,0,False
2023-03-02_1105,22,0,False
2023-03-02_1205,23,0,False
2023-03-02_1305,24,0,False
2023-04-20_1105,1197,0,False
2023-04-20_1205,1198,0,False
2023-04-20_1305,1199,0,False
2023-04-20_1405,1200,0,False
2023-04-20_1505,1201,0,False
2023-04-20_1605,1202,0,False
2023-04-20_1705,1203,0,False
2023-04-20_1805,1204,0,False
2023-04-20_1905,1205,0,False
2023-04-20_2005,1206,0,False
2023-04-20_2105,1207,0,False
2023-04-20_2205,1208,0,False
2023-04-20_2305,1209,0,False
2023-04-21_0005,1210,0,False
2023-04-21_0105,1211,5,False
2023-04-21_0205,1212,3,False
2023-04-21_0305,1213,0,False
2023-04-21_0405,1214,1,False
2023-04-21_0505,1215,0,False
2023-04-21_0605,1216,0,False
2023-04-21_0705,1217,0,False
2023-04-21_0805,1218,0,False
2023-04-21_0905,1219,0,False
2023-04-21_1005,1220,0,False
2023-04-21_1105,1221,0,False
2023-04-21_1205,1222,0,False
2023-04-21_1305,1223,0,False
2023-04-21_1405,1224,0,False
2023-04-21_1505,1225,0,False
2023-04-21_1605,1226,0,False
2023-04-21_1705,1227,0,False
2023-04-21_1805,1228,0,False
2023-04-21_1905,1229,0,False
2023-04-21_2005,1230,0,False
2023-04-21_2105,1231,0,False
2023-04-21_2205,1232,0,False
2023-04-21_2305,1233,0,False
2023-04-22_0005,1234,4,False
2023-04-22_0105,1235,0,False
2023-04-22_0205,1236,1,False
2023-04-22_0305,1237,8,False
2023-04-22_0405,1238,3,False
2023-04-22_0505,1239,1,False
2023-04-22_0605,1240,5,False
2023-04-22_0705,1241,6,False
2023-04-22_0805,1242,2,False
2023-04-22_0905,1243,1,False
2023-04-22_1005,1244,0,False
2023-04-22_1105,1245,0,False
2023-04-22_1205,1246,0,False
2023-04-22_1305,1247,0,False
2023-04-22_1405,1248,0,False
2023-04-22_1505,1249,0,False
2023-04-22_1605,1250,0,False
2023-04-22_1705,1251,0,False
2023-04-22_1805,1252,0,False
2023-04-22_1905,1253,0,False
2023-04-22_2005,1254,0,False
2023-04-22_2105,1255,1,False
2023-04-22_2205,1256,0,False
2023-04-22_2305,1257,0,False
2023-04-23_0005,1258,1,False
2023-04-23_0105,1259,1,False
2023-04-23_0205,1260,2,False
2023-04-23_0305,1261,0,False
2023-04-23_0405,1262,0,False
2023-04-23_0505,1263,0,False
2023-04-23_0605,1264,0,False
2023-04-23_0705,1265,0,False
2023-04-23_0805,1266,1,False
2023-04-23_0905,1267,1,False
2023-04-23_1005,1268,0,False
2023-04-23_1105,1269,1,False
2023-04-23_1205,1270,0,False
2023-04-23_1305,1271,0,False
2023-04-23_1405,1272,0,False
2023-04-23_1505,1273,0,False
2023-04-23_1605,1274,0,False
2023-04-23_1705,1275,0,False
2023-04-23_1805,1276,0,False
2023-04-23_1905,1277,0,False
2023-04-23_2005,1278,0,False
2023-04-23_2105,1279,0,False
2023-04-23_2205,1280,0,False
2023-04-23_2305,1281,0,False
2023-04-24_0005,1282,0,False
2023-04-24_0105,1283,2,False
2023-04-24_0205,1284,2,False
2023-04-24_0305,1285,1,False
2023-04-24_0405,1286,4,False
2023-04-24_0505,1287,0,False
2023-04-24_0605,1288,0,False
2023-04-24_0705,1289,0,False
2023-04-24_0805,1290,0,False
2023-04-24_0905,1291,0,False
2023-04-24_1005,1292,0,False
2023-04-24_1105,1293,0,False
2023-04-24_1205,1294,0,False
2023-04-24_1305,1295,0,False
2023-04-24_1405,1296,1,False
2023-04-24_1505,1297,0,False
2023-04-24_1605,1298,0,False
2023-04-24_1705,1299,0,False
2023-04-24_1805,1300,0,False
2023-04-24_1905,1301,0,False
2023-04-24_2005,1302,0,False
2023-04-24_2105,1303,0,False
2023-04-24_2205,1304,0,False
2023-04-24_2305,1305,0,False
2023-04-25_0005,1306,4,False
2023-04-25_0105,1307,0,False
2023-04-25_0205,1308,0,False
2023-04-25_0305,1309,0,False
2023-04-25_0405,1310,0,False
2023-04-25_0505,1311,0,False
