Date,Hours From Start,Area,MayHavePlant
2023-03-01_1305,0,0,False
2023-03-01_1405,1,0,False
2023-03-01_1505,2,0,False
2023-03-01_1605,3,0,False
2023-03-01_1705,4,0,False
2023-03-01_1805,5,0,False
2023-03-01_1905,6,0,False
2023-03-01_2005,7,0,False
2023-03-01_2105,8,0,False
2023-03-01_2205,9,0,False
2023-03-01_2305,10,0,False
2023-03-02_0005,11,0,False
2023-03-02_0105,12,0,False
2023-03-02_0205,13,0,False
2023-03-02_0305,14,0,False
2023-03-02_0405,15,0,False
2023-03-02_0505,16,0,False
2023-03-02_0605,17,0,False
2023-03-02_0705,18,0,False
2023-03-02_0805,19,0,False
2023-03-02_0905,20,0,False
2023-03-02_1005,21,0,False
2023-03-02_1305,24,0,False
2023-06-09_1205,2398,0,False
2023-06-09_1305,2399,0,False
2023-06-09_1405,2400,0,False
2023-06-09_1505,2401,0,False
2023-06-09_1605,2402,0,False
2023-06-09_1705,2403,0,False
2023-06-09_1805,2404,0,False
2023-06-09_1905,2405,0,False
2023-06-09_2005,2406,0,False
2023-06-09_2105,2407,0,False
2023-06-09_2205,2408,0,False
2023-06-09_2305,2409,0,False
2023-06-10_0005,2410,0,False
2023-06-10_0105,2411,0,False
2023-06-10_0205,2412,0,False
2023-06-10_0305,2413,0,False
2023-06-10_0405,2414,0,False
2023-06-10_0505,2415,0,False
2023-06-10_0605,2416,0,False
2023-06-10_0705,2417,0,False
2023-06-10_0805,2418,2610,False
2023-06-10_0905,2419,0,False
2023-06-10_1005,2420,0,False
2023-06-10_1105,2421,0,False
2023-06-10_1205,2422,0,False
2023-06-10_1305,2423,0,False
2023-06-10_1405,2424,0,False
2023-06-10_1505,2425,0,False
2023-06-10_1605,2426,0,False
2023-06-10_1705,2427,0,False
2023-06-10_1805,2428,0,False
2023-06-10_1905,2429,0,False
2023-06-10_2005,2430,0,False
2023-06-10_2105,2431,0,False
2023-06-10_2205,2432,0,False
2023-06-10_2305,2433,0,False
2023-06-11_0005,2434,0,False
2023-06-11_0105,2435,0,False
2023-06-11_0205,2436,0,False
2023-06-11_0305,2437,0,False
2023-06-11_0405,2438,0,False
2023-06-11_0505,2439,0,False
2023-06-11_0605,2440,0,False
2023-06-11_0705,2441,0,False
2023-06-11_0805,2442,0,False
2023-06-11_0905,2443,0,False
2023-06-11_1005,2444,0,False
2023-06-11_1105,2445,0,False
2023-06-11_1205,2446,0,False
2023-06-11_1305,2447,0,False
2023-06-11_1405,2448,0,False
2023-06-11_1505,2449,0,False
2023-06-11_1605,2450,0,False
2023-06-11_1705,2451,0,False
2023-06-11_1805,2452,0,False
2023-06-11_1905,2453,0,False
2023-06-11_2005,2454,0,False
2023-06-11_2105,2455,0,False
2023-06-11_2205,2456,0,False
2023-06-11_2305,2457,0,False
2023-06-12_0005,2458,0,False
2023-06-12_0105,2459,0,False
2023-06-12_0205,2460,0,False
2023-06-12_0305,2461,0,False
2023-06-12_0405,2462,0,False
2023-06-12_0505,2463,0,False
2023-06-12_0605,2464,0,False
2023-06-12_0705,2465,0,False
2023-06-12_0805,2466,0,False
2023-06-12_0905,2467,0,False
2023-06-12_1005,2468,0,False
2023-06-12_1105,2469,0,False
2023-06-12_1205,2470,0,False
2023-06-12_1305,2471,0,False
2023-06-12_1405,2472,0,False
2023-06-12_1505,2473,0,False
2023-06-12_1605,2474,0,False
2023-06-12_1705,2475,0,False
2023-06-12_1805,2476,0,False
2023-06-12_1905,2477,0,False
2023-06-12_2005,2478,0,False
2023-06-12_2105,2479,0,False
2023-06-12_2205,2480,0,False
2023-06-12_2305,2481,0,False
2023-06-13_0005,2482,0,False
2023-06-13_0105,2483,0,False
2023-06-13_0205,2484,0,False
2023-06-13_0305,2485,0,False
2023-06-13_0405,2486,0,False
2023-06-13_0505,2487,0,False
2023-06-13_0605,2488,1,False
2023-06-13_0705,2489,0,False
2023-06-13_0805,2490,0,False
2023-06-13_0905,2491,0,False
2023-06-13_1005,2492,0,False
2023-06-13_1105,2493,0,False
2023-06-13_1305,2495,0,False
2023-06-13_1405,2496,0,False
2023-06-13_1505,2497,0,False
2023-06-13_1605,2498,0,False
2023-06-13_1805,2500,0,False
2023-06-13_1905,2501,0,False
2023-06-13_2005,2502,0,False
2023-06-13_2205,2504,0,False
2023-06-14_0105,2507,0,False
2023-06-14_0305,2509,0,False
2023-06-14_0705,2513,0,False
2023-06-14_0805,2514,0,False
2023-06-14_0905,2515,0,False
2023-06-14_1105,2517,0,False
2023-06-14_1205,2518,0,False
2023-06-14_1405,2520,0,False
2023-06-14_1505,2521,0,False
2023-06-14_1705,2523,0,False
2023-06-14_1805,2524,0,False
2023-06-14_2005,2526,0,False
2023-06-14_2105,2527,0,False
