Date,Hours From Start,Area,MayHavePlant
2023-03-09_1133,0,0,False
2023-06-28_1505,2666,0,False
2023-06-28_1605,2667,0,False
2023-08-06_1805,3605,13,False
2023-08-19_1205,3911,74,False
2023-08-19_1305,3912,65,False
2023-08-19_1405,3913,37,False
2023-08-19_1505,3914,0,False
2023-08-19_1605,3915,0,False
2023-08-19_1705,3916,125,False
2023-08-19_1805,3917,43,False
2023-08-19_1905,3918,37,False
2023-08-19_2005,3919,65,False
2023-08-19_2105,3920,143,False
2023-08-19_2205,3921,58,False
2023-08-19_2305,3922,55,False
2023-08-20_0005,3923,67,False
2023-08-20_0105,3924,42,False
2023-08-20_0205,3925,46,False
2023-08-20_0305,3926,31,False
2023-08-20_0405,3927,73,False
2023-08-20_0505,3928,57,False
2023-08-20_0605,3929,48,False
2023-08-20_0705,3930,32,False
2023-08-20_0805,3931,57,False
2023-08-20_0905,3932,64,False
2023-08-20_1005,3933,178,False
2023-08-20_1105,3934,116,False
2023-08-20_1205,3935,227,False
2023-08-20_1305,3936,23,False
2023-08-20_1405,3937,66,False
2023-08-20_1505,3938,204,False
2023-08-20_1605,3939,137,False
2023-08-20_1705,3940,162,False
2023-08-20_1805,3941,35,False
2023-08-20_1905,3942,56,False
2023-08-20_2005,3943,80,False
2023-08-20_2105,3944,78,False
2023-08-20_2205,3945,76,False
2023-08-20_2305,3946,69,False
2023-08-21_0005,3947,139,False
2023-08-21_0105,3948,141,False
2023-08-21_0205,3949,168,False
2023-08-21_0305,3950,179,False
2023-08-21_0405,3951,88,False
2023-08-21_0505,3952,96,False
2023-08-21_0605,3953,66,False
2023-08-21_0705,3954,74,False
2023-08-21_0805,3955,86,False
2023-08-21_0905,3956,78,False
2024-03-05_1240,8689,415,False
