Date,Hours From Start,Area,MayHavePlant
2023-03-09_1529,0,2,False
2023-10-23_1605,5471,0,False
2023-10-23_1705,5472,0,False
2023-10-23_1805,5473,0,False
2023-10-23_1905,5474,0,False
2023-10-23_2005,5475,0,False
2023-10-23_2105,5476,0,False
2023-10-23_2205,5477,0,False
2023-10-23_2305,5478,0,False
2023-10-24_0005,5479,0,False
2023-10-24_0105,5480,0,False
2023-10-24_0205,5481,0,False
2023-10-24_0305,5482,0,False
2023-10-24_0405,5483,0,False
2023-10-24_0505,5484,0,False
2023-10-24_0605,5485,0,False
2023-10-24_0705,5486,0,False
2023-10-24_0805,5487,0,False
2023-10-24_0905,5488,0,False
2023-10-24_1005,5489,0,False
2023-10-24_1105,5490,0,False
2023-10-24_1205,5491,0,False
2023-10-24_1305,5492,0,False
2023-10-24_1405,5493,0,False
2023-10-24_1505,5494,0,False
2023-10-24_1605,5495,0,False
2023-10-24_1705,5496,0,False
2023-10-24_1805,5497,0,False
2023-10-24_1905,5498,0,False
2023-10-24_2005,5499,0,False
2023-10-24_2105,5500,0,False
2023-10-24_2205,5501,0,False
2023-10-24_2305,5502,0,False
2023-10-25_0005,5503,0,False
2023-10-25_0105,5504,0,False
2023-10-25_0205,5505,1,False
2023-10-25_0305,5506,0,False
2023-10-25_0405,5507,0,False
2023-10-25_0505,5508,0,False
2023-10-25_0605,5509,0,False
2023-10-25_0705,5510,0,False
2023-10-25_0805,5511,0,False
2023-10-25_0905,5512,0,False
2023-10-25_1005,5513,0,False
2023-10-25_1105,5514,4,False
2023-10-25_1205,5515,0,False
2023-10-25_1305,5516,0,False
2023-10-25_1405,5517,0,False
2023-10-25_1505,5518,3,False
2023-10-25_1605,5519,1,False
2023-10-25_1705,5520,1,False
2023-10-25_1805,5521,1,False
2023-10-25_1905,5522,4,False
2023-10-25_2005,5523,4,False
2023-10-25_2105,5524,6,False
2023-10-25_2205,5525,6,False
2023-10-25_2305,5526,23,False
2023-10-26_0005,5527,2,False
2023-10-26_0105,5528,1,False
2023-10-26_0205,5529,0,False
2023-10-26_0305,5530,0,False
