Date,Hours From Start,Area,MayHavePlant
2023-03-13_1505,0,0,False
2023-03-13_1528,0,1,False
2023-05-15_1809,1515,0,False
2023-12-07_1849,6460,28,False
2024-01-22_1405,7560,0,False
2024-01-22_1505,7561,0,False
2024-01-22_1605,7562,0,False
2024-01-22_1705,7563,0,False
2024-01-22_1805,7564,0,False
2024-01-22_1905,7565,0,False
2024-01-22_2005,7566,0,False
2024-01-22_2105,7567,0,False
2024-01-22_2205,7568,0,False
2024-01-22_2305,7569,0,False
2024-01-23_0005,7570,0,False
2024-01-23_0105,7571,55,False
2024-01-23_0205,7572,0,False
2024-01-23_0305,7573,0,False
2024-01-23_0405,7574,0,False
2024-01-23_0505,7575,6,False
2024-01-23_0605,7576,5,False
2024-01-23_0705,7577,0,False
2024-01-23_0805,7578,0,False
2024-01-23_0905,7579,0,False
2024-01-23_1005,7580,0,False
2024-01-23_1105,7581,0,False
2024-01-23_1205,7582,0,False
