Date,Hours From Start,Area,MayHavePlant
2023-03-22_1534,0,0,False
2023-03-22_1536,0,1,False
2023-08-15_1013,3498,0,False
2023-12-07_1902,6244,0,False
2024-01-04_1405,6911,0,False
2024-01-04_1605,6913,0,False
2024-01-04_1705,6914,0,False
2024-01-04_1805,6915,0,False
2024-01-04_1905,6916,0,False
2024-01-04_2005,6917,0,False
2024-01-04_2105,6918,0,False
2024-01-04_2205,6919,0,False
2024-01-04_2305,6920,0,False
2024-01-05_0005,6921,0,False
2024-01-05_0105,6922,0,False
2024-01-05_0205,6923,0,False
2024-01-05_0305,6924,0,False
2024-01-05_0405,6925,0,False
2024-01-05_0505,6926,0,False
2024-01-05_0605,6927,0,False
2024-01-05_0705,6928,0,False
2024-01-05_0805,6929,0,False
2024-01-05_0905,6930,0,False
2024-01-05_1005,6931,0,False
2024-01-05_1105,6932,0,False
2024-01-05_1205,6933,0,False
2024-01-05_1305,6934,0,False
2024-01-05_1405,6935,0,False
2024-01-05_1505,6936,0,False
2024-01-05_1605,6937,0,False
2024-01-11_0805,7073,2514,False
2024-01-11_0905,7074,2345,False
2024-01-11_1005,7075,2633,False
2024-01-11_1105,7076,3126,False
2024-01-11_1205,7077,3582,False
2024-01-11_1305,7078,4384,False
2024-01-11_1405,7079,5773,False
2024-01-11_1505,7080,7328,False
2024-01-11_1605,7081,8544,False
2024-01-11_1705,7082,9890,False
2024-01-11_1805,7083,10343,False
2024-01-11_1905,7084,12553,False
2024-01-11_2005,7085,11995,False
2024-01-11_2105,7086,13033,False
2024-01-11_2205,7087,12131,False
2024-01-11_2305,7088,16123,False
2024-01-12_0005,7089,19504,False
2024-01-12_0105,7090,20047,False
2024-01-12_0205,7091,21914,False
2024-01-12_0305,7092,21511,False
2024-01-12_0405,7093,23031,False
2024-01-12_0505,7094,21133,False
2024-01-12_0605,7095,21944,False
2024-01-12_0705,7096,21486,False
2024-01-12_0805,7097,17860,False
2024-01-12_0905,7098,17085,False
2024-01-12_1005,7099,15220,False
2024-01-12_1105,7100,15586,False
2024-01-12_1205,7101,1,False
2024-01-12_1305,7102,0,False
2024-01-12_1405,7103,0,False
2024-01-12_1505,7104,0,False
2024-01-12_1605,7105,0,False
2024-01-12_1705,7106,0,False
2024-01-12_1805,7107,2,False
2024-01-12_1905,7108,18,False
2024-01-12_2005,7109,32,False
2024-01-12_2105,7110,0,False
2024-01-12_2205,7111,54,False
2024-01-12_2305,7112,59,False
2024-01-13_0005,7113,64,False
2024-01-13_0105,7114,40,False
2024-01-13_0205,7115,74,False
2024-01-13_0305,7116,88,False
2024-01-13_0405,7117,93,False
2024-01-13_0505,7118,79,False
2024-01-13_0605,7119,94,False
2024-01-13_0705,7120,90,False
2024-01-13_0805,7121,89,False
2024-01-13_0905,7122,87,False
2024-01-13_1005,7123,130,False
2024-01-13_1105,7124,145,False
2024-01-13_1205,7125,146,False
2024-01-13_1305,7126,225,False
2024-01-13_1405,7127,249,False
2024-01-13_1505,7128,261,False
2024-01-13_1605,7129,286,False
2024-01-13_1705,7130,23,False
2024-01-13_1805,7131,354,False
2024-01-13_1905,7132,15,False
2024-01-13_2005,7133,260,False
2024-01-13_2105,7134,199,False
2024-01-13_2205,7135,252,False
2024-01-13_2305,7136,326,False
2024-01-14_0005,7137,245,False
2024-01-14_0105,7138,281,False
2024-01-14_0205,7139,289,False
2024-01-14_0305,7140,189,False
2024-01-14_0405,7141,171,False
2024-01-14_0505,7142,6,False
2024-01-14_0605,7143,100,False
2024-01-14_0705,7144,109,False
2024-01-14_0805,7145,131,False
2024-01-14_0905,7146,46,False
2024-01-14_1005,7147,68,False
2024-01-14_1105,7148,46,False
2024-01-14_1205,7149,58,False
2024-01-14_1305,7150,41,False
2024-01-14_1405,7151,0,False
2024-01-14_1505,7152,3,False
2024-01-14_1605,7153,14,False
2024-01-14_1705,7154,7,False
2024-01-14_1805,7155,1,False
2024-01-14_1905,7156,4,False
2024-01-14_2005,7157,0,False
2024-01-14_2105,7158,1,False
2024-01-14_2205,7159,1,False
2024-01-14_2305,7160,0,False
2024-01-15_0005,7161,2,False
2024-01-15_0105,7162,7,False
2024-01-15_0205,7163,4,False
2024-01-15_0305,7164,5,False
2024-01-15_0405,7165,3,False
2024-01-15_0505,7166,2,False
2024-01-15_0605,7167,7,False
2024-01-15_0705,7168,5,False
2024-01-15_0805,7169,8,False
2024-01-15_0905,7170,3,False
2024-01-15_1005,7171,6,False
2024-01-15_1105,7172,1,False
2024-01-15_1205,7173,0,False
2024-01-15_1305,7174,0,False
2024-01-15_1405,7175,1,False
2024-01-15_1505,7176,2,False
2024-01-15_1605,7177,0,False
2024-01-15_1705,7178,0,False
2024-01-15_1805,7179,1,False
2024-01-15_1905,7180,9,False
2024-01-15_2005,7181,5,False
2024-01-15_2105,7182,4,False
2024-01-15_2205,7183,3,False
2024-01-15_2305,7184,1,False
2024-01-16_0005,7185,3,False
2024-01-16_0105,7186,3,False
2024-01-16_0205,7187,1,False
2024-01-16_0305,7188,6,False
2024-01-16_0405,7189,0,False
2024-01-16_0505,7190,0,False
2024-01-16_0605,7191,4,False
2024-01-16_0705,7192,3,False
2024-01-16_0805,7193,1,False
2024-01-16_0905,7194,0,False
2024-01-16_1005,7195,3,False
2024-01-16_1105,7196,0,False
2024-01-16_1205,7197,5,False
2024-01-16_1305,7198,2,False
2024-01-16_1405,7199,2,False
2024-01-16_1505,7200,6,False
2024-01-16_1605,7201,3,False
2024-01-16_1705,7202,6,False
2024-01-16_1805,7203,4,False
2024-01-16_1905,7204,8,False
2024-01-16_2005,7205,8,False
2024-01-16_2105,7206,4,False
2024-01-16_2205,7207,6,False
2024-01-16_2305,7208,1,False
2024-01-17_0005,7209,0,False
2024-01-17_0105,7210,2,False
2024-01-17_0205,7211,7,False
2024-01-17_0305,7212,0,False
2024-01-17_0405,7213,0,False
2024-01-17_0505,7214,2,False
2024-01-17_0605,7215,1,False
2024-01-17_0705,7216,0,False
2024-01-17_0805,7217,4,False
2024-01-17_0905,7218,0,False
2024-01-17_1005,7219,3633,False
2024-01-17_1105,7220,4405,False
2024-01-17_1205,7221,5430,False
2024-01-17_1305,7222,7889,False
2024-01-17_1405,7223,9436,False
2024-01-17_1505,7224,12061,False
2024-01-17_1605,7225,14010,False
2024-01-17_1705,7226,15963,False
2024-01-17_1805,7227,15651,False
2024-01-17_1905,7228,17111,False
2024-01-17_2005,7229,17843,False
2024-01-17_2105,7230,18104,False
2024-01-17_2205,7231,19083,False
2024-01-17_2305,7232,22200,False
2024-01-18_0005,7233,24263,False
2024-01-18_0105,7234,24248,False
2024-01-18_0205,7235,24776,False
2024-01-18_0305,7236,24246,False
2024-01-18_0405,7237,24258,False
2024-01-18_0505,7238,24324,False
2024-01-18_0605,7239,23083,False
2024-01-18_0705,7240,22523,False
2024-01-18_0805,7241,23397,False
2024-01-18_0905,7242,21523,False
2024-01-18_1005,7243,16469,False
2024-01-18_1105,7244,17039,False
2024-01-18_1205,7245,16697,False
2024-01-18_1305,7246,11963,False
2024-01-18_1405,7247,10717,False
2024-01-18_1505,7248,9221,False
2024-01-18_1605,7249,9739,False
2024-01-18_1705,7250,11612,False
2024-01-18_1805,7251,25773,False
2024-01-18_1905,7252,27544,False
2024-01-18_2005,7253,30532,False
2024-01-18_2105,7254,5,False
2024-01-18_2205,7255,32926,False
2024-01-18_2305,7256,35425,False
2024-01-19_0005,7257,34960,False
2024-01-19_0105,7258,35304,False
2024-01-19_0205,7259,34943,False
2024-01-19_0305,7260,36870,False
2024-01-19_0405,7261,36451,False
2024-01-19_0505,7262,35601,False
2024-01-19_0605,7263,35702,False
2024-01-19_0705,7264,35950,False
2024-01-19_0805,7265,36391,False
2024-01-19_0905,7266,33493,False
2024-01-19_1005,7267,27234,False
2024-01-19_1105,7268,31367,False
2024-01-19_1205,7269,31780,False
2024-01-19_1305,7270,32349,False
2024-01-19_1405,7271,35014,False
2024-01-19_1505,7272,32528,False
2024-01-19_1605,7273,33187,False
2024-01-19_1705,7274,35811,False
2024-01-19_1805,7275,33501,False
2024-01-19_1905,7276,35000,False
2024-01-19_2005,7277,35955,False
2024-01-19_2105,7278,37261,False
2024-01-19_2205,7279,35462,False
2024-01-19_2305,7280,33828,False
2024-01-20_0005,7281,32376,False
2024-01-20_0105,7282,24639,False
2024-01-20_0305,7284,19942,False
2024-01-20_0405,7285,20333,False
2024-01-20_0505,7286,21432,False
2024-01-20_0605,7287,28584,False
2024-01-20_0705,7288,37640,False
2024-01-20_0805,7289,42823,False
2024-01-20_0905,7290,38127,False
2024-01-20_1005,7291,14175,False
2024-01-20_1105,7292,14391,False
2024-01-20_1205,7293,19399,False
2024-01-20_1305,7294,28133,False
2024-01-20_1405,7295,36561,False
2024-01-20_1505,7296,42782,False
2024-01-20_1605,7297,48760,False
2024-01-20_1705,7298,51201,False
2024-01-20_1805,7299,55075,False
