Date,Hours From Start,Area,MayHavePlant
2023-03-22_1626,0,0,False
2023-10-19_1429,5062,6,False
2023-10-19_1434,5062,0,False
2023-10-19_1505,5062,0,False
2023-10-19_1605,5063,0,False
2023-10-19_1705,5064,12,False
2023-10-19_1805,5065,0,False
2023-10-19_1905,5066,0,False
2023-10-19_2005,5067,0,False
2023-10-19_2105,5068,0,False
2023-10-19_2205,5069,2,False
2023-10-19_2305,5070,7,False
2023-10-20_0005,5071,7,False
2023-10-20_0105,5072,8,False
2023-10-20_0205,5073,5,False
2023-10-20_0305,5074,0,False
2023-10-20_0405,5075,4,False
2023-10-20_0505,5076,9,False
2023-10-20_0605,5077,2335,False
2023-10-20_0705,5078,5,False
2023-10-20_0805,5079,2,False
2023-10-20_0905,5080,0,False
2023-10-20_1005,5081,0,False
2023-10-20_1105,5082,4,False
2023-10-20_1205,5083,0,False
2023-10-20_1305,5084,2,False
2023-10-20_1405,5085,1,False
2023-10-20_1505,5086,0,False
2023-10-20_1605,5087,0,False
2023-10-20_1705,5088,0,False
2023-10-20_1805,5089,0,False
2023-10-20_1905,5090,6,False
2023-10-20_2005,5091,1,False
2023-10-20_2105,5092,1,False
2023-10-20_2205,5093,3,False
2023-10-20_2305,5094,0,False
2023-10-21_0005,5095,0,False
2023-10-21_0105,5096,3,False
2023-10-21_0205,5097,3,False
2023-10-21_0305,5098,7,False
2023-10-21_0405,5099,2,False
2023-10-21_0505,5100,0,False
2023-10-21_0605,5101,1,False
2023-10-21_0705,5102,10,False
2023-10-21_0805,5103,0,False
2023-10-21_0905,5104,0,False
2023-10-21_1005,5105,2,False
2023-10-21_1105,5106,0,False
2023-10-21_1205,5107,2,False
2023-10-21_1305,5108,2,False
2023-10-21_1405,5109,6,False
2023-10-21_1505,5110,0,False
2023-10-21_1605,5111,0,False
2023-10-21_1705,5112,0,False
2023-10-21_1805,5113,0,False
2023-10-21_1905,5114,0,False
2023-10-21_2005,5115,0,False
2023-10-21_2105,5116,0,False
2023-10-21_2205,5117,1,False
2023-10-21_2305,5118,2,False
2023-10-22_0005,5119,3,False
2023-10-22_0105,5120,1,False
2023-10-22_0205,5121,8,False
2023-10-22_0305,5122,5,False
2023-10-22_0405,5123,3,False
2023-10-22_0505,5124,7,False
2023-10-22_0605,5125,2,False
2023-10-22_0705,5126,10,False
2023-10-22_0805,5127,6,False
2023-10-22_0905,5128,0,False
2023-10-22_1005,5129,1,False
2023-10-22_1105,5130,0,False
2023-10-22_1205,5131,2,False
2023-10-22_1305,5132,0,False
2023-10-22_1405,5133,1,False
2023-10-22_1505,5134,0,False
2023-10-22_1605,5135,0,False
2023-10-22_1705,5136,0,False
2023-10-22_1805,5137,0,False
2023-10-22_1905,5138,1,False
2023-10-22_2005,5139,0,False
2023-10-22_2105,5140,2,False
2023-10-22_2205,5141,0,False
2023-10-22_2305,5142,0,False
2023-10-23_0005,5143,11,False
2023-10-23_0105,5144,1,False
2023-10-23_0205,5145,5,False
2023-10-23_0305,5146,12,False
2023-10-23_0405,5147,19,False
2023-10-23_0505,5148,4,False
2023-10-23_0605,5149,12,False
2023-10-23_0705,5150,18,False
2023-10-23_0805,5151,0,False
2023-10-23_0905,5152,0,False
2023-10-23_1005,5153,0,False
2023-12-07_1905,6243,33,False
2023-12-13_1530,6384,34,False
2024-01-29_0905,7505,61542,False
2024-02-07_1505,7727,3556,False
2024-02-07_1605,7728,3808,False
2024-02-07_1705,7729,5175,False
2024-02-07_1805,7730,4559,False
2024-02-07_1905,7731,4638,False
2024-02-07_2005,7732,4900,False
2024-02-07_2105,7733,5408,False
2024-02-07_2205,7734,5830,False
2024-02-07_2305,7735,6596,False
2024-02-08_0005,7736,6784,False
2024-02-08_0105,7737,6841,False
2024-02-08_0205,7738,9329,False
2024-02-08_0305,7739,1242,False
2024-02-08_0405,7740,7438,False
2024-02-08_0505,7741,6990,False
2024-02-08_0605,7742,8025,False
2024-02-08_0705,7743,6383,False
2024-02-08_0805,7744,9749,False
2024-02-08_0905,7745,9504,False
2024-02-08_1005,7746,7725,False
2024-02-08_1105,7747,1452,False
2024-02-08_1205,7748,10595,False
2024-02-08_1305,7749,1496,False
2024-02-08_1405,7750,1729,False
2024-02-08_1505,7751,8490,False
2024-02-08_1605,7752,3714,False
2024-02-08_1705,7753,2098,False
2024-02-08_1805,7754,2981,False
2024-02-08_1905,7755,237,False
2024-02-08_2005,7756,1236,False
2024-04-17_1802,9409,0,False
2024-04-19_1805,9457,0,False
2024-04-23_1705,9552,0,False
2024-04-23_1805,9553,0,False
2024-04-23_1905,9554,0,False
2024-04-23_2005,9555,0,False
2024-04-23_2105,9556,0,False
2024-04-23_2205,9557,0,False
2024-04-23_2305,9558,40,False
2024-04-24_0005,9559,25,False
2024-04-24_0105,9560,15,False
2024-04-24_0205,9561,36,False
2024-04-24_0305,9562,52,False
2024-04-24_0405,9563,45,False
2024-04-24_0505,9564,8370,False
2024-04-24_0605,9565,64,False
2024-04-24_0705,9566,39,False
2024-04-24_0805,9567,36,False
2024-04-24_0905,9568,50,False
2024-04-24_1005,9569,35,False
2024-04-24_1105,9570,26,False
2024-04-24_1205,9571,7,False
2024-04-24_1305,9572,10,False
2024-04-24_1405,9573,31,False
2024-04-24_1505,9574,49,False
2024-04-24_1605,9575,9,False
2024-04-24_1705,9576,31,False
2024-04-24_1805,9577,20,False
2024-04-24_1905,9578,23,False
2024-04-24_2005,9579,6,False
2024-04-24_2105,9580,34,False
2024-04-24_2205,9581,45,False
2024-04-24_2305,9582,56,False
