Date,Hours From Start,Area,MayHavePlant
2023-02-23_1705,0,0,False
2023-04-05_0905,975,1,False
2023-04-05_1005,976,0,False
2023-04-05_1105,977,2,False
2023-04-05_1205,978,7,False
2023-04-05_1305,979,1,False
2023-04-05_1405,980,17,False
2023-04-05_1505,981,30,False
2023-04-05_1605,982,31,False
2023-04-05_1705,983,0,False
2023-04-05_1805,984,4,False
2023-04-06_0805,998,2,False
2023-04-06_0917,999,4,False
2023-04-10_0905,1095,12,False
2023-04-10_0953,1095,0,False
2023-04-10_1005,1096,7,False
2023-04-11_1201,1121,0,False
2023-04-11_1205,1122,0,False
2023-04-11_1305,1123,0,False
2023-04-11_1548,1125,3,False
2023-04-12_1405,1148,0,False
2023-04-12_1505,1149,0,False
2023-04-12_1605,1150,0,False
2023-04-12_1705,1151,0,False
2023-04-12_1805,1152,0,False
2023-04-12_1905,1153,0,False
2023-04-12_2005,1154,0,False
2023-04-12_2105,1155,0,False
2023-04-12_2205,1156,0,False
2023-04-12_2305,1157,0,False
2023-04-13_0005,1158,0,False
2023-04-13_0105,1159,0,False
2023-04-13_0205,1160,0,False
2023-04-13_0305,1161,0,False
2023-04-13_0405,1162,0,False
2023-04-13_0505,1163,0,False
2023-04-13_0605,1164,0,False
2023-04-13_0705,1165,0,False
2023-04-13_0805,1166,0,False
2023-04-13_0905,1167,0,False
2023-04-13_1005,1168,0,False
2023-04-13_1105,1169,0,False
2023-04-13_1205,1170,0,False
2023-04-13_1305,1171,0,False
2023-04-13_1405,1172,0,False
2023-04-13_1505,1173,0,False
2023-04-13_1605,1174,0,False
2023-04-13_1705,1175,0,False
2023-04-13_1805,1176,0,False
2023-04-13_1905,1177,0,False
2023-04-13_2005,1178,0,False
2023-04-13_2105,1179,0,False
2023-04-13_2205,1180,0,False
2023-04-13_2305,1181,0,False
2023-04-14_0005,1182,0,False
2023-04-14_0105,1183,0,False
2023-04-14_0205,1184,0,False
2023-04-14_0305,1185,0,False
2023-04-14_0405,1186,0,False
2023-04-14_0505,1187,0,False
2023-04-14_0605,1188,0,False
2023-04-14_0705,1189,0,False
2023-04-14_0805,1190,0,False
2023-04-14_0905,1191,0,False
