Date,Hours From Start,Area,MayHavePlant
2023-04-24_1702,0,0,False
2023-04-24_1705,0,0,False
2023-04-24_1713,0,0,False
2023-10-18_1805,4249,17612,False
2023-10-19_0945,4264,14223,False
2023-10-19_0951,4264,14565,False
2023-10-25_1520,4414,0,False
2023-10-25_1525,4414,0,False
2023-10-25_1530,4414,0,False
2023-10-25_1605,4415,0,False
2023-10-25_1705,4416,0,False
2023-10-25_1805,4417,0,False
2023-10-25_1905,4418,0,False
2023-10-25_2005,4419,0,False
2023-10-25_2105,4420,0,False
2023-10-27_1105,4458,0,False
2023-10-27_1205,4459,0,False
2023-10-27_1305,4460,5,False
2023-10-27_1405,4461,5,False
2023-10-27_1505,4462,9,False
2023-10-27_1605,4463,12,False
2023-10-27_1705,4464,10,False
2023-10-27_1805,4465,30,False
2023-10-27_1905,4466,19,False
2023-10-27_2005,4467,17,False
2023-10-27_2105,4468,9,False
2023-10-27_2205,4469,11,False
2023-10-27_2305,4470,2,False
2023-10-28_0005,4471,17,False
2023-10-28_0105,4472,12,False
2023-10-28_0205,4473,3,False
2023-10-28_0305,4474,10,False
2023-10-28_0405,4475,11,False
2023-10-28_0505,4476,1,False
2023-10-28_0605,4477,0,False
2023-10-28_0705,4478,7,False
2023-10-28_0805,4479,4,False
2023-10-28_0905,4480,4,False
2023-10-28_1005,4481,34,False
2023-10-28_1105,4482,35,False
2023-10-28_1205,4483,26,False
2023-10-28_1305,4484,29,False
2023-10-28_1405,4485,26,False
2023-10-28_1505,4486,16,False
2023-10-28_1605,4487,18,False
2023-10-28_1705,4488,11,False
2023-10-28_1805,4489,31,False
2023-10-28_1905,4490,30,False
2023-10-28_2005,4491,25,False
2023-10-28_2105,4492,749,False
2023-10-28_2205,4493,45,False
2023-10-28_2305,4494,29,False
2023-10-29_0005,4495,0,False
2023-10-29_0105,4496,7,False
2023-10-29_0205,4497,7,False
2023-10-29_0305,4498,7,False
2023-10-29_0405,4499,18,False
2023-10-29_0505,4500,6,False
2023-10-29_0605,4501,16,False
2023-10-29_0705,4502,10,False
2023-10-29_0805,4503,7,False
2023-10-29_0905,4504,11,False
2023-10-29_1005,4505,22,False
2023-10-29_1105,4506,0,False
2023-10-29_1205,4507,11,False
2023-10-29_1305,4508,16,False
2023-10-29_1405,4509,11,False
2023-10-29_1505,4510,5,False
2023-10-29_1605,4511,18,False
2023-10-29_1705,4512,31,False
2023-10-29_1805,4513,16,False
2023-10-29_1905,4514,11,False
2023-10-29_2005,4515,7,False
2023-10-29_2105,4516,21,False
2023-10-29_2205,4517,13,False
2023-10-29_2305,4518,8,False
2023-10-30_0005,4519,1,False
2023-10-30_0105,4520,11,False
2023-10-30_0205,4521,12,False
2023-10-30_0305,4522,1,False
2023-10-30_0405,4523,11,False
2023-10-30_0505,4524,11,False
2023-10-30_0605,4525,19,False
2023-10-30_0705,4526,16,False
2023-10-30_0805,4527,16,False
2023-10-30_0905,4528,9,False
2023-10-30_1005,4529,32,False
2023-10-30_1105,4530,11,False
2023-10-30_1120,4530,7,False
2023-10-30_1126,4530,13,False
2023-10-30_1131,4530,8,False
2023-10-30_1136,4530,17,False
2023-10-30_1205,4531,26,False
2023-10-30_1305,4532,277,False
2023-10-30_1405,4533,10,False
2023-10-30_1505,4534,39639,False
2023-10-30_1605,4535,11,False
2023-10-30_1705,4536,19,False
2023-10-30_1805,4537,12,False
2023-10-30_1905,4538,28,False
2023-10-30_2005,4539,7,False
2023-10-30_2105,4540,25,False
2023-10-30_2205,4541,8,False
2023-10-30_2305,4542,21,False
2023-10-31_0005,4543,4,False
2023-10-31_0105,4544,15,False
2023-10-31_0205,4545,3,False
2023-10-31_0305,4546,12,False
2023-10-31_0405,4547,23,False
2023-10-31_0505,4548,160,False
2023-10-31_0605,4549,451,False
2023-10-31_0705,4550,858,False
2023-10-31_0805,4551,1077,False
2023-10-31_0905,4552,1356,False
2023-10-31_1005,4553,1023,False
2023-10-31_1105,4554,658,False
2023-10-31_1205,4555,433,False
2023-10-31_1305,4556,449,False
2023-10-31_1405,4557,326,False
2023-10-31_1505,4558,347,False
2023-10-31_1605,4559,97,False
2023-10-31_1705,4560,24,False
2023-10-31_1805,4561,12709,False
2023-10-31_1905,4562,46,False
2023-10-31_2005,4563,66,False
2023-10-31_2105,4564,33,False
2023-10-31_2205,4565,197,False
2023-10-31_2305,4566,316,False
2023-11-01_0005,4567,97,False
2023-11-01_0105,4568,256,False
2023-11-01_0205,4569,0,False
2023-11-01_0305,4570,246,False
2023-11-01_0405,4571,124,False
2023-11-01_0505,4572,299,False
2023-11-01_0605,4573,0,False
2023-11-01_0705,4574,873,False
2023-11-01_0805,4575,2679,False
2023-11-01_0905,4576,4398,False
2023-11-01_1005,4577,4654,False
2023-11-01_1105,4578,4670,False
2023-11-01_1205,4579,4087,False
2023-11-01_1305,4580,3907,False
2023-11-01_1405,4581,3280,False
2023-11-01_1505,4582,2993,False
2023-11-01_1605,4583,2752,False
2023-11-01_1705,4584,2696,False
2023-11-01_1805,4585,2555,False
2023-11-01_1905,4586,2627,False
2023-11-01_2005,4587,2467,False
2023-11-01_2105,4588,3225,False
2023-11-01_2205,4589,3359,False
2023-11-01_2305,4590,3523,False
2023-11-02_0005,4591,2960,False
2023-11-02_0105,4592,3164,False
2023-11-02_0205,4593,0,False
2023-11-02_0305,4594,3792,False
2023-11-02_0405,4595,5212,False
2023-11-02_0505,4596,6684,False
2023-11-02_0605,4597,8274,False
