Date,Hours From Start,Area,MayHavePlant
2023-04-24_1741,0,0,False
2023-10-30_1450,4533,42701,False
2023-11-01_0905,4575,0,False
2023-11-01_1005,4576,1,False
2023-11-01_1105,4577,1,False
2023-11-01_1205,4578,0,False
2023-11-01_1305,4579,0,False
2023-11-01_1405,4580,0,False
2023-11-09_2005,4779,95318,False
2023-11-13_0905,4864,1238235,True
2023-11-13_1005,4865,1250641,True
2023-11-13_1105,4866,1274584,True
2023-11-13_1205,4867,1272262,True
2023-11-13_1305,4868,1256717,True
2023-11-13_1405,4869,1288954,True
2023-11-13_1505,4870,19870,False
2023-11-13_1605,4871,23534,False
2023-11-13_1705,4872,29068,False
2023-11-13_1805,4873,28477,False
2023-11-13_1905,4874,29623,False
2023-11-13_2005,4875,28452,False
2023-11-13_2105,4876,27779,False
2023-11-13_2205,4877,29178,False
2023-11-13_2305,4878,29462,False
2023-11-14_0005,4879,28089,False
2023-11-14_0105,4880,27849,False
2023-11-14_0205,4881,30174,False
2023-11-14_0305,4882,31247,False
2023-11-14_0405,4883,30841,False
2023-11-14_0505,4884,31643,False
2023-11-14_0605,4885,33011,False
2023-11-14_0705,4886,33955,False
2023-11-14_0805,4887,35618,False
2023-11-14_0905,4888,33816,False
2023-11-14_1005,4889,34494,False
2023-11-14_1105,4890,35971,False
2023-11-14_1205,4891,35143,False
2023-11-14_1305,4892,37196,False
2023-11-14_1405,4893,37149,False
2023-11-14_1505,4894,36908,False
2023-11-14_1605,4895,38312,False
2023-11-14_1705,4896,37287,False
2023-11-14_1805,4897,38453,False
2023-11-14_1905,4898,39166,False
2023-11-14_2005,4899,39972,False
2023-11-14_2105,4900,39864,False
2023-11-14_2205,4901,39980,False
2023-11-14_2305,4902,41017,False
2023-11-15_0005,4903,39323,False
2023-11-15_0105,4904,41203,False
2023-11-15_0205,4905,41863,False
2023-11-15_0305,4906,43924,False
2023-11-15_0405,4907,44691,False
2023-11-15_0505,4908,48655,False
2023-11-15_0605,4909,50247,False
2023-11-15_0705,4910,51195,False
2023-11-15_0805,4911,53054,False
2023-11-15_0905,4912,56177,False
2023-11-15_1005,4913,59113,False
2023-11-15_1105,4914,59555,False
2023-11-15_1205,4915,61766,False
2023-11-15_1305,4916,64088,False
2023-11-15_1405,4917,65603,False
2023-11-15_1505,4918,66668,False
2023-11-15_1605,4919,68191,False
2023-11-15_1705,4920,67274,False
2023-11-15_1805,4921,0,False
2023-11-15_1905,4922,78473,False
2023-11-15_2005,4923,79288,False
2023-11-15_2105,4924,78563,False
2023-11-15_2205,4925,74178,False
2023-11-15_2305,4926,82900,False
2023-11-16_0005,4927,76382,False
2023-11-16_0105,4928,84937,False
2023-11-16_0205,4929,83963,False
2023-11-16_0305,4930,94544,False
2023-11-16_0405,4931,101757,True
2023-11-16_0505,4932,0,False
2023-11-16_0605,4933,115698,True
2023-11-16_0705,4934,120565,True
2023-11-16_0805,4935,117733,True
2023-11-16_0905,4936,123598,True
2023-11-16_1005,4937,0,False
2023-11-16_1105,4938,127339,True
2023-11-16_1205,4939,127505,True
2023-11-16_1305,4940,135830,True
2023-11-16_1405,4941,129352,True
2023-11-16_1505,4942,129280,True
2023-11-16_1605,4943,129972,True
2023-11-16_1705,4944,127785,True
2023-11-16_1805,4945,133073,True
2023-11-16_1905,4946,135048,True
2023-11-16_2005,4947,136075,True
2023-11-16_2105,4948,137119,True
2023-11-16_2205,4949,138347,True
2023-11-16_2305,4950,138263,True
2023-11-17_0005,4951,132863,True
2023-11-17_0105,4952,135437,True
2023-11-17_0205,4953,135143,True
2023-11-17_0305,4954,137963,True
2023-11-17_0405,4955,138360,True
2023-11-17_0505,4956,138313,True
2023-11-17_0605,4957,140556,True
2023-11-17_0705,4958,1,False
2023-11-17_0805,4959,139135,True
2023-11-17_0905,4960,0,False
2023-11-17_1005,4961,0,False
2023-11-17_1105,4962,140829,True
2023-11-17_1205,4963,139727,True
2023-11-17_1305,4964,139245,True
2023-11-17_1405,4965,0,False
2023-11-17_1505,4966,142537,True
2023-11-17_1605,4967,140458,True
2023-11-17_1705,4968,140802,True
2023-11-17_1805,4969,141487,True
2023-11-17_1905,4970,142966,True
2023-11-17_2005,4971,143612,True
2023-11-17_2105,4972,144229,True
2023-11-17_2205,4973,144984,True
2023-11-17_2305,4974,147423,True
2023-11-18_0005,4975,144970,True
2023-11-18_0105,4976,146076,True
2023-11-18_0205,4977,0,False
2023-11-18_0305,4978,0,False
2023-11-18_0405,4979,149106,True
2023-11-18_0505,4980,151415,True
2023-11-18_0605,4981,0,False
2023-11-18_0705,4982,146152,True
2023-11-18_0805,4983,149488,True
2023-11-18_0905,4984,151936,True
2023-11-18_1005,4985,148923,True
2023-11-18_1105,4986,148385,True
2023-11-18_1205,4987,149002,True
2023-11-18_1305,4988,155007,True
2023-11-18_1405,4989,152027,True
2023-11-18_1505,4990,1,False
2023-11-18_1605,4991,150619,True
2023-11-18_1705,4992,150556,True
2023-11-18_1805,4993,150299,True
2023-11-18_1905,4994,0,False
2023-11-18_2005,4995,155306,True
2023-11-18_2105,4996,153862,True
2023-11-18_2205,4997,152140,True
2023-11-18_2305,4998,151002,True
2023-11-19_0005,4999,150375,True
2023-11-19_0105,5000,0,False
2023-11-19_0205,5001,152915,True
