Date,Hours From Start,Area,MayHavePlant
2023-04-25_2034,0,0,False
2023-04-28_0107,52,0,False
2023-05-01_1405,137,0,False
2023-05-01_1505,138,0,False
2023-05-01_1605,139,0,False
2023-05-01_1705,140,0,False
2023-05-01_1805,141,0,False
2023-05-01_1905,142,0,False
2023-05-01_2005,143,0,False
2023-05-01_2105,144,0,False
2023-05-01_2205,145,0,False
2023-05-01_2305,146,0,False
2023-05-02_0005,147,0,False
2023-05-02_0105,148,0,False
2023-05-02_0205,149,0,False
2023-05-02_0305,150,0,False
2023-05-02_0405,151,0,False
2023-05-02_0505,152,0,False
2023-05-02_0605,153,0,False
2023-05-02_0705,154,0,False
2023-05-02_0805,155,0,False
2023-05-02_0905,156,0,False
2023-05-02_1005,157,0,False
2023-05-02_1105,158,0,False
2023-05-02_1205,159,0,False
2023-05-02_1305,160,0,False
2023-05-02_1405,161,0,False
2023-05-02_1505,162,0,False
2023-05-02_1605,163,0,False
2023-05-02_1705,164,0,False
2023-05-02_1805,165,0,False
2023-05-02_1905,166,0,False
2023-05-02_2005,167,0,False
2023-05-02_2105,168,0,False
2023-05-02_2205,169,0,False
2023-05-02_2305,170,0,False
2023-05-03_0005,171,0,False
2023-05-03_0105,172,0,False
2023-05-03_0205,173,0,False
2023-05-03_0305,174,0,False
2023-05-03_0405,175,0,False
2023-05-03_0505,176,0,False
2023-05-03_0605,177,0,False
2023-05-03_0705,178,0,False
2023-05-03_0805,179,0,False
2023-05-03_0905,180,0,False
2023-05-03_1005,181,0,False
2023-05-03_1105,182,0,False
2023-05-03_1205,183,0,False
2023-05-03_1305,184,0,False
2023-05-03_1405,185,0,False
2023-05-03_1505,186,0,False
2023-05-03_1605,187,0,False
2023-05-03_1705,188,0,False
2023-05-03_1805,189,0,False
2023-05-03_1905,190,0,False
2023-05-03_2005,191,0,False
2023-05-03_2105,192,0,False
2023-05-03_2205,193,0,False
2023-05-03_2305,194,0,False
2023-05-04_0005,195,0,False
2023-05-04_0105,196,0,False
2023-05-04_0205,197,0,False
2023-05-04_0305,198,0,False
2023-05-04_0405,199,0,False
2023-05-04_0505,200,0,False
2023-05-04_0605,201,0,False
2023-05-04_0705,202,0,False
2023-05-04_0805,203,0,False
2023-05-04_0905,204,0,False
2023-05-04_1005,205,0,False
2023-05-04_1105,206,0,False
2023-05-04_1205,207,0,False
2023-05-04_1405,209,0,False
2023-05-04_1505,210,0,False
2023-05-04_1605,211,0,False
2023-05-04_1705,212,0,False
2023-05-04_1805,213,0,False
2023-05-04_1905,214,0,False
2023-05-04_2005,215,0,False
2023-05-04_2105,216,0,False
2023-05-04_2205,217,0,False
2023-05-04_2305,218,0,False
2023-05-05_0005,219,0,False
2023-05-05_0105,220,0,False
2023-05-05_0205,221,0,False
2023-05-05_0305,222,0,False
2023-05-05_0405,223,0,False
2023-05-05_0505,224,0,False
2023-05-05_0605,225,0,False
2023-05-05_0705,226,0,False
2023-05-05_0805,227,0,False
2023-05-05_0905,228,0,False
2023-05-05_1005,229,0,False
2023-05-05_1105,230,0,False
2023-05-05_1422,233,0,False
2023-05-17_1405,521,3,False
2023-05-17_1505,522,4,False
2023-05-17_1605,523,6,False
2023-05-17_1705,524,2,False
2023-05-17_1805,525,2,False
2023-05-17_1905,526,2,False
2023-05-17_2005,527,0,False
2023-05-17_2105,528,0,False
2023-05-17_2205,529,0,False
2023-05-17_2305,530,3,False
2023-05-18_0005,531,0,False
2023-05-18_0105,532,0,False
2023-05-18_0205,533,0,False
2023-05-18_0305,534,0,False
2023-05-18_0405,535,0,False
2023-05-18_0505,536,2,False
2023-05-18_0605,537,0,False
2023-05-18_0705,538,2,False
2023-05-18_0805,539,31,False
2023-05-18_0905,540,1,False
2023-05-18_1005,541,1,False
2023-05-18_1105,542,0,False
2023-05-18_1205,543,4,False
2023-05-18_1305,544,0,False
2023-05-18_1405,545,1,False
2023-05-18_1505,546,0,False
2023-05-18_1605,547,0,False
2023-05-18_1705,548,0,False
2023-05-18_1805,549,1,False
2023-05-18_1905,550,3,False
2023-05-18_2005,551,0,False
2023-05-18_2105,552,0,False
2023-05-18_2205,553,0,False
2023-05-18_2305,554,1,False
2023-05-19_0005,555,0,False
2023-05-19_0105,556,3,False
2023-05-19_0205,557,7,False
2023-05-19_0305,558,0,False
2023-05-19_0405,559,0,False
2023-05-19_0505,560,3,False
2023-05-19_0605,561,1,False
2023-05-19_0705,562,0,False
2023-05-19_0805,563,4,False
2023-05-19_0905,564,5,False
2023-05-19_1005,565,0,False
2023-05-19_1105,566,0,False
2023-05-19_1205,567,0,False
2023-05-19_1305,568,0,False
2023-05-19_1405,569,1,False
2023-05-19_1505,570,0,False
2023-05-19_1605,571,0,False
2023-05-19_1705,572,0,False
2023-05-19_1805,573,6,False
2023-05-19_1905,574,2,False
2023-05-19_2005,575,0,False
2023-05-19_2105,576,1,False
2023-05-19_2205,577,7,False
2023-05-19_2305,578,2,False
2023-05-20_0005,579,0,False
2023-05-20_0105,580,1,False
2023-05-20_0205,581,3,False
2023-05-20_0305,582,1,False
2023-05-20_0405,583,2,False
2023-05-20_0505,584,2,False
2023-05-20_0605,585,1,False
2023-05-20_0705,586,1,False
2023-05-20_0805,587,0,False
2023-05-20_0905,588,0,False
2023-05-20_1005,589,0,False
2023-05-20_1105,590,0,False
2023-05-20_1205,591,0,False
2023-05-20_1305,592,0,False
2023-05-20_1405,593,0,False
2023-05-20_1505,594,10,False
2023-05-20_1605,595,0,False
2023-05-20_1705,596,2,False
2023-05-20_1805,597,4,False
2023-05-20_1905,598,10,False
2023-05-20_2005,599,0,False
2023-05-20_2105,600,2,False
2023-05-20_2205,601,2,False
2023-05-20_2305,602,242,False
2023-05-21_0005,603,1,False
2023-05-21_0105,604,1,False
2023-05-21_0205,605,0,False
2023-05-21_0305,606,0,False
2023-05-21_0405,607,1,False
2023-05-21_0505,608,0,False
2023-05-21_0605,609,2,False
2023-05-21_0705,610,1,False
2023-05-21_0805,611,1,False
2023-05-21_0905,612,3,False
2023-05-21_1005,613,5,False
2023-05-21_1105,614,7,False
2023-05-21_1205,615,2,False
2023-05-21_1305,616,5,False
2023-05-21_1405,617,0,False
2023-05-21_1505,618,0,False
2023-05-21_1605,619,5,False
2023-05-21_1705,620,0,False
2023-05-21_1805,621,2,False
2023-05-21_1905,622,2,False
2023-05-21_2005,623,0,False
2023-05-21_2105,624,3,False
2023-05-21_2205,625,1,False
2023-05-21_2305,626,2,False
2023-05-22_0005,627,0,False
2023-05-22_0105,628,1,False
2023-05-22_0205,629,1,False
2023-05-22_0305,630,3,False
2023-05-22_0405,631,3,False
2023-05-22_0505,632,48,False
2023-05-22_0605,633,2,False
2023-05-22_0705,634,1,False
2023-05-22_0805,635,1,False
2023-05-22_0905,636,5,False
2023-05-22_1005,637,0,False
2023-05-22_1105,638,5,False
2023-05-22_1205,639,7,False
2023-05-22_1305,640,9,False
2023-05-22_1405,641,2,False
2023-05-22_1505,642,1,False
2023-05-22_1605,643,1,False
2023-05-22_1705,644,3,False
2023-05-22_1805,645,1,False
2023-05-22_1905,646,0,False
2023-05-22_2005,647,0,False
2023-05-22_2105,648,0,False
2023-05-22_2205,649,0,False
2023-05-22_2305,650,2,False
2023-05-23_0005,651,1,False
2023-05-23_0105,652,2,False
2023-05-23_0205,653,1,False
2023-05-23_0305,654,2,False
2023-05-23_0405,655,4,False
2023-05-23_0505,656,2,False
2023-05-23_0605,657,3,False
2023-05-23_0705,658,0,False
2023-05-23_0805,659,0,False
2023-05-23_0905,660,0,False
2023-05-23_1005,661,1,False
2023-05-23_1105,662,0,False
2023-05-23_1205,663,2,False
2023-05-23_1305,664,0,False
2023-05-23_1405,665,0,False
2023-05-23_1505,666,0,False
2023-05-23_1605,667,0,False
2023-05-23_1705,668,0,False
2023-05-23_1805,669,0,False
2023-05-23_1905,670,0,False
2023-05-23_2005,671,0,False
2023-05-23_2105,672,0,False
2023-05-23_2205,673,0,False
2023-05-23_2305,674,0,False
2023-05-24_0005,675,1,False
2023-05-24_0105,676,0,False
2023-05-24_0205,677,0,False
2023-05-24_0305,678,0,False
2023-05-24_0405,679,3,False
2023-05-24_0505,680,6,False
2023-05-24_0605,681,3,False
2023-05-24_0705,682,0,False
2023-05-24_0805,683,0,False
2023-05-24_0905,684,0,False
2023-05-24_1005,685,0,False
2023-05-24_1105,686,0,False
2023-05-24_1205,687,0,False
2023-05-24_1305,688,0,False
2023-05-24_1405,689,0,False
2023-05-24_1505,690,2,False
2023-05-24_1605,691,0,False
2023-05-24_1705,692,0,False
2023-05-24_1805,693,0,False
2023-05-24_1905,694,0,False
2023-05-24_2005,695,0,False
2023-05-24_2105,696,0,False
2023-05-24_2205,697,0,False
2023-05-24_2305,698,0,False
2023-05-25_0005,699,0,False
2023-05-25_0105,700,1,False
2023-05-25_0205,701,0,False
2023-05-25_0305,702,0,False
2023-05-25_0405,703,0,False
2023-05-25_0505,704,0,False
2023-05-25_0605,705,0,False
2023-05-25_0705,706,0,False
2023-05-25_0805,707,92,False
2023-05-25_0905,708,0,False
2023-05-25_1005,709,1,False
2023-05-25_1105,710,0,False
2023-05-25_1205,711,0,False
2023-05-25_1305,712,0,False
2023-05-25_1405,713,0,False
2023-05-25_1505,714,0,False
2023-05-25_1605,715,0,False
2023-05-25_1705,716,0,False
2023-05-25_1805,717,0,False
2023-05-25_1905,718,0,False
2023-05-25_2005,719,1,False
2023-05-25_2105,720,0,False
2023-05-25_2205,721,0,False
2023-05-25_2305,722,0,False
2023-05-26_0005,723,0,False
2023-05-26_0105,724,0,False
2023-05-26_0205,725,0,False
2023-05-26_0305,726,3,False
2023-05-26_0405,727,0,False
2023-05-26_0505,728,0,False
2023-05-26_0605,729,0,False
2023-05-26_0705,730,0,False
2023-05-26_0805,731,0,False
2023-05-26_0905,732,0,False
2023-05-26_1005,733,0,False
2023-05-26_1105,734,0,False
2023-05-26_1205,735,0,False
2023-05-26_1305,736,0,False
2023-05-26_1405,737,0,False
2023-11-09_2005,4752,95318,False
2024-03-05_1414,7554,246,False
