Date,Hours From Start,Area,MayHavePlant
2023-04-28_1005,0,0,False
2023-05-01_1005,72,0,False
2023-05-01_1505,77,0,False
2023-05-01_1605,78,0,False
2023-05-01_1705,79,0,False
2023-05-01_1805,80,0,False
2023-05-01_1905,81,0,False
2023-05-01_2005,82,0,False
2023-05-01_2105,83,0,False
2023-05-01_2205,84,0,False
2023-05-01_2305,85,0,False
2023-05-02_0005,86,0,False
2023-05-02_0105,87,0,False
2023-05-02_0205,88,0,False
2023-05-02_0305,89,0,False
2023-05-02_0405,90,0,False
2023-05-02_0505,91,0,False
2023-05-02_0605,92,0,False
2023-05-02_0705,93,0,False
2023-05-02_0805,94,0,False
2023-05-02_0905,95,0,False
2023-05-02_1005,96,0,False
2023-05-02_1105,97,0,False
2023-05-02_1205,98,0,False
2023-05-02_1305,99,0,False
2023-05-02_1405,100,0,False
2023-05-02_1505,101,0,False
2023-05-02_1605,102,0,False
2023-05-02_1705,103,0,False
2023-05-02_1805,104,0,False
2023-05-02_1905,105,0,False
2023-05-02_2005,106,0,False
2023-05-02_2105,107,0,False
2023-05-02_2205,108,0,False
2023-05-02_2305,109,0,False
2023-05-03_0005,110,0,False
2023-05-03_0105,111,0,False
2023-05-03_0205,112,0,False
2023-05-03_0305,113,0,False
2023-05-03_0405,114,0,False
2023-05-03_0505,115,0,False
2023-05-03_0605,116,0,False
2023-05-03_0705,117,0,False
2023-05-03_0805,118,0,False
2023-05-03_0905,119,0,False
2023-05-03_1005,120,0,False
2023-05-03_1105,121,0,False
2023-05-03_1205,122,0,False
2023-05-03_1305,123,0,False
2023-05-03_1405,124,0,False
2023-05-03_1505,125,0,False
2023-05-03_1605,126,0,False
2023-05-03_1705,127,0,False
2023-05-03_1805,128,0,False
2023-05-03_1905,129,0,False
2023-05-03_2005,130,0,False
2023-05-03_2105,131,0,False
2023-05-03_2205,132,0,False
2023-05-03_2305,133,0,False
2023-05-04_0005,134,0,False
2023-05-04_0105,135,0,False
2023-05-04_0205,136,0,False
2023-05-04_0305,137,0,False
2023-05-04_0405,138,0,False
2023-05-04_0505,139,0,False
2023-05-04_0605,140,0,False
2023-05-04_0705,141,0,False
2023-05-04_0805,142,0,False
2023-05-04_0905,143,0,False
2023-05-04_1005,144,0,False
2023-05-04_1105,145,0,False
2023-05-04_1205,146,0,False
2023-05-04_1305,147,0,False
2023-05-04_1405,148,0,False
2023-05-04_1505,149,0,False
2023-05-04_1605,150,0,False
2023-05-04_1705,151,0,False
2023-05-04_1805,152,0,False
2023-05-04_1905,153,0,False
2023-05-04_2005,154,0,False
2023-05-04_2105,155,0,False
2023-05-04_2205,156,0,False
2023-05-04_2305,157,0,False
2023-05-05_0005,158,0,False
2023-05-05_0105,159,0,False
2023-05-05_0205,160,0,False
2023-05-05_0305,161,0,False
2023-05-05_0405,162,0,False
2023-05-05_0505,163,0,False
2023-05-05_0605,164,0,False
2023-05-05_0705,165,0,False
2023-05-05_0805,166,0,False
2023-05-05_0905,167,0,False
2023-05-05_1005,168,0,False
2023-05-05_1105,169,0,False
2023-05-05_1205,170,0,False
2023-05-05_1305,171,0,False
2023-05-05_1405,172,0,False
2023-05-05_1504,172,0,False
2023-05-05_1505,173,0,False
2023-05-05_1510,173,0,False
2023-05-17_1405,460,0,False
2023-05-17_2005,466,0,False
2023-05-17_2105,467,0,False
2023-05-17_2205,468,0,False
2023-05-17_2305,469,0,False
2023-05-18_0005,470,0,False
2023-05-18_0105,471,0,False
2023-05-18_0205,472,0,False
2023-05-18_0305,473,0,False
2023-05-18_0405,474,0,False
2023-05-18_0505,475,0,False
2023-05-18_0605,476,0,False
2023-05-18_0705,477,0,False
2023-05-18_0805,478,0,False
2023-05-18_0905,479,0,False
2023-05-18_1005,480,0,False
2023-05-18_1105,481,0,False
2023-05-18_1205,482,0,False
2023-05-18_1305,483,0,False
2023-05-18_1405,484,0,False
2023-05-18_1505,485,0,False
2023-05-18_1605,486,0,False
2023-05-18_1705,487,0,False
2023-05-18_1805,488,0,False
2023-05-18_1905,489,0,False
2023-05-18_2005,490,0,False
2023-05-18_2105,491,0,False
2023-05-18_2205,492,0,False
2023-05-18_2305,493,0,False
2023-05-19_0005,494,0,False
2023-05-19_0105,495,0,False
2023-05-19_0205,496,0,False
2023-05-19_0305,497,0,False
2023-05-19_0405,498,0,False
2023-05-19_0505,499,0,False
2023-05-19_0605,500,0,False
2023-05-19_0705,501,0,False
2023-05-19_0805,502,0,False
2023-05-19_0905,503,0,False
2023-05-19_1005,504,0,False
2023-05-19_1105,505,0,False
2023-05-19_1205,506,0,False
2023-05-19_1305,507,0,False
2023-05-19_1405,508,0,False
2023-05-19_1505,509,0,False
2023-05-19_1605,510,0,False
2023-05-19_1705,511,0,False
2023-05-19_1805,512,0,False
2023-05-19_1905,513,0,False
2023-05-19_2005,514,0,False
2023-05-19_2105,515,0,False
2023-05-19_2205,516,0,False
2023-05-19_2305,517,0,False
2023-05-20_0005,518,0,False
2023-05-20_0105,519,0,False
2023-05-20_0205,520,0,False
2023-05-20_0305,521,0,False
2023-05-20_0405,522,0,False
2023-05-20_0505,523,0,False
2023-05-20_0605,524,0,False
2023-05-20_0705,525,0,False
2023-05-20_0805,526,0,False
2023-05-20_0905,527,0,False
2023-05-20_1005,528,0,False
2023-05-20_1105,529,0,False
2023-05-20_1205,530,0,False
2023-05-20_1305,531,0,False
2023-05-20_1405,532,0,False
2023-05-20_1505,533,0,False
2023-05-20_1605,534,0,False
2023-05-20_1705,535,0,False
2023-05-20_1805,536,0,False
2023-05-20_1905,537,0,False
2023-05-20_2005,538,0,False
2023-05-20_2105,539,0,False
2023-05-20_2205,540,0,False
2023-05-20_2305,541,0,False
2023-05-21_0005,542,0,False
2023-05-21_0105,543,0,False
2023-05-21_0205,544,0,False
2023-05-21_0305,545,0,False
2023-05-21_0405,546,0,False
2023-05-21_0505,547,0,False
2023-05-21_0605,548,0,False
2023-05-21_0705,549,0,False
2023-05-21_0805,550,0,False
2023-05-21_0905,551,0,False
2023-05-21_1005,552,0,False
2023-05-21_1105,553,0,False
2023-05-21_1205,554,0,False
2023-05-21_1305,555,0,False
2023-05-21_1405,556,0,False
2023-05-21_1505,557,0,False
2023-05-21_1605,558,0,False
2023-05-21_1705,559,0,False
2023-05-21_1805,560,0,False
2023-05-21_1905,561,0,False
2023-05-21_2005,562,0,False
2023-05-21_2105,563,0,False
2023-05-21_2205,564,0,False
2023-05-21_2305,565,0,False
2023-05-22_0005,566,0,False
2023-05-22_0105,567,0,False
2023-05-22_0205,568,0,False
2023-05-22_0305,569,0,False
2023-05-22_0405,570,0,False
2023-05-22_0505,571,0,False
2023-05-22_0605,572,0,False
2023-05-22_0705,573,0,False
2023-05-22_0805,574,0,False
2023-05-22_0905,575,0,False
2023-05-22_1005,576,0,False
2023-05-22_1105,577,0,False
2023-05-22_1205,578,0,False
2023-05-22_1305,579,0,False
2023-05-22_1405,580,0,False
2023-05-22_1505,581,0,False
2023-05-22_1605,582,0,False
2023-05-22_1705,583,0,False
2023-05-22_1805,584,0,False
2023-05-22_1905,585,0,False
2023-05-22_2005,586,0,False
2023-05-22_2105,587,0,False
2023-05-22_2205,588,0,False
2023-05-22_2305,589,0,False
2023-05-23_0005,590,0,False
2023-05-23_0105,591,0,False
2023-05-23_0205,592,0,False
2023-05-23_0305,593,0,False
2023-05-23_0405,594,0,False
2023-05-23_0505,595,0,False
2023-05-23_0605,596,0,False
2023-05-23_0705,597,0,False
2023-05-23_0805,598,0,False
2023-05-23_0905,599,0,False
2023-05-23_1005,600,0,False
2023-05-23_1105,601,0,False
2023-05-23_1205,602,0,False
2023-05-23_1305,603,0,False
2023-05-23_1405,604,0,False
2023-05-23_1505,605,0,False
2023-05-23_1605,606,0,False
