Date,Hours From Start,Area,MayHavePlant
2023-04-27_0315,0,0,False
2023-05-01_0405,96,0,False
2023-05-01_1405,106,0,False
2023-05-01_1505,107,0,False
2023-05-01_1605,108,0,False
2023-05-01_1705,109,0,False
2023-05-01_1805,110,0,False
2023-05-01_1905,111,0,False
2023-05-01_2005,112,0,False
2023-05-01_2105,113,0,False
2023-05-01_2205,114,0,False
2023-05-01_2305,115,0,False
2023-05-02_0005,116,0,False
2023-05-02_0105,117,0,False
2023-05-02_0205,118,0,False
2023-05-02_0305,119,0,False
2023-05-02_0405,120,0,False
2023-05-02_0505,121,0,False
2023-05-02_0605,122,0,False
2023-05-02_0705,123,0,False
2023-05-02_0805,124,0,False
2023-05-02_0905,125,0,False
2023-05-02_1005,126,0,False
2023-05-02_1105,127,0,False
2023-05-02_1205,128,0,False
2023-05-02_1305,129,0,False
2023-05-02_1405,130,0,False
2023-05-02_1505,131,0,False
2023-05-02_1605,132,0,False
2023-05-02_1705,133,0,False
2023-05-02_1805,134,0,False
2023-05-02_1905,135,0,False
2023-05-02_2005,136,0,False
2023-05-02_2105,137,0,False
2023-05-02_2205,138,0,False
2023-05-02_2305,139,0,False
2023-05-03_0005,140,0,False
2023-05-03_0105,141,0,False
2023-05-03_0205,142,0,False
2023-05-03_0305,143,0,False
2023-05-03_0405,144,0,False
2023-05-03_0505,145,0,False
2023-05-03_0605,146,0,False
2023-05-03_0705,147,0,False
2023-05-03_0805,148,0,False
2023-05-03_0905,149,0,False
2023-05-03_1005,150,0,False
2023-05-03_1105,151,0,False
2023-05-03_1205,152,0,False
2023-05-03_1305,153,0,False
2023-05-03_1405,154,0,False
2023-05-03_1505,155,0,False
2023-05-03_1605,156,0,False
2023-05-03_1705,157,0,False
2023-05-03_1805,158,0,False
2023-05-03_1905,159,0,False
2023-05-03_2005,160,0,False
2023-05-03_2105,161,0,False
2023-05-03_2205,162,0,False
2023-05-03_2305,163,0,False
2023-05-04_0005,164,0,False
2023-05-04_0105,165,0,False
2023-05-04_0205,166,0,False
2023-05-04_0305,167,0,False
2023-05-04_0405,168,0,False
2023-05-04_0505,169,0,False
2023-05-04_0605,170,0,False
2023-05-04_0705,171,0,False
2023-05-04_0805,172,0,False
2023-05-04_0905,173,0,False
2023-05-04_1005,174,0,False
2023-05-04_1105,175,0,False
2023-05-04_1205,176,0,False
2023-05-04_1405,178,0,False
2023-05-04_1505,179,0,False
2023-05-04_1605,180,0,False
2023-05-04_1705,181,0,False
2023-05-04_1805,182,0,False
2023-05-04_1905,183,0,False
2023-05-04_2005,184,0,False
2023-05-04_2105,185,0,False
2023-05-04_2205,186,0,False
2023-05-04_2305,187,0,False
2023-05-05_0005,188,0,False
2023-05-05_0105,189,0,False
2023-05-05_0205,190,0,False
2023-05-05_0305,191,0,False
2023-05-05_0405,192,0,False
2023-05-05_0505,193,0,False
2023-05-05_0605,194,0,False
2023-05-05_0705,195,0,False
2023-05-05_0805,196,0,False
2023-05-05_0905,197,0,False
2023-05-05_1005,198,0,False
2023-05-05_1105,199,0,False
2023-05-05_1205,200,0,False
2023-05-05_1305,201,0,False
2023-05-05_1405,202,0,False
2023-05-05_1505,203,0,False
2023-05-05_1529,204,6,False
2023-05-05_1540,204,15,False
2023-05-05_1603,204,19,False
2023-05-05_1605,204,23,False
2023-05-05_1614,204,25,False
2024-03-05_1444,7524,161,False
