Date,Hours From Start,Area,MayHavePlant
2023-04-26_0544,0,0,False
2023-05-01_1405,128,0,False
2023-05-01_1505,129,0,False
2023-05-01_1605,130,0,False
2023-05-01_1705,131,0,False
2023-05-01_1805,132,0,False
2023-05-01_1905,133,0,False
2023-05-01_2005,134,0,False
2023-05-01_2105,135,0,False
2023-05-01_2205,136,0,False
2023-05-01_2305,137,0,False
2023-05-02_0005,138,0,False
2023-05-02_0105,139,0,False
2023-05-02_0205,140,0,False
2023-05-02_0305,141,0,False
2023-05-02_0405,142,0,False
2023-05-02_0505,143,0,False
2023-05-02_0605,144,0,False
2023-05-02_0705,145,0,False
2023-05-02_0805,146,0,False
2023-05-02_0905,147,0,False
2023-05-02_1005,148,0,False
2023-05-02_1105,149,0,False
2023-05-02_1205,150,0,False
2023-05-02_1305,151,0,False
2023-05-02_1405,152,0,False
2023-05-02_1505,153,0,False
2023-05-02_1605,154,0,False
2023-05-02_1705,155,0,False
2023-05-02_1805,156,0,False
2023-05-02_1905,157,0,False
2023-05-02_2005,158,0,False
2023-05-02_2105,159,0,False
2023-05-02_2205,160,0,False
2023-05-02_2305,161,0,False
2023-05-03_0005,162,0,False
2023-05-03_0105,163,0,False
2023-05-03_0205,164,0,False
2023-05-03_0305,165,0,False
2023-05-03_0405,166,0,False
2023-05-03_0505,167,0,False
2023-05-03_0605,168,0,False
2023-05-03_0705,169,0,False
2023-05-03_0805,170,7,False
2023-05-03_0905,171,0,False
2023-05-03_1005,172,0,False
2023-05-03_1105,173,0,False
2023-05-03_1205,174,0,False
2023-05-03_1305,175,0,False
2023-05-03_1405,176,0,False
2023-05-03_1505,177,0,False
2023-05-03_1605,178,0,False
2023-05-03_1705,179,0,False
2023-05-03_1805,180,0,False
2023-05-03_1905,181,0,False
2023-05-03_2005,182,0,False
2023-05-03_2105,183,0,False
2023-05-03_2205,184,0,False
2023-05-03_2305,185,0,False
2023-05-04_0005,186,0,False
2023-05-04_0105,187,0,False
2023-05-04_0205,188,0,False
2023-05-04_0305,189,0,False
2023-05-04_0405,190,0,False
2023-05-04_0505,191,0,False
2023-05-04_0605,192,0,False
2023-05-04_0705,193,0,False
2023-05-04_0805,194,0,False
2023-05-04_0905,195,0,False
2023-05-04_1005,196,0,False
2023-05-04_1105,197,0,False
2023-05-04_1205,198,0,False
2023-05-04_1305,199,0,False
2023-05-04_1405,200,0,False
2023-05-04_1505,201,0,False
2023-05-04_1605,202,0,False
2023-05-04_1705,203,0,False
2023-05-04_1805,204,0,False
2023-05-04_1905,205,0,False
2023-05-04_2005,206,0,False
2023-05-04_2105,207,0,False
2023-05-04_2205,208,0,False
2023-05-04_2305,209,0,False
2023-05-05_0005,210,0,False
2023-05-05_0105,211,0,False
2023-05-05_0205,212,0,False
2023-05-05_0305,213,7,False
2023-05-05_0405,214,0,False
2023-05-05_0505,215,0,False
2023-05-05_0605,216,0,False
2023-05-05_0705,217,0,False
2023-05-05_0805,218,0,False
2023-05-05_0905,219,0,False
2023-05-05_1005,220,0,False
2023-05-05_1105,221,0,False
2023-05-05_1205,222,0,False
2023-05-05_1305,223,0,False
2023-05-05_1405,224,0,False
2023-05-05_1505,225,0,False
2023-05-05_1605,226,0,False
2023-05-05_1710,227,0,False
2023-05-05_1712,227,0,False
2024-03-05_1505,7546,83,False
