Date,Hours From Start,Area,MayHavePlant
2023-04-27_1705,0,0,False
2023-04-27_1805,1,0,False
2023-04-27_1905,2,0,False
2023-04-27_2005,3,0,False
2023-04-27_2105,4,0,False
2023-04-27_2205,5,0,False
2023-04-27_2305,6,0,False
2023-04-28_0005,7,0,False
2023-04-28_0105,8,0,False
2023-04-28_0205,9,0,False
2023-04-28_0305,10,0,False
2023-04-28_0405,11,0,False
2023-04-28_0505,12,0,False
2023-04-28_0605,13,0,False
2023-04-28_0705,14,0,False
2023-04-28_0805,15,0,False
2023-04-28_0905,16,0,False
2023-04-28_1005,17,0,False
2023-04-28_1105,18,0,False
2023-04-28_1205,19,0,False
2023-04-28_1305,20,0,False
2023-04-28_1405,21,0,False
2023-04-28_1505,22,0,False
2023-04-28_1605,23,0,False
2023-04-28_1705,24,0,False
2023-04-28_1805,25,0,False
2023-04-28_1905,26,0,False
2023-04-28_2005,27,0,False
2023-04-28_2105,28,0,False
2023-04-28_2205,29,0,False
2023-04-28_2305,30,0,False
2023-04-29_0005,31,0,False
2023-04-29_0105,32,0,False
2023-04-29_0205,33,0,False
2023-04-29_0305,34,0,False
2023-04-29_0405,35,0,False
2023-04-29_0505,36,0,False
2023-04-29_0605,37,0,False
2023-04-29_0705,38,0,False
2023-04-29_0805,39,0,False
2023-04-29_0905,40,0,False
2023-04-29_1005,41,0,False
2023-04-29_1105,42,0,False
2023-04-29_1205,43,0,False
2023-04-29_1305,44,0,False
2023-04-29_1405,45,0,False
2023-04-29_1505,46,0,False
2023-04-29_1605,47,0,False
2023-04-29_1705,48,0,False
2023-04-29_1805,49,0,False
2023-04-29_1905,50,0,False
2023-04-29_2005,51,0,False
2023-04-29_2105,52,0,False
2023-04-29_2205,53,0,False
2023-04-29_2305,54,0,False
2023-04-30_0005,55,0,False
2023-04-30_0105,56,0,False
2023-04-30_0205,57,0,False
2023-04-30_0305,58,0,False
2023-04-30_0405,59,0,False
2023-04-30_0505,60,0,False
2023-04-30_0605,61,0,False
2023-04-30_0705,62,0,False
2023-04-30_0805,63,0,False
2023-04-30_0905,64,0,False
2023-04-30_1005,65,1,False
2023-04-30_1105,66,0,False
2023-04-30_1205,67,0,False
2023-04-30_1305,68,0,False
2023-04-30_1405,69,0,False
2023-04-30_1505,70,0,False
2023-04-30_1605,71,0,False
2023-04-30_1705,72,0,False
2023-04-30_1805,73,0,False
2023-04-30_1905,74,0,False
2023-04-30_2005,75,0,False
2023-04-30_2105,76,0,False
2023-04-30_2205,77,0,False
2023-04-30_2305,78,0,False
2023-05-01_0005,79,0,False
2023-05-01_0105,80,0,False
2023-05-01_0205,81,0,False
2023-05-01_0305,82,0,False
2023-05-01_0405,83,0,False
2023-05-01_0505,84,0,False
2023-05-01_0605,85,0,False
2023-05-01_0705,86,0,False
2023-05-01_0805,87,0,False
2023-05-01_0905,88,0,False
2023-05-01_1005,89,0,False
2023-05-01_1105,90,0,False
2023-05-02_1205,115,0,False
2023-05-02_1305,116,0,False
2023-05-02_1405,117,0,False
2023-05-02_1505,118,0,False
2023-05-03_1105,138,0,False
2023-05-03_1205,139,0,False
2023-05-03_1305,140,0,False
2023-05-03_1405,141,0,False
2023-05-03_1505,142,0,False
2023-05-03_1605,143,0,False
2023-05-03_1705,144,0,False
2023-05-03_1805,145,0,False
2023-05-03_1905,146,0,False
2023-05-03_2005,147,0,False
2023-05-03_2105,148,0,False
2023-05-03_2205,149,0,False
2023-05-03_2305,150,0,False
2023-05-04_0005,151,0,False
2023-05-04_0105,152,0,False
2023-05-04_0205,153,0,False
2023-05-04_0305,154,0,False
2023-05-04_0405,155,0,False
2023-05-04_0505,156,0,False
2023-05-04_0605,157,0,False
2023-05-04_0705,158,0,False
2023-05-04_0805,159,0,False
2023-05-04_0905,160,0,False
2023-05-04_1005,161,0,False
2023-05-04_1105,162,0,False
2023-05-04_1205,163,0,False
2023-05-08_1405,261,0,False
2023-05-09_1418,285,10,False
2023-10-18_1605,4175,0,False
2023-10-18_1705,4176,0,False
2023-10-18_1805,4177,0,False
2023-10-18_1905,4178,0,False
2023-10-18_2005,4179,0,False
2023-10-18_2105,4180,0,False
2023-10-18_2205,4181,0,False
2023-10-18_2305,4182,0,False
2023-10-19_0005,4183,0,False
2023-10-19_0105,4184,0,False
2023-10-19_0205,4185,0,False
2023-10-19_0305,4186,0,False
2023-10-19_0405,4187,0,False
2023-10-19_0505,4188,0,False
2023-10-19_0605,4189,0,False
2023-10-19_0705,4190,0,False
2023-10-19_0805,4191,0,False
2023-10-19_0905,4192,0,False
2023-10-19_1005,4193,0,False
2023-10-19_1105,4194,0,False
2023-10-19_1205,4195,0,False
2023-10-19_1305,4196,0,False
2023-10-19_1405,4197,0,False
2023-10-19_1505,4198,0,False
2023-10-19_1605,4199,0,False
2023-10-19_1705,4200,0,False
2023-10-19_1805,4201,0,False
2023-10-19_1905,4202,0,False
2023-10-19_2005,4203,0,False
2023-10-19_2105,4204,0,False
2023-10-19_2205,4205,0,False
2023-10-19_2305,4206,0,False
2023-10-20_0005,4207,0,False
2023-10-20_0105,4208,0,False
2023-10-20_0205,4209,0,False
2023-10-20_0305,4210,0,False
2023-10-20_0405,4211,0,False
2023-10-20_0505,4212,0,False
2023-10-20_0605,4213,0,False
2023-10-20_0705,4214,0,False
2023-10-20_0805,4215,0,False
2023-10-20_0905,4216,0,False
2023-10-20_1005,4217,0,False
2023-10-20_1105,4218,0,False
2023-10-20_1205,4219,0,False
2023-10-20_1305,4220,0,False
2023-10-20_1405,4221,0,False
2023-10-20_1505,4222,0,False
2023-10-20_1605,4223,0,False
2023-10-20_1705,4224,0,False
2023-10-20_1805,4225,0,False
2023-10-20_1905,4226,0,False
2023-10-20_2005,4227,0,False
2023-10-20_2105,4228,0,False
2023-10-20_2205,4229,0,False
2023-10-20_2305,4230,0,False
2023-10-21_0005,4231,0,False
2023-10-21_0105,4232,0,False
2023-10-21_0205,4233,0,False
2023-10-21_0305,4234,0,False
2023-10-21_0405,4235,0,False
2023-10-21_0505,4236,0,False
2023-10-21_0605,4237,0,False
2023-10-21_0705,4238,0,False
2023-10-21_0805,4239,0,False
2023-10-21_0905,4240,0,False
2023-10-21_1005,4241,0,False
2023-10-21_1105,4242,0,False
2023-10-21_1205,4243,0,False
2023-10-21_1305,4244,0,False
2023-10-21_1405,4245,0,False
2023-10-21_1505,4246,0,False
2023-10-21_1605,4247,0,False
2023-10-21_1705,4248,0,False
2023-10-21_1805,4249,0,False
2023-10-21_1905,4250,0,False
2023-10-21_2005,4251,0,False
2023-10-21_2105,4252,0,False
2023-10-21_2205,4253,0,False
2023-10-21_2305,4254,0,False
2023-10-22_0005,4255,0,False
2023-10-22_0105,4256,0,False
2023-10-22_0205,4257,0,False
2023-10-22_0305,4258,0,False
2023-10-22_0405,4259,0,False
2023-10-22_0505,4260,0,False
2023-10-22_0605,4261,0,False
2023-10-22_0705,4262,0,False
2023-10-22_0805,4263,0,False
2023-10-22_0905,4264,0,False
2023-10-22_1005,4265,0,False
2023-10-22_1105,4266,0,False
2023-10-22_1205,4267,0,False
2023-10-22_1305,4268,0,False
2023-10-22_1405,4269,0,False
2023-10-22_1505,4270,0,False
2023-10-22_1605,4271,0,False
2023-10-22_1705,4272,0,False
2023-10-22_1805,4273,0,False
2023-10-22_1905,4274,0,False
2023-10-22_2005,4275,0,False
2023-10-22_2105,4276,0,False
2023-10-22_2205,4277,0,False
2023-10-22_2305,4278,0,False
2023-10-23_0005,4279,0,False
2023-10-23_0105,4280,0,False
2023-10-23_0205,4281,0,False
2023-10-23_0305,4282,0,False
2023-10-23_0405,4283,0,False
2023-10-23_0505,4284,0,False
2023-10-23_0605,4285,0,False
2023-10-23_0705,4286,0,False
2023-10-23_0805,4287,0,False
2023-10-23_0905,4288,0,False
2023-10-23_1005,4289,0,False
2023-10-23_1105,4290,0,False
2023-10-23_1205,4291,0,False
2023-10-23_1305,4292,0,False
2023-10-23_1405,4293,0,False
2023-10-23_1505,4294,0,False
2023-10-23_1605,4295,0,False
2023-10-23_1705,4296,0,False
2023-10-23_1805,4297,0,False
2023-10-23_1905,4298,0,False
2023-10-23_2005,4299,0,False
2023-10-23_2105,4300,0,False
2023-10-23_2205,4301,0,False
2023-10-23_2305,4302,0,False
2023-10-24_0005,4303,0,False
2023-10-24_0105,4304,0,False
2023-10-24_0205,4305,0,False
2023-10-24_0305,4306,0,False
2023-10-24_0405,4307,0,False
2023-10-24_0505,4308,0,False
2023-10-24_0605,4309,0,False
2023-10-24_0705,4310,0,False
2023-10-24_0805,4311,0,False
2023-10-24_0905,4312,0,False
2023-10-24_1005,4313,0,False
2023-10-24_1105,4314,0,False
2023-10-24_1205,4315,0,False
2023-10-24_1305,4316,0,False
2023-10-25_1905,4346,0,False
2023-10-25_2005,4347,0,False
2023-10-25_2105,4348,0,False
2023-10-25_2205,4349,0,False
2023-10-25_2305,4350,0,False
2023-10-26_0005,4351,0,False
2023-10-26_0105,4352,0,False
2023-10-26_0205,4353,0,False
2023-10-26_0305,4354,0,False
2023-10-26_0405,4355,0,False
2023-10-26_0505,4356,0,False
2023-10-26_0605,4357,0,False
2023-10-26_0705,4358,0,False
2023-10-26_0805,4359,0,False
2023-10-26_0905,4360,0,False
2023-10-26_1005,4361,0,False
2023-10-26_1105,4362,0,False
2023-10-26_1205,4363,0,False
2023-10-26_1305,4364,0,False
2023-10-26_1405,4365,0,False
2023-10-26_1505,4366,0,False
2023-10-26_1605,4367,0,False
2023-10-26_1705,4368,0,False
2023-10-26_1805,4369,0,False
2023-10-26_1905,4370,0,False
2023-10-26_2005,4371,0,False
2023-10-26_2105,4372,0,False
2023-10-26_2205,4373,0,False
2023-10-26_2305,4374,0,False
2023-10-27_0005,4375,0,False
2023-10-27_0105,4376,0,False
2023-10-27_0205,4377,0,False
2023-10-27_0305,4378,0,False
2023-10-27_0405,4379,0,False
2023-10-27_0505,4380,0,False
2023-10-27_0605,4381,0,False
2023-10-27_0705,4382,0,False
2023-10-27_0805,4383,0,False
2023-10-27_0905,4384,0,False
2023-10-27_1005,4385,0,False
2023-10-27_1105,4386,0,False
2023-10-27_1205,4387,0,False
2023-10-27_1305,4388,0,False
2023-10-27_1405,4389,0,False
2023-10-27_1505,4390,0,False
2023-10-27_1605,4391,0,False
2023-10-27_1705,4392,0,False
2023-10-27_1805,4393,0,False
2023-10-27_1905,4394,0,False
2023-10-27_2005,4395,0,False
2023-10-27_2105,4396,0,False
2023-10-27_2205,4397,0,False
2023-10-27_2305,4398,0,False
2023-10-28_0005,4399,0,False
2023-10-28_0105,4400,0,False
2023-10-28_0205,4401,0,False
2023-10-28_0305,4402,0,False
2023-10-28_0405,4403,0,False
2023-10-28_0505,4404,0,False
2023-10-28_0605,4405,0,False
2023-10-28_0705,4406,0,False
2023-10-28_0805,4407,0,False
2023-10-28_0905,4408,0,False
2023-10-28_1005,4409,0,False
2023-10-28_1105,4410,0,False
2023-10-28_1205,4411,0,False
2023-10-28_1305,4412,0,False
2023-10-28_1405,4413,0,False
2023-10-28_1505,4414,0,False
2023-10-28_1605,4415,0,False
2023-10-28_1705,4416,0,False
2023-10-28_1805,4417,0,False
2023-10-28_1905,4418,0,False
2023-10-28_2005,4419,0,False
2023-10-28_2105,4420,0,False
2023-10-28_2205,4421,0,False
2023-10-28_2305,4422,0,False
2023-10-29_0005,4423,0,False
2023-10-29_0105,4424,0,False
2023-10-29_0205,4425,0,False
2023-10-29_0305,4426,0,False
2023-10-29_0405,4427,0,False
2023-10-29_0505,4428,0,False
2023-10-29_0605,4429,0,False
2023-10-29_0705,4430,0,False
2023-10-29_0805,4431,0,False
2023-10-29_0905,4432,0,False
2023-10-29_1005,4433,0,False
2023-10-29_1105,4434,0,False
2023-10-29_1205,4435,0,False
2023-10-29_1305,4436,0,False
2023-10-29_1405,4437,0,False
2023-10-29_1505,4438,0,False
2023-10-29_1605,4439,0,False
2023-10-29_1705,4440,0,False
2023-10-29_1805,4441,0,False
2023-10-29_1905,4442,0,False
2023-10-29_2005,4443,0,False
2023-10-29_2105,4444,0,False
2023-10-29_2205,4445,0,False
2023-10-29_2305,4446,0,False
2023-10-30_0005,4447,0,False
2023-10-30_0105,4448,0,False
2023-10-30_0205,4449,0,False
2023-10-30_0305,4450,0,False
2023-10-30_0405,4451,0,False
2023-10-30_0505,4452,0,False
2023-10-30_0605,4453,0,False
2023-10-30_0705,4454,0,False
2023-10-30_0805,4455,0,False
2023-10-30_0905,4456,0,False
2023-10-30_1005,4457,0,False
2023-10-30_1105,4458,0,False
2023-10-30_1205,4459,0,False
2023-10-30_1305,4460,0,False
2023-10-30_1405,4461,0,False
2023-10-30_1505,4462,0,False
2023-10-30_1605,4463,0,False
2023-10-30_1705,4464,0,False
2023-10-30_1805,4465,0,False
2023-10-30_1905,4466,0,False
2023-10-30_2005,4467,0,False
2023-10-30_2105,4468,0,False
2023-10-30_2205,4469,0,False
2023-10-30_2305,4470,0,False
2023-10-31_0005,4471,0,False
2023-10-31_0105,4472,0,False
2023-10-31_0205,4473,0,False
2023-10-31_0305,4474,0,False
2023-10-31_0405,4475,0,False
2023-10-31_0505,4476,0,False
2023-10-31_0605,4477,0,False
2023-10-31_0705,4478,0,False
2023-10-31_0805,4479,0,False
2023-10-31_0905,4480,0,False
