Date,Hours From Start,Area,MayHavePlant
2023-05-09_1005,0,0,False
2023-05-09_1105,1,0,False
2023-05-09_1205,2,0,False
2023-05-09_1305,3,0,False
2023-05-09_1405,4,0,False
2023-05-09_1505,5,0,False
2023-05-09_1605,6,0,False
2023-05-09_1705,7,0,False
2023-05-09_1805,8,0,False
2023-05-09_1905,9,0,False
2023-05-09_2005,10,0,False
2023-05-09_2105,11,0,False
2023-05-09_2205,12,0,False
2023-05-09_2305,13,0,False
2023-05-10_0005,14,0,False
2023-05-10_0105,15,0,False
2023-05-10_0205,16,0,False
2023-05-10_0305,17,0,False
2023-05-10_0405,18,0,False
2023-05-10_0505,19,0,False
2023-05-10_0605,20,0,False
2023-05-10_0705,21,0,False
2023-05-10_0805,22,0,False
2023-05-10_0905,23,0,False
2023-05-10_1005,24,0,False
2023-05-11_1405,52,0,False
2023-05-11_1505,53,0,False
2023-05-11_1605,54,0,False
2023-05-11_1705,55,0,False
2023-05-11_1805,56,0,False
2023-05-11_1905,57,0,False
2023-05-11_2005,58,0,False
2023-05-11_2105,59,0,False
2023-05-11_2205,60,0,False
2023-05-11_2305,61,0,False
2023-05-12_0005,62,0,False
2023-05-12_0105,63,0,False
2023-05-12_0205,64,0,False
2023-05-12_0305,65,0,False
2023-05-12_0405,66,0,False
2023-05-12_0505,67,0,False
2023-05-12_0605,68,0,False
2023-05-12_0705,69,0,False
2023-05-12_0805,70,0,False
2023-05-12_0905,71,0,False
2023-05-12_1005,72,0,False
2023-05-12_1105,73,2,False
2023-05-12_1205,74,0,False
2023-05-12_1305,75,0,False
2023-05-12_1405,76,0,False
2023-05-12_1505,77,0,False
2023-05-12_1605,78,0,False
2023-05-12_1705,79,0,False
2023-05-12_1805,80,0,False
2023-05-12_1905,81,0,False
2023-05-12_2005,82,0,False
2023-05-12_2105,83,0,False
2023-05-12_2205,84,0,False
2023-05-12_2305,85,0,False
2023-05-13_0005,86,0,False
2023-05-13_0105,87,0,False
2023-05-13_0205,88,0,False
2023-05-13_0305,89,0,False
2023-05-13_0405,90,0,False
2023-05-13_0505,91,3,False
2023-05-13_0605,92,2,False
2023-05-13_0705,93,0,False
2023-05-13_0805,94,0,False
2023-05-13_0905,95,0,False
2023-05-13_1005,96,0,False
2023-05-13_1105,97,0,False
2023-05-13_1205,98,0,False
2023-05-13_1305,99,0,False
2023-05-13_1405,100,0,False
2023-05-13_1505,101,0,False
2023-05-13_1605,102,0,False
2023-05-13_1705,103,0,False
2023-05-13_1805,104,0,False
2023-05-13_1905,105,0,False
2023-05-13_2005,106,0,False
2023-05-13_2105,107,0,False
2023-05-13_2205,108,0,False
2023-05-13_2305,109,0,False
2023-05-14_0005,110,0,False
2023-05-14_0105,111,0,False
2023-05-14_0205,112,0,False
2023-05-14_0305,113,1,False
2023-05-14_0405,114,0,False
2023-05-14_0505,115,0,False
2023-05-14_0605,116,0,False
2023-05-14_0705,117,0,False
2023-05-14_0805,118,0,False
2023-05-14_0905,119,0,False
2023-05-14_1005,120,0,False
2023-05-14_1105,121,0,False
2023-05-14_1205,122,0,False
2023-05-14_1305,123,0,False
2023-05-14_1405,124,0,False
2023-05-14_1505,125,2,False
2023-05-14_1605,126,0,False
2023-05-14_1705,127,0,False
2023-05-14_1805,128,0,False
2023-05-14_1905,129,0,False
2023-05-14_2005,130,0,False
2023-05-14_2105,131,0,False
2023-05-14_2205,132,0,False
2023-05-14_2305,133,0,False
2023-05-15_0005,134,0,False
2023-05-15_0105,135,0,False
2023-05-15_0205,136,0,False
2023-05-15_0305,137,0,False
2023-05-15_0405,138,2,False
2023-05-15_0505,139,1,False
2023-05-15_0605,140,1,False
2023-05-15_0705,141,2,False
2023-05-15_0805,142,1,False
2023-05-15_0905,143,0,False
2023-05-15_1005,144,0,False
2023-05-15_1105,145,0,False
2023-05-15_1205,146,2,False
2023-05-15_1305,147,1,False
2023-05-15_1405,148,0,False
2023-05-15_1505,149,0,False
2023-05-15_1605,150,0,False
2023-05-15_1705,151,2,False
2023-05-15_1805,152,0,False
2023-05-15_1905,153,0,False
2023-05-15_2005,154,0,False
2023-05-15_2105,155,0,False
2023-05-15_2205,156,0,False
2023-05-15_2305,157,1,False
2023-05-16_0005,158,0,False
2023-05-16_0105,159,0,False
2023-05-16_0205,160,0,False
2023-05-16_0305,161,0,False
2023-05-16_0405,162,0,False
2023-05-16_0505,163,0,False
2023-05-16_0605,164,0,False
2023-05-16_0705,165,0,False
2023-05-16_0805,166,0,False
2023-05-16_0905,167,0,False
2023-05-16_1005,168,0,False
2023-05-16_1105,169,1,False
2023-05-16_1205,170,0,False
2023-05-16_1305,171,1,False
2023-05-16_1405,172,1,False
2023-05-16_1505,173,1,False
2023-05-16_1605,174,0,False
2023-05-16_1705,175,258,False
2023-05-16_1805,176,9,False
2023-05-16_1905,177,0,False
2023-05-16_2005,178,0,False
2023-05-16_2105,179,0,False
