Date,Hours From Start,Area,MayHavePlant
2023-05-09_1005,0,0,False
2023-05-09_1105,1,0,False
2023-05-11_1405,52,0,False
2023-05-11_1505,53,0,False
2023-05-16_1605,174,2,False
2023-05-16_1705,175,4,False
2023-05-16_1805,176,10,False
2023-05-16_1905,177,0,False
2023-05-16_2005,178,1,False
2023-05-16_2105,179,3,False
2023-05-16_2205,180,1,False
2023-05-16_2305,181,5,False
2023-05-17_0005,182,3,False
2023-05-17_0105,183,1,False
2023-05-17_0205,184,2,False
2023-05-17_0305,185,0,False
2023-05-17_0405,186,1,False
2023-05-17_0505,187,1,False
2023-05-17_0605,188,2,False
2023-05-17_0705,189,4,False
2023-05-17_0805,190,0,False
2023-05-17_0905,191,3,False
2023-05-17_1005,192,1,False
2023-05-17_1105,193,7,False
2023-05-17_1205,194,10,False
2023-05-17_1305,195,1,False
2023-05-17_1405,196,7,False
2023-05-17_1505,197,1,False
2023-05-17_1605,198,0,False
2023-05-17_1705,199,0,False
2023-05-17_1805,200,0,False
2023-05-17_1905,201,2,False
2023-05-17_2005,202,12,False
2023-05-17_2105,203,24,False
2023-05-17_2205,204,17,False
2023-05-17_2305,205,6,False
2023-05-18_0005,206,22,False
2023-05-18_0105,207,32,False
2023-05-18_0205,208,25,False
2023-05-18_0305,209,22,False
2023-05-18_0405,210,21,False
2023-05-18_0505,211,15,False
2023-05-18_0605,212,43,False
2023-05-18_0705,213,72,False
2023-05-18_0805,214,56,False
2023-05-18_0905,215,29,False
2023-05-18_1005,216,8,False
2023-05-18_1105,217,7,False
2023-05-18_1205,218,5,False
2023-05-18_1305,219,5,False
2023-05-18_1405,220,4,False
2023-05-18_1505,221,2,False
2023-05-18_1605,222,0,False
2023-05-18_1705,223,1,False
2023-05-18_1805,224,50,False
2023-05-18_1905,225,30,False
2023-05-18_2005,226,123,False
2023-05-18_2105,227,147,False
2023-05-18_2205,228,17,False
2023-05-18_2305,229,103,False
2023-05-19_0005,230,16,False
2023-05-19_0105,231,33,False
2023-05-19_0205,232,51,False
2023-05-19_0305,233,171,False
2023-05-19_0405,234,39,False
2023-05-19_0505,235,88,False
2023-05-19_0605,236,53,False
2023-05-19_0705,237,53,False
2023-05-19_0805,238,61,False
2023-05-19_0905,239,51,False
2023-05-19_1005,240,14,False
2023-05-19_1105,241,12,False
2023-05-19_1205,242,2,False
2023-05-19_1305,243,6,False
2023-05-19_1405,244,0,False
2023-05-19_1505,245,3,False
2023-05-19_1605,246,23,False
2023-05-19_1705,247,37,False
2023-05-19_1805,248,17,False
2023-05-19_1905,249,72,False
2023-05-19_2005,250,0,False
2023-05-19_2105,251,31,False
2023-05-19_2205,252,6,False
2023-05-19_2305,253,40,False
2023-05-20_0005,254,41,False
2023-05-20_0105,255,7398,False
2023-05-20_0205,256,3128,False
2023-05-20_0305,257,54,False
2023-05-20_0405,258,1416,False
2023-05-20_0505,259,52,False
2023-05-20_0605,260,29,False
2023-05-20_0705,261,34,False
2023-05-20_0805,262,1673,False
2023-05-20_0905,263,6,False
2023-05-20_1005,264,3,False
2023-05-20_1105,265,0,False
2023-05-20_1205,266,4,False
2023-05-20_1305,267,0,False
2023-05-20_1405,268,7,False
2023-05-20_1505,269,3,False
2023-05-20_1605,270,0,False
2023-05-20_1705,271,3,False
2023-05-20_1805,272,9,False
2023-05-20_1905,273,4,False
2023-05-20_2005,274,4,False
2023-05-20_2105,275,2,False
2023-05-20_2205,276,8,False
2023-05-20_2305,277,0,False
2023-05-21_0005,278,4,False
2023-05-21_0105,279,23,False
2023-05-21_0205,280,10,False
2023-05-21_0305,281,1019,False
2023-05-21_0405,282,10,False
2023-05-21_0505,283,22,False
2023-05-21_0605,284,7,False
2023-05-21_0705,285,22,False
2023-05-21_0805,286,25,False
2023-05-21_0905,287,11,False
2023-05-21_1005,288,6,False
2023-05-21_1105,289,3,False
2023-05-21_1205,290,0,False
2023-05-21_1305,291,10,False
2023-05-21_1405,292,5,False
2023-05-21_1505,293,2,False
2023-05-21_1605,294,3,False
2023-05-21_1705,295,0,False
2023-05-21_1805,296,2,False
2023-05-21_1905,297,3,False
2023-05-21_2005,298,9,False
2023-05-21_2105,299,5,False
2023-05-21_2205,300,0,False
2023-05-21_2305,301,4,False
2023-05-22_0005,302,3,False
2023-05-22_0105,303,10,False
2023-05-22_0205,304,2,False
2023-05-22_0305,305,2,False
2023-05-22_0405,306,10,False
2023-05-22_0505,307,686,False
2023-05-22_0605,308,524,False
2023-05-22_0705,309,19,False
2023-05-22_0805,310,30,False
2023-05-22_0905,311,18,False
2023-05-22_1005,312,7,False
2023-05-22_1105,313,0,False
2023-05-22_1205,314,0,False
2023-05-22_1305,315,2,False
2023-05-22_1405,316,5,False
2023-05-22_1505,317,0,False
2023-05-22_1605,318,3,False
2023-05-22_1705,319,0,False
2023-05-22_1805,320,5,False
2023-05-22_1905,321,9,False
