Date,Hours From Start,Area,MayHavePlant
2023-05-10_1105,0,0,False
2023-05-10_1205,1,0,False
2023-05-10_1305,2,0,False
2023-05-10_1405,3,0,False
2023-05-10_1505,4,0,False
2023-05-10_1605,5,0,False
2023-05-10_1705,6,0,False
2023-05-10_1805,7,0,False
2023-05-10_1905,8,0,False
2023-05-10_2005,9,0,False
2023-05-10_2105,10,0,False
2023-05-10_2205,11,0,False
2023-05-10_2305,12,0,False
2023-05-11_0005,13,0,False
2023-05-11_0105,14,0,False
2023-05-11_0205,15,0,False
2023-05-11_0305,16,0,False
2023-05-11_0405,17,0,False
2023-05-11_0505,18,0,False
2023-05-11_0605,19,0,False
2023-05-11_0705,20,0,False
2023-05-11_0805,21,0,False
2023-05-11_0905,22,0,False
2023-05-11_1005,23,0,False
2023-05-11_1105,24,0,False
2023-05-11_1205,25,0,False
2023-05-11_1305,26,0,False
2023-05-11_1405,27,0,False
2023-05-11_1505,28,0,False
2023-05-11_1605,29,0,False
2023-05-11_1705,30,0,False
2023-05-11_1805,31,0,False
2023-05-11_1905,32,0,False
2023-05-11_2005,33,0,False
2023-05-11_2105,34,0,False
2023-05-11_2205,35,0,False
2023-05-11_2305,36,0,False
2023-05-12_0005,37,0,False
2023-05-12_0105,38,0,False
2023-05-12_0205,39,0,False
2023-05-12_0305,40,0,False
2023-05-12_0405,41,0,False
2023-05-12_0505,42,0,False
2023-05-12_0605,43,0,False
2023-05-12_0705,44,0,False
2023-05-12_0805,45,0,False
2023-05-12_0905,46,0,False
2023-05-12_1005,47,0,False
2023-05-12_1105,48,0,False
2023-05-12_1205,49,0,False
2023-05-12_1305,50,0,False
2023-05-12_1405,51,0,False
2023-05-12_1505,52,0,False
2023-05-12_1605,53,0,False
2023-05-12_1705,54,0,False
2023-05-12_1805,55,0,False
2023-05-12_1905,56,0,False
2023-05-12_2005,57,0,False
2023-05-12_2105,58,0,False
2023-05-12_2205,59,0,False
2023-05-12_2305,60,0,False
2023-05-13_0005,61,0,False
2023-05-13_0105,62,0,False
2023-05-13_0205,63,0,False
2023-05-13_0305,64,0,False
2023-05-13_0405,65,0,False
2023-05-13_0505,66,0,False
2023-05-13_0605,67,0,False
2023-05-13_0705,68,0,False
2023-05-13_0805,69,0,False
2023-05-13_0905,70,0,False
2023-05-13_1005,71,0,False
2023-05-13_1105,72,0,False
2023-05-13_1205,73,0,False
2023-05-13_1305,74,0,False
2023-05-13_1405,75,0,False
2023-05-13_1505,76,0,False
2023-05-13_1605,77,0,False
2023-05-13_1705,78,0,False
2023-05-13_1805,79,0,False
2023-05-13_1905,80,0,False
2023-05-13_2005,81,0,False
2023-05-13_2105,82,0,False
2023-05-13_2205,83,0,False
2023-05-13_2305,84,0,False
2023-05-14_0005,85,0,False
2023-05-14_0105,86,0,False
2023-05-14_0205,87,0,False
2023-05-14_0305,88,0,False
2023-05-14_0405,89,0,False
2023-05-14_0505,90,0,False
2023-05-14_0605,91,0,False
2023-05-14_0705,92,0,False
2023-05-14_0805,93,0,False
2023-05-14_0905,94,0,False
2023-05-14_1005,95,0,False
2023-05-14_1105,96,0,False
2023-05-14_1205,97,0,False
2023-05-14_1305,98,0,False
2023-05-14_1405,99,0,False
