Date,Hours From Start,Area,MayHavePlant
2023-05-16_1605,0,0,False
2023-05-16_1705,1,0,False
2023-05-16_1805,2,0,False
2023-05-16_1905,3,0,False
2023-05-16_2005,4,0,False
2023-05-16_2105,5,0,False
2023-05-16_2205,6,0,False
2023-05-16_2305,7,0,False
2023-05-17_0005,8,0,False
2023-05-17_0105,9,0,False
2023-05-17_0205,10,0,False
2023-05-17_0305,11,0,False
2023-05-17_0405,12,0,False
2023-05-17_0505,13,0,False
2023-05-17_0605,14,0,False
2023-05-17_0705,15,0,False
2023-05-17_0805,16,0,False
2023-05-17_0905,17,0,False
2023-05-17_1005,18,0,False
2023-05-17_1105,19,0,False
2023-05-17_1205,20,0,False
2023-05-17_1305,21,0,False
2023-05-17_1405,22,0,False
2023-05-17_1505,23,0,False
2023-05-19_1430,70,0,False
2023-05-19_1905,75,0,False
2023-05-19_2005,76,0,False
2023-05-22_0905,137,0,False
2023-05-22_1005,138,0,False
2023-05-22_1105,139,0,False
2023-05-22_1205,140,0,False
2023-05-22_1305,141,0,False
2023-05-22_1405,142,0,False
2023-05-22_1505,143,0,False
2023-05-22_1605,144,0,False
2023-05-22_1705,145,0,False
2023-05-22_1805,146,0,False
2023-05-23_1005,162,0,False
2024-03-01_0805,6953,8,False
2024-03-01_0905,6954,1,False
2024-03-01_1005,6955,1,False
2024-03-01_1105,6956,4,False
2024-03-01_1205,6957,0,False
2024-03-01_1305,6958,0,False
2024-03-01_1405,6959,0,False
2024-03-01_1505,6960,0,False
2024-03-01_1605,6961,0,False
2024-03-01_1705,6962,0,False
2024-03-01_1805,6963,0,False
2024-03-01_1905,6964,0,False
2024-03-01_2005,6965,0,False
2024-03-01_2105,6966,0,False
2024-03-01_2205,6967,0,False
2024-03-01_2305,6968,0,False
2024-03-02_0005,6969,0,False
2024-03-02_0105,6970,0,False
2024-03-02_0205,6971,0,False
2024-03-02_0305,6972,0,False
2024-03-02_0405,6973,0,False
2024-03-02_0505,6974,0,False
2024-03-02_0605,6975,0,False
2024-03-02_0705,6976,0,False
2024-03-02_0805,6977,0,False
2024-03-02_0905,6978,2,False
2024-03-02_1005,6979,0,False
2024-03-02_1105,6980,1,False
2024-03-02_1205,6981,1,False
2024-03-02_1305,6982,0,False
2024-03-05_1105,7052,1,False
2024-03-05_1205,7053,2,False
2024-03-05_1305,7054,4,False
2024-03-05_1405,7055,0,False
2024-03-05_1505,7056,0,False
2024-03-05_1605,7057,0,False
2024-03-05_1705,7058,0,False
2024-03-05_1805,7059,0,False
2024-03-05_1905,7060,0,False
2024-03-05_2005,7061,0,False
2024-03-05_2105,7062,0,False
2024-03-05_2205,7063,0,False
2024-03-05_2305,7064,0,False
2024-03-06_0005,7065,0,False
2024-03-06_0105,7066,0,False
2024-03-06_0205,7067,1,False
2024-03-06_0305,7068,0,False
2024-03-06_0405,7069,0,False
2024-03-06_0505,7070,1,False
2024-03-06_0605,7071,0,False
2024-03-06_0705,7072,0,False
2024-03-06_0805,7073,1,False
2024-03-06_0905,7074,2,False
2024-03-06_1005,7075,1,False
2024-03-06_1105,7076,1,False
2024-03-06_1205,7077,1,False
2024-03-06_1305,7078,0,False
2024-03-06_1405,7079,0,False
2024-03-06_1505,7080,0,False
2024-03-06_1605,7081,0,False
2024-03-06_1705,7082,1,False
2024-03-06_1805,7083,0,False
2024-03-06_1905,7084,0,False
2024-03-06_2005,7085,0,False
2024-03-06_2105,7086,1,False
2024-03-06_2205,7087,0,False
2024-03-06_2305,7088,0,False
2024-03-07_0005,7089,0,False
2024-03-07_0105,7090,1,False
2024-03-07_0205,7091,0,False
2024-03-07_0305,7092,0,False
2024-03-07_0405,7093,0,False
2024-03-07_0505,7094,41,False
2024-03-07_0605,7095,2825,False
2024-03-07_0705,7096,1,False
2024-03-07_0805,7097,2,False
2024-03-07_0905,7098,60,False
2024-03-07_1005,7099,32,False
2024-03-07_1105,7100,79,False
2024-03-07_1205,7101,90,False
2024-03-07_1305,7102,92,False
2024-03-07_1405,7103,38,False
2024-03-07_1505,7104,48,False
2024-03-07_1605,7105,81,False
2024-03-07_1705,7106,76,False
2024-03-07_1805,7107,81,False
2024-03-07_1905,7108,59,False
2024-03-07_2005,7109,91,False
2024-03-07_2105,7110,141,False
2024-03-07_2205,7111,61,False
2024-03-07_2305,7112,99,False
2024-03-08_0005,7113,91,False
2024-03-08_0105,7114,138,False
2024-03-08_0205,7115,285,False
2024-03-08_0305,7116,136,False
2024-03-08_0405,7117,89,False
2024-03-08_0505,7118,488,False
2024-03-08_0605,7119,67,False
2024-03-08_0705,7120,180,False
2024-03-08_0805,7121,66,False
2024-03-08_0905,7122,148,False
2024-03-08_1005,7123,102,False
2024-03-08_1105,7124,155,False
2024-03-08_1205,7125,86,False
2024-03-08_1305,7126,36,False
2024-03-08_1405,7127,90,False
2024-03-08_1505,7128,232,False
2024-03-08_1605,7129,90,False
2024-03-08_1705,7130,61,False
2024-03-08_1805,7131,62,False
2024-03-08_1905,7132,99,False
2024-03-08_2005,7133,112,False
2024-03-08_2105,7134,89,False
2024-03-08_2205,7135,104,False
2024-03-08_2305,7136,107,False
2024-03-09_0005,7137,153,False
2024-03-09_0105,7138,144,False
2024-03-09_0205,7139,36,False
2024-03-09_0305,7140,158,False
2024-03-09_0405,7141,137,False
2024-03-09_0505,7142,50,False
2024-03-09_0605,7143,498,False
2024-03-09_0705,7144,96,False
2024-03-09_0805,7145,53,False
2024-03-09_0905,7146,186,False
2024-03-09_1005,7147,0,False
2024-03-09_1105,7148,228,False
2024-03-09_1205,7149,138,False
2024-03-09_1305,7150,138,False
2024-03-09_1405,7151,68,False
2024-03-09_1505,7152,134,False
2024-03-09_1605,7153,85,False
2024-03-09_1705,7154,73,False
2024-03-09_1805,7155,113,False
2024-03-09_1905,7156,109,False
2024-03-09_2005,7157,0,False
2024-03-09_2105,7158,72,False
2024-03-09_2205,7159,187,False
2024-03-09_2305,7160,75,False
2024-03-10_0005,7161,93,False
2024-03-10_0105,7162,92,False
2024-03-10_0305,7163,201,False
2024-03-10_0405,7164,56,False
2024-03-10_0505,7165,485,False
2024-03-10_0605,7166,106,False
2024-03-10_0705,7167,85,False
2024-03-10_0805,7168,146,False
2024-03-10_0905,7169,46,False
2024-03-10_1005,7170,0,False
2024-03-10_1105,7171,74,False
2024-03-10_1205,7172,18,False
2024-03-10_1305,7173,56,False
2024-03-10_1405,7174,55,False
2024-03-10_1505,7175,42,False
2024-03-10_1605,7176,113,False
2024-03-10_1705,7177,40,False
2024-03-10_1805,7178,52,False
2024-03-10_1905,7179,155,False
2024-03-10_2005,7180,109,False
2024-03-10_2105,7181,0,False
2024-03-10_2205,7182,62,False
2024-03-10_2305,7183,43,False
2024-03-11_0005,7184,176,False
2024-03-11_0105,7185,320,False
2024-03-11_0205,7186,861,False
2024-03-11_0305,7187,409,False
2024-03-11_0405,7188,509,False
2024-03-11_0505,7189,511,False
2024-03-11_0605,7190,268,False
2024-03-11_0705,7191,303,False
2024-03-11_0805,7192,123,False
2024-03-11_0905,7193,77,False
2024-03-11_1005,7194,117,False
2024-03-11_1105,7195,59,False
2024-03-11_1205,7196,237,False
2024-03-11_1305,7197,0,False
2024-03-11_1405,7198,122,False
2024-03-11_1505,7199,83,False
2024-03-11_1605,7200,41,False
2024-03-11_1705,7201,0,False
2024-03-11_1805,7202,136,False
2024-03-11_1905,7203,69,False
2024-03-11_2005,7204,0,False
2024-03-11_2105,7205,120,False
2024-03-11_2205,7206,51,False
2024-03-11_2305,7207,318,False
2024-03-12_0005,7208,408,False
2024-03-12_0105,7209,773,False
2024-03-12_0205,7210,368,False
2024-03-12_0305,7211,613,False
2024-03-12_0405,7212,328,False
2024-03-12_0505,7213,337,False
2024-03-12_0605,7214,89,False
2024-03-12_0705,7215,757,False
2024-03-12_0805,7216,57,False
2024-03-12_0905,7217,92,False
2024-03-12_1005,7218,106,False
2024-03-12_1105,7219,92,False
2024-03-12_1205,7220,204,False
2024-03-12_1305,7221,115,False
2024-03-12_1405,7222,28,False
2024-03-12_1505,7223,51,False
2024-03-12_1605,7224,46,False
2024-03-12_1705,7225,63,False
2024-03-12_1805,7226,59,False
2024-03-12_1905,7227,124,False
2024-03-12_2005,7228,84,False
2024-03-12_2105,7229,48,False
2024-03-12_2205,7230,123,False
2024-03-12_2305,7231,138,False
2024-03-13_0005,7232,390,False
2024-03-13_0105,7233,104,False
2024-03-13_0205,7234,317,False
2024-03-13_0305,7235,357,False
2024-03-13_0405,7236,104,False
2024-03-13_0505,7237,277,False
2024-03-13_0605,7238,96,False
2024-03-13_0705,7239,283,False
2024-03-13_0805,7240,96,False
2024-03-13_0905,7241,100,False
2024-03-13_1005,7242,53,False
2024-03-13_1105,7243,239,False
2024-03-13_1205,7244,209,False
2024-03-13_1305,7245,56,False
2024-03-13_1405,7246,134,False
2024-03-13_1505,7247,0,False
2024-03-13_1605,7248,50,False
2024-03-13_1705,7249,56,False
2024-03-13_1805,7250,101,False
2024-03-13_1905,7251,44,False
2024-03-13_2005,7252,28,False
2024-03-13_2105,7253,61,False
2024-03-13_2205,7254,0,False
2024-03-13_2305,7255,72,False
2024-03-14_0005,7256,93,False
2024-03-14_0105,7257,335,False
2024-03-14_0205,7258,44,False
2024-03-14_0305,7259,294,False
2024-03-14_0405,7260,178,False
2024-03-14_0505,7261,37,False
2024-03-14_0605,7262,24,False
2024-03-14_0705,7263,207,False
2024-03-14_0805,7264,172,False
2024-03-14_0905,7265,144,False
2024-03-14_1005,7266,228,False
2024-03-14_1105,7267,92,False
2024-03-14_1205,7268,65,False
2024-03-14_1305,7269,135,False
2024-03-14_1405,7270,61,False
2024-03-14_1505,7271,100,False
2024-03-14_1605,7272,139,False
2024-03-14_1705,7273,146,False
2024-03-14_1805,7274,86,False
2024-03-14_1905,7275,89,False
2024-03-14_2005,7276,212,False
2024-03-14_2105,7277,0,False
2024-03-14_2205,7278,193,False
2024-03-14_2305,7279,43,False
2024-03-15_0005,7280,157,False
2024-03-15_0105,7281,350,False
2024-03-15_0205,7282,103,False
2024-03-15_0305,7283,80,False
2024-03-15_0405,7284,64,False
2024-03-15_0505,7285,97,False
2024-03-15_0605,7286,158,False
2024-03-15_0705,7287,0,False
2024-03-15_0805,7288,45,False
2024-03-15_0905,7289,155,False
2024-03-15_1005,7290,105,False
2024-03-15_1105,7291,173,False
2024-03-15_1205,7292,0,False
2024-03-15_1305,7293,211,False
2024-03-15_1405,7294,46,False
2024-03-15_1505,7295,1,False
2024-03-15_1605,7296,0,False
2024-03-15_1705,7297,77,False
2024-03-15_1805,7298,35,False
2024-03-15_1905,7299,52,False
2024-03-15_2005,7300,57,False
2024-03-15_2105,7301,21,False
