Date,Hours From Start,Area,MayHavePlant
2023-05-16_1605,0,0,False
2023-05-16_1705,1,0,False
2023-05-16_1805,2,0,False
2023-05-16_1905,3,0,False
2023-05-16_2005,4,0,False
2023-05-16_2105,5,0,False
2023-05-16_2205,6,0,False
2023-05-16_2305,7,0,False
2023-05-17_0005,8,0,False
2023-05-17_0105,9,0,False
2023-05-17_0205,10,0,False
2023-05-17_0305,11,0,False
2023-05-17_0405,12,0,False
2023-05-17_0505,13,0,False
2023-05-17_0605,14,0,False
2023-05-17_0705,15,0,False
2023-05-17_0805,16,0,False
2023-05-17_0905,17,0,False
2023-05-17_1005,18,0,False
2023-05-17_1105,19,0,False
2023-05-17_1205,20,0,False
2023-05-17_1305,21,0,False
2023-05-17_1405,22,0,False
2023-05-17_1505,23,0,False
2023-05-19_1651,72,0,False
2023-05-19_1905,75,0,False
2023-05-19_2005,76,0,False
2023-05-22_0905,137,0,False
2023-05-22_1005,138,0,False
2023-05-22_1105,139,0,False
2023-05-22_1205,140,0,False
2023-05-22_1305,141,0,False
2023-05-22_1405,142,0,False
2023-05-22_1505,143,0,False
2023-05-22_1605,144,0,False
2023-05-22_1705,145,0,False
2023-05-22_1805,146,0,False
2023-05-23_1005,162,0,False
2023-09-08_1105,2755,0,False
2023-09-08_1205,2756,0,False
2023-09-08_1305,2757,0,False
2023-09-08_1405,2758,0,False
2023-09-08_1505,2759,0,False
2023-09-08_1605,2760,0,False
2023-09-08_1705,2761,0,False
2023-09-08_1805,2762,0,False
2023-09-08_1905,2763,0,False
2023-09-08_2005,2764,0,False
2023-09-08_2105,2765,0,False
2023-09-08_2205,2766,0,False
2023-09-08_2305,2767,0,False
2023-09-09_0005,2768,0,False
2023-09-09_0105,2769,0,False
2023-09-09_0205,2770,0,False
2023-09-09_0305,2771,0,False
2023-09-09_0405,2772,0,False
2023-09-09_0505,2773,0,False
2023-09-09_0605,2774,0,False
2023-09-09_0705,2775,0,False
2023-09-09_0805,2776,0,False
2023-09-09_0905,2777,0,False
2023-09-09_1005,2778,1,False
2023-09-09_1105,2779,0,False
2023-09-09_1205,2780,0,False
2023-09-09_1305,2781,0,False
2023-09-09_1405,2782,0,False
2023-09-09_1505,2783,0,False
2023-09-09_1605,2784,0,False
2023-09-09_1705,2785,0,False
2023-09-09_1805,2786,0,False
2023-09-09_1905,2787,0,False
2023-09-09_2005,2788,2,False
2023-09-09_2105,2789,0,False
2023-09-09_2205,2790,0,False
2023-09-09_2305,2791,0,False
2023-09-10_0005,2792,0,False
2023-09-10_0105,2793,0,False
2023-09-10_0205,2794,0,False
2023-09-10_0305,2795,0,False
2023-09-10_0405,2796,0,False
2023-09-10_0505,2797,0,False
2023-09-10_0605,2798,0,False
2023-09-10_0705,2799,0,False
2023-09-10_0805,2800,0,False
2023-09-10_0905,2801,0,False
2023-09-10_1005,2802,0,False
2023-09-10_1105,2803,0,False
2023-09-10_1205,2804,0,False
2023-09-10_1305,2805,0,False
2023-09-10_1405,2806,0,False
2023-09-10_1505,2807,0,False
2023-09-10_1605,2808,0,False
2023-09-10_1705,2809,0,False
2023-09-10_1805,2810,0,False
2023-09-10_1905,2811,0,False
2023-09-10_2005,2812,0,False
2023-09-10_2105,2813,0,False
2023-09-10_2205,2814,0,False
2023-09-10_2305,2815,0,False
2023-09-11_0005,2816,0,False
2023-09-11_0105,2817,0,False
2023-09-11_0205,2818,0,False
2023-09-11_0305,2819,0,False
2023-09-11_0405,2820,0,False
2023-09-11_0505,2821,0,False
2023-09-11_0605,2822,0,False
2023-09-11_0705,2823,0,False
2023-09-11_0805,2824,0,False
2023-09-11_0905,2825,0,False
2023-09-11_1005,2826,0,False
2023-09-11_1105,2827,0,False
2023-09-11_1205,2828,0,False
2023-09-11_1305,2829,0,False
2023-09-11_1405,2830,0,False
2023-09-11_1505,2831,0,False
2023-09-11_1605,2832,0,False
2023-09-11_1705,2833,0,False
2023-09-11_1805,2834,0,False
2023-09-11_1905,2835,0,False
2023-09-11_2005,2836,0,False
2023-09-11_2105,2837,0,False
2023-09-11_2205,2838,0,False
2023-09-11_2305,2839,0,False
2023-09-12_0005,2840,0,False
2023-09-12_0105,2841,0,False
2023-09-12_0205,2842,0,False
2023-09-12_0305,2843,0,False
2023-09-12_0405,2844,0,False
2023-09-12_0505,2845,0,False
2023-09-12_0605,2846,0,False
2023-09-12_0705,2847,0,False
2023-09-12_0805,2848,0,False
2023-09-12_0905,2849,0,False
2023-09-12_1005,2850,0,False
2023-09-12_1105,2851,0,False
2023-09-12_1205,2852,0,False
2023-09-12_1305,2853,0,False
2023-09-12_1405,2854,0,False
2023-09-12_1505,2855,0,False
2023-09-12_1605,2856,0,False
2023-09-12_1705,2857,2,False
2023-09-12_1805,2858,0,False
2023-09-12_1905,2859,0,False
2023-09-12_2005,2860,0,False
2023-09-12_2105,2861,0,False
2023-09-12_2205,2862,0,False
2023-09-12_2305,2863,0,False
2023-09-13_0005,2864,0,False
2023-09-13_0105,2865,0,False
2023-09-13_0205,2866,0,False
2023-09-13_0305,2867,0,False
2023-09-13_0405,2868,0,False
2023-09-13_0505,2869,0,False
2023-09-13_0605,2870,0,False
2023-09-13_0705,2871,0,False
2023-09-13_0805,2872,0,False
2023-09-13_0905,2873,0,False
2023-09-13_1005,2874,0,False
2023-09-13_1105,2875,0,False
2023-09-13_1205,2876,0,False
2023-09-13_1305,2877,0,False
2023-09-13_1405,2878,0,False
2023-09-13_1505,2879,0,False
2023-09-13_1605,2880,0,False
2023-09-13_1705,2881,0,False
2023-09-13_1805,2882,0,False
2023-09-13_1905,2883,0,False
2023-09-13_2005,2884,0,False
2023-09-13_2105,2885,0,False
2023-09-13_2205,2886,0,False
2023-09-13_2305,2887,0,False
2023-09-14_0005,2888,0,False
2023-09-14_0105,2889,0,False
2023-09-14_0205,2890,0,False
2023-09-14_0305,2891,0,False
2023-09-14_0405,2892,0,False
2023-09-14_0505,2893,0,False
2023-09-14_0605,2894,0,False
2023-09-14_0705,2895,0,False
2023-09-14_0805,2896,798,False
2023-09-14_0905,2897,0,False
2023-09-14_1005,2898,0,False
2023-09-14_1105,2899,0,False
2023-09-14_1205,2900,0,False
2023-09-14_1305,2901,0,False
2023-09-14_1405,2902,0,False
2023-09-14_1505,2903,0,False
2023-09-14_1605,2904,0,False
2023-09-14_1705,2905,0,False
2023-09-14_1805,2906,0,False
2023-09-14_1905,2907,0,False
2023-09-14_2005,2908,0,False
2023-09-14_2105,2909,0,False
2023-09-14_2205,2910,0,False
2023-09-14_2305,2911,0,False
2023-09-15_0005,2912,0,False
2023-09-15_0105,2913,0,False
2023-09-15_0205,2914,0,False
2023-09-15_0305,2915,0,False
2023-09-15_0405,2916,0,False
2023-09-15_0505,2917,0,False
2023-09-15_0605,2918,1,False
2023-09-15_0705,2919,0,False
2023-09-15_0805,2920,0,False
2023-09-15_0905,2921,0,False
2023-09-15_1005,2922,0,False
2023-09-15_1105,2923,0,False
2023-09-15_1205,2924,0,False
2023-09-15_1305,2925,0,False
2023-09-15_1405,2926,0,False
2023-09-15_1505,2927,0,False
2023-09-15_1605,2928,0,False
2023-09-15_1705,2929,0,False
2023-09-15_1805,2930,0,False
2023-09-15_1905,2931,0,False
2023-09-15_2005,2932,0,False
2023-09-15_2105,2933,0,False
2023-09-15_2205,2934,0,False
2023-09-15_2305,2935,0,False
2023-09-16_0005,2936,0,False
2023-09-16_0105,2937,0,False
2023-09-16_0205,2938,0,False
2023-09-16_0305,2939,0,False
2023-09-16_0405,2940,0,False
2023-09-16_0505,2941,0,False
2023-09-16_0605,2942,0,False
2023-09-16_0705,2943,0,False
2023-09-16_0805,2944,0,False
2023-09-16_0905,2945,0,False
2023-09-16_1005,2946,0,False
2023-09-16_1105,2947,0,False
2023-09-16_1205,2948,1,False
2023-09-16_1305,2949,0,False
2023-09-16_1405,2950,0,False
2023-09-16_1505,2951,0,False
2023-09-16_1605,2952,0,False
2023-09-16_1705,2953,0,False
2023-09-16_1805,2954,0,False
2023-09-16_1905,2955,0,False
2023-09-16_2005,2956,0,False
2023-09-16_2105,2957,0,False
2023-09-16_2205,2958,0,False
2023-09-16_2305,2959,0,False
2023-09-17_0005,2960,4,False
2023-09-17_0105,2961,0,False
2023-09-17_0205,2962,0,False
2023-09-17_0305,2963,0,False
2023-09-17_0405,2964,0,False
2023-09-17_0505,2965,1,False
2023-09-17_0605,2966,0,False
2023-09-17_0705,2967,0,False
2023-09-17_0805,2968,0,False
2023-09-17_0905,2969,0,False
2023-09-17_1005,2970,0,False
2023-09-17_1105,2971,0,False
2023-09-17_1205,2972,0,False
2023-09-17_1305,2973,1,False
2023-09-17_1405,2974,0,False
2023-09-17_1505,2975,0,False
2023-09-17_1605,2976,0,False
2023-09-17_1705,2977,0,False
2023-09-17_1805,2978,0,False
2023-09-17_1905,2979,0,False
2023-09-17_2005,2980,0,False
2023-09-17_2105,2981,0,False
2023-09-17_2205,2982,0,False
2023-09-17_2305,2983,0,False
2023-09-18_0005,2984,0,False
2023-09-18_0105,2985,0,False
2023-09-18_0205,2986,0,False
2023-09-18_0305,2987,0,False
2023-09-18_0405,2988,0,False
2023-09-18_0505,2989,0,False
2023-09-18_0605,2990,0,False
2023-09-18_0705,2991,0,False
2023-09-18_0805,2992,0,False
2023-09-18_0905,2993,0,False
2023-09-18_1005,2994,0,False
2023-09-18_1105,2995,0,False
2023-09-18_1205,2996,0,False
2023-09-18_1305,2997,0,False
2023-09-18_1405,2998,0,False
2023-09-18_1505,2999,0,False
2023-09-18_1605,3000,0,False
2023-09-18_1705,3001,0,False
2023-09-18_1805,3002,0,False
2023-09-18_1905,3003,0,False
2023-09-18_2005,3004,0,False
2023-09-18_2105,3005,0,False
2023-09-18_2205,3006,0,False
2023-09-18_2305,3007,0,False
2023-09-19_0005,3008,0,False
2023-09-19_0105,3009,0,False
2023-09-19_0205,3010,0,False
2023-09-19_0305,3011,0,False
2023-09-19_0405,3012,0,False
2023-09-19_0505,3013,0,False
2023-09-19_0605,3014,0,False
2023-09-19_0705,3015,1616,False
2023-09-19_0805,3016,0,False
2023-09-19_0905,3017,0,False
2023-09-19_1005,3018,1,False
2023-09-19_1105,3019,0,False
2023-09-19_1205,3020,0,False
2023-09-19_1305,3021,0,False
2023-09-19_1405,3022,0,False
2023-09-19_1505,3023,0,False
2023-09-19_1605,3024,0,False
2023-09-19_1705,3025,0,False
2023-09-19_1805,3026,0,False
2023-09-19_1905,3027,0,False
2023-09-19_2005,3028,0,False
2023-09-19_2105,3029,0,False
2023-09-19_2205,3030,0,False
2023-09-19_2305,3031,0,False
2023-09-20_0005,3032,0,False
2023-09-20_0105,3033,0,False
2023-09-20_0205,3034,0,False
