Date,Hours From Start,Area,MayHavePlant
2023-05-17_1805,0,0,False
2023-05-17_1905,1,0,False
2023-05-17_2005,2,0,False
2023-05-17_2105,3,0,False
2023-05-17_2205,4,0,False
2023-05-17_2305,5,0,False
2023-05-18_0005,6,0,False
2023-05-18_0105,7,0,False
2023-05-18_0205,8,0,False
2023-05-18_0305,9,0,False
2023-05-18_0405,10,0,False
2023-05-18_0505,11,0,False
2023-05-18_0605,12,0,False
2023-05-18_0705,13,0,False
2023-05-18_0805,14,0,False
2023-05-18_0905,15,0,False
2023-05-18_1005,16,0,False
2023-05-18_1105,17,0,False
2023-05-18_1205,18,0,False
2023-05-18_1305,19,0,False
2023-05-18_1405,20,0,False
2023-05-18_1505,21,0,False
2023-05-18_1605,22,0,False
2023-05-18_1705,23,0,False
2023-05-18_1805,24,0,False
2023-05-18_1905,25,0,False
2023-05-18_2005,26,0,False
2023-05-18_2105,27,0,False
2023-05-18_2205,28,0,False
2023-05-18_2305,29,0,False
2023-05-19_0005,30,0,False
2023-05-19_0105,31,0,False
2023-05-19_0205,32,0,False
2023-05-19_0305,33,0,False
2023-05-19_0405,34,0,False
2023-05-19_0505,35,0,False
2023-05-19_0605,36,0,False
2023-05-19_0705,37,0,False
2023-05-19_0805,38,0,False
2023-05-19_0905,39,0,False
2023-05-19_1005,40,0,False
2023-05-19_1105,41,0,False
2023-05-19_1205,42,0,False
2023-05-19_1305,43,0,False
2023-05-19_1405,44,0,False
2023-05-19_1505,45,0,False
2023-05-19_1605,46,0,False
2023-05-19_1704,46,0,False
2023-05-19_1905,49,0,False
2023-05-19_2005,50,0,False
2023-05-22_0905,111,0,False
2023-05-22_1005,112,0,False
2023-05-22_1105,113,0,False
2023-05-22_1205,114,0,False
2023-05-22_1305,115,0,False
2023-05-22_1405,116,0,False
2023-05-22_1505,117,0,False
2023-05-22_1605,118,0,False
2023-05-22_1705,119,0,False
2023-05-22_1805,120,0,False
2023-05-23_1005,136,0,False
2024-01-12_1205,5755,29,False
2024-01-12_1305,5756,21,False
2024-01-12_1405,5757,26,False
2024-01-12_1505,5758,29,False
2024-01-12_1605,5759,15,False
2024-01-12_1705,5760,26,False
2024-01-12_1805,5761,17,False
2024-01-12_1905,5762,34,False
2024-01-12_2005,5763,0,False
2024-01-12_2105,5764,24,False
2024-01-12_2205,5765,35,False
2024-01-12_2305,5766,10,False
2024-01-13_0005,5767,11,False
2024-01-13_0105,5768,24,False
2024-01-13_0205,5769,36,False
2024-01-13_0305,5770,21,False
2024-01-13_0405,5771,24,False
2024-01-13_0505,5772,20,False
2024-01-13_0605,5773,30,False
2024-01-13_0705,5774,24,False
2024-01-13_0805,5775,35,False
2024-01-13_0905,5776,19,False
2024-01-13_1005,5777,18,False
2024-01-13_1105,5778,20,False
2024-01-13_1205,5779,16,False
2024-01-13_1305,5780,40,False
2024-01-13_1405,5781,30,False
2024-01-13_1505,5782,12,False
2024-01-13_1605,5783,29,False
2024-01-13_1705,5784,24,False
2024-01-13_1805,5785,20,False
2024-01-13_1905,5786,20,False
2024-01-13_2005,5787,38,False
2024-01-13_2105,5788,25,False
2024-01-13_2205,5789,17,False
2024-01-13_2305,5790,47,False
2024-01-14_0005,5791,16,False
2024-01-14_0105,5792,18,False
2024-01-14_0205,5793,17,False
2024-01-14_0305,5794,27,False
2024-01-14_0405,5795,29,False
2024-01-14_0505,5796,33,False
2024-01-14_0605,5797,25,False
2024-01-14_0705,5798,15,False
2024-01-14_0805,5799,26,False
2024-01-14_0905,5800,21,False
2024-01-14_1005,5801,18,False
2024-01-14_1105,5802,20,False
2024-01-14_1205,5803,20,False
2024-01-14_1305,5804,21,False
2024-01-14_1405,5805,21,False
2024-01-14_1505,5806,32,False
2024-01-14_1605,5807,23,False
2024-01-14_1705,5808,35,False
2024-01-14_1805,5809,29,False
2024-01-14_1905,5810,28,False
2024-01-14_2005,5811,22,False
2024-01-14_2105,5812,23,False
2024-01-14_2205,5813,39,False
2024-01-14_2305,5814,36,False
2024-01-15_0005,5815,19,False
2024-01-15_0105,5816,39,False
2024-01-15_0205,5817,26,False
2024-01-15_0305,5818,21,False
2024-01-15_0405,5819,24,False
2024-01-15_0505,5820,19,False
2024-01-15_0605,5821,30,False
2024-01-15_0705,5822,33,False
2024-01-15_0805,5823,11,False
2024-01-15_0905,5824,26,False
2024-01-15_1005,5825,23,False
2024-01-15_1105,5826,44,False
2024-01-15_1205,5827,0,False
2024-01-15_1305,5828,17,False
2024-01-15_1405,5829,26,False
2024-01-15_1505,5830,29,False
2024-01-15_1605,5831,24,False
2024-01-15_1705,5832,24,False
2024-01-15_1805,5833,31,False
2024-01-15_1905,5834,26,False
2024-01-15_2005,5835,39,False
2024-01-15_2105,5836,43,False
2024-01-15_2205,5837,46,False
2024-01-15_2305,5838,51,False
2024-01-16_0005,5839,72,False
2024-01-16_0105,5840,41,False
2024-01-16_0205,5841,27,False
2024-01-16_0305,5842,89,False
2024-01-16_0405,5843,46,False
2024-01-16_0505,5844,24,False
2024-01-16_0605,5845,33,False
2024-01-16_0705,5846,14,False
2024-01-16_0805,5847,31,False
2024-01-16_0905,5848,0,False
2024-01-16_1005,5849,53,False
2024-01-16_1105,5850,29,False
2024-01-16_1205,5851,38,False
2024-01-16_1305,5852,26,False
2024-01-16_1405,5853,28,False
2024-01-16_1505,5854,31,False
2024-01-16_1605,5855,34,False
2024-01-16_1705,5856,52,False
2024-01-16_1805,5857,42,False
2024-01-16_1905,5858,24,False
2024-01-16_2005,5859,40,False
2024-01-16_2105,5860,23,False
2024-01-16_2205,5861,34,False
2024-01-16_2305,5862,28,False
2024-01-17_0005,5863,17,False
2024-01-17_0105,5864,23,False
2024-01-17_0205,5865,19,False
2024-01-17_0305,5866,21,False
2024-01-17_0405,5867,16,False
2024-01-17_0505,5868,38,False
2024-01-17_0605,5869,33,False
2024-01-17_0705,5870,36,False
2024-01-17_0805,5871,20,False
2024-01-17_0905,5872,39,False
2024-01-17_1005,5873,27,False
2024-01-17_1105,5874,40,False
2024-01-17_1205,5875,41,False
2024-01-17_1305,5876,24,False
2024-01-17_1405,5877,0,False
2024-01-17_1505,5878,26,False
2024-01-17_1605,5879,52,False
2024-01-17_1705,5880,44,False
2024-01-17_1805,5881,36,False
2024-01-17_1905,5882,27,False
2024-01-17_2005,5883,27,False
2024-01-17_2105,5884,24,False
2024-01-17_2205,5885,0,False
2024-01-17_2305,5886,57,False
2024-01-18_0005,5887,9,False
2024-01-18_0105,5888,10,False
2024-01-18_0205,5889,13,False
2024-01-18_0305,5890,16,False
2024-01-18_0405,5891,20,False
2024-01-18_0505,5892,19,False
