Date,Hours From Start,Area,MayHavePlant
2023-05-17_1805,0,0,False
2023-05-17_1905,1,0,False
2023-05-17_2005,2,0,False
2023-05-17_2105,3,0,False
2023-05-17_2205,4,0,False
2023-05-17_2305,5,0,False
2023-05-18_0005,6,0,False
2023-05-18_0105,7,0,False
2023-05-18_0205,8,0,False
2023-05-18_0305,9,0,False
2023-05-18_0405,10,0,False
2023-05-18_0505,11,0,False
2023-05-18_0605,12,0,False
2023-05-18_0705,13,0,False
2023-05-18_0805,14,0,False
2023-05-18_0905,15,0,False
2023-05-18_1005,16,0,False
2023-05-18_1105,17,0,False
2023-05-18_1205,18,0,False
2023-05-18_1305,19,0,False
2023-05-18_1405,20,0,False
2023-05-18_1505,21,0,False
2023-05-18_1605,22,0,False
2023-05-18_1705,23,0,False
2023-05-18_1805,24,0,False
2023-05-18_1905,25,0,False
2023-05-18_2005,26,0,False
2023-05-18_2105,27,0,False
2023-05-18_2205,28,0,False
2023-05-18_2305,29,0,False
2023-05-19_0005,30,0,False
2023-05-19_0105,31,0,False
2023-05-19_0205,32,0,False
2023-05-19_0305,33,0,False
2023-05-19_0405,34,0,False
2023-05-19_0505,35,0,False
2023-05-19_0605,36,0,False
2023-05-19_0705,37,0,False
2023-05-19_0805,38,0,False
2023-05-19_0905,39,0,False
2023-05-19_1005,40,0,False
2023-05-19_1105,41,0,False
2023-05-19_1205,42,0,False
2023-05-19_1305,43,0,False
2023-05-19_1405,44,0,False
2023-05-19_1505,45,0,False
2023-05-19_1605,46,0,False
2023-05-19_1733,47,0,False
2023-05-19_1905,49,0,False
2023-05-19_2005,50,0,False
2023-05-22_0905,111,0,False
2023-05-22_1005,112,0,False
2023-05-22_1105,113,0,False
2023-05-22_1205,114,0,False
2023-05-22_1305,115,0,False
2023-05-22_1405,116,0,False
2023-05-22_1505,117,0,False
2023-05-22_1605,118,0,False
2023-05-22_1705,119,0,False
2023-05-22_1805,120,0,False
2023-05-23_1005,136,0,False
2024-01-02_1204,5514,53,False
2024-03-01_0805,6927,0,False
2024-03-01_0905,6928,0,False
2024-03-01_1005,6929,1,False
2024-03-01_1105,6930,0,False
2024-03-01_1205,6931,0,False
2024-03-01_1305,6932,0,False
2024-03-01_1405,6933,0,False
2024-03-01_1505,6934,0,False
2024-03-01_1605,6935,0,False
2024-03-01_1705,6936,0,False
2024-03-01_1805,6937,0,False
2024-03-01_1905,6938,0,False
2024-03-01_2005,6939,0,False
2024-03-01_2105,6940,0,False
2024-03-01_2205,6941,0,False
2024-03-01_2305,6942,0,False
2024-03-02_0005,6943,0,False
2024-03-02_0105,6944,0,False
2024-03-02_0205,6945,1,False
2024-03-02_0305,6946,1,False
2024-03-02_0405,6947,0,False
2024-03-02_0505,6948,2,False
2024-03-02_0605,6949,2,False
2024-03-02_0705,6950,2,False
2024-03-02_0805,6951,0,False
2024-03-02_0905,6952,0,False
2024-03-02_1005,6953,0,False
2024-03-02_1105,6954,0,False
2024-03-02_1205,6955,0,False
2024-03-02_1305,6956,0,False
2024-03-02_1405,6957,0,False
2024-03-02_1505,6958,0,False
2024-03-02_1605,6959,0,False
2024-03-02_1705,6960,0,False
2024-03-02_1805,6961,0,False
2024-03-02_1905,6962,0,False
2024-03-02_2005,6963,0,False
2024-03-02_2105,6964,0,False
2024-03-02_2205,6965,0,False
2024-03-02_2305,6966,3,False
2024-03-03_0005,6967,0,False
2024-03-03_0105,6968,0,False
2024-03-03_0205,6969,0,False
2024-03-03_0305,6970,3,False
2024-03-03_0405,6971,0,False
2024-03-03_0505,6972,0,False
2024-03-03_0605,6973,0,False
2024-03-03_0705,6974,0,False
2024-03-03_0805,6975,1,False
2024-03-03_0905,6976,0,False
2024-03-03_1005,6977,0,False
2024-03-03_1105,6978,0,False
2024-03-03_1205,6979,0,False
2024-03-03_1305,6980,0,False
2024-03-03_1405,6981,0,False
2024-03-03_1505,6982,0,False
2024-03-03_1605,6983,0,False
2024-03-03_1705,6984,0,False
2024-03-03_1805,6985,0,False
2024-03-03_1905,6986,0,False
2024-03-03_2005,6987,0,False
2024-03-03_2105,6988,0,False
2024-03-03_2205,6989,0,False
2024-03-03_2305,6990,0,False
2024-03-04_0005,6991,1,False
2024-03-04_0105,6992,0,False
2024-03-04_0205,6993,0,False
2024-03-04_0305,6994,0,False
2024-03-04_0405,6995,0,False
2024-03-04_0505,6996,0,False
2024-03-04_0605,6997,0,False
2024-03-04_0705,6998,0,False
2024-03-04_0805,6999,2,False
2024-03-04_0905,7000,0,False
2024-03-04_1005,7001,0,False
2024-03-04_1105,7002,0,False
2024-03-04_1205,7003,0,False
2024-03-04_1305,7004,0,False
2024-03-04_1405,7005,0,False
2024-03-04_1505,7006,0,False
2024-03-04_1605,7007,0,False
2024-03-04_1705,7008,0,False
2024-03-04_1805,7009,0,False
2024-03-04_1905,7010,0,False
2024-03-04_2005,7011,0,False
2024-03-04_2105,7012,0,False
2024-03-04_2205,7013,0,False
2024-03-04_2305,7014,0,False
2024-03-05_0005,7015,0,False
2024-03-05_0105,7016,0,False
2024-03-05_0205,7017,0,False
2024-03-05_0305,7018,1,False
2024-03-05_0405,7019,1,False
2024-03-05_0505,7020,1,False
2024-03-05_0605,7021,0,False
2024-03-05_0705,7022,0,False
2024-03-05_0805,7023,0,False
2024-03-05_0905,7024,0,False
2024-03-05_1005,7025,0,False
2024-03-05_1105,7026,0,False
2024-03-05_1205,7027,0,False
2024-03-05_1305,7028,0,False
2024-03-05_1405,7029,0,False
2024-03-05_1505,7030,0,False
2024-03-05_1605,7031,0,False
2024-03-05_1705,7032,0,False
2024-03-05_1805,7033,0,False
2024-03-05_1905,7034,0,False
2024-03-05_2005,7035,0,False
2024-03-05_2105,7036,0,False
2024-03-05_2205,7037,1,False
2024-03-05_2305,7038,7,False
2024-03-06_0005,7039,0,False
2024-03-06_0105,7040,0,False
2024-03-06_0205,7041,0,False
2024-03-06_0305,7042,0,False
2024-03-06_0405,7043,0,False
2024-03-06_0505,7044,0,False
2024-03-06_0605,7045,0,False
2024-03-06_0705,7046,0,False
2024-03-06_0805,7047,0,False
2024-03-06_0905,7048,0,False
2024-03-06_1005,7049,0,False
2024-03-06_1105,7050,2,False
2024-03-06_1205,7051,0,False
2024-03-06_1305,7052,0,False
2024-03-06_1405,7053,0,False
2024-03-06_1505,7054,0,False
2024-03-06_1605,7055,0,False
2024-03-06_1705,7056,0,False
2024-03-06_1805,7057,0,False
2024-03-06_1905,7058,0,False
2024-03-06_2005,7059,0,False
2024-03-06_2105,7060,0,False
2024-03-06_2205,7061,0,False
2024-03-06_2305,7062,0,False
2024-03-07_0005,7063,0,False
