Date,Hours From Start,Area,MayHavePlant
2023-05-17_1805,0,0,False
2023-05-17_1905,1,0,False
2023-05-17_2005,2,0,False
2023-05-17_2105,3,0,False
2023-05-17_2205,4,0,False
2023-05-17_2305,5,0,False
2023-05-18_0005,6,0,False
2023-05-18_0105,7,0,False
2023-05-18_0205,8,0,False
2023-05-18_0305,9,0,False
2023-05-18_0405,10,0,False
2023-05-18_0505,11,0,False
2023-05-18_0605,12,0,False
2023-05-18_0705,13,0,False
2023-05-18_0805,14,0,False
2023-05-18_0905,15,0,False
2023-05-18_1005,16,0,False
2023-05-18_1105,17,0,False
2023-05-18_1205,18,0,False
2023-05-18_1305,19,0,False
2023-05-18_1405,20,0,False
2023-05-18_1505,21,0,False
2023-05-18_1605,22,0,False
2023-05-18_1705,23,0,False
2023-05-18_1805,24,0,False
2023-05-18_1905,25,0,False
2023-05-18_2005,26,0,False
2023-05-18_2105,27,0,False
2023-05-18_2205,28,0,False
2023-05-18_2305,29,0,False
2023-05-19_0005,30,0,False
2023-05-19_0105,31,0,False
2023-05-19_0205,32,0,False
2023-05-19_0305,33,0,False
2023-05-19_0405,34,0,False
2023-05-19_0505,35,0,False
2023-05-19_0605,36,0,False
2023-05-19_0705,37,0,False
2023-05-19_0805,38,0,False
2023-05-19_0905,39,0,False
2023-05-19_1005,40,0,False
2023-05-19_1105,41,0,False
2023-05-19_1205,42,0,False
2023-05-19_1305,43,0,False
2023-05-19_1405,44,0,False
2023-05-19_1505,45,0,False
2023-05-19_1605,46,0,False
2023-05-19_1751,47,0,False
2023-05-19_1905,49,0,False
2023-05-19_2005,50,0,False
2023-05-22_0905,111,0,False
2023-05-22_1005,112,0,False
2023-05-22_1105,113,0,False
2023-05-22_1205,114,0,False
2023-05-22_1305,115,0,False
2023-05-22_1405,116,0,False
2023-05-22_1505,117,0,False
2023-05-22_1605,118,0,False
2023-05-22_1705,119,0,False
2023-05-22_1805,120,0,False
2023-05-23_1005,136,0,False
2023-11-03_0805,4070,8391,False
2023-11-03_0905,4071,0,False
2023-11-03_1005,4072,6,False
2023-11-03_1105,4073,0,False
2023-11-03_1205,4074,0,False
2023-11-03_1305,4075,0,False
2023-11-03_1405,4076,0,False
2023-11-03_1505,4077,0,False
2023-11-03_1605,4078,0,False
2023-11-03_1705,4079,1,False
2023-11-03_1805,4080,0,False
2023-11-03_1905,4081,0,False
2023-11-03_2005,4082,0,False
2023-11-03_2105,4083,0,False
2023-11-03_2205,4084,0,False
2023-11-03_2305,4085,0,False
2023-11-04_0005,4086,0,False
2023-11-04_0105,4087,0,False
2023-11-04_0205,4088,1,False
2023-11-04_0305,4089,0,False
2023-11-04_0405,4090,2,False
2023-11-04_0505,4091,1,False
2023-11-04_0605,4092,0,False
2023-11-04_0705,4093,1,False
2023-11-04_0805,4094,1,False
2023-11-04_0905,4095,0,False
2023-11-04_1005,4096,0,False
2023-11-16_1718,4392,59684,False
2023-12-05_1205,4843,0,False
2023-12-05_1305,4844,1,False
2023-12-05_1405,4845,1,False
2023-12-05_1505,4846,0,False
2023-12-05_1605,4847,0,False
2023-12-05_1705,4848,2,False
2023-12-05_1805,4849,0,False
2023-12-05_1905,4850,0,False
2023-12-05_2005,4851,3,False
2023-12-05_2105,4852,1,False
2023-12-05_2205,4853,0,False
2023-12-05_2305,4854,7,False
2023-12-06_0005,4855,7,False
2023-12-06_0105,4856,4,False
2023-12-06_0205,4857,1,False
2023-12-06_0305,4858,2,False
2023-12-06_0405,4859,0,False
2023-12-06_0505,4860,1,False
2023-12-06_0605,4861,6,False
2023-12-06_0705,4862,0,False
2023-12-06_0805,4863,0,False
2023-12-06_0905,4864,3,False
2023-12-06_1005,4865,2,False
2023-12-06_1105,4866,1,False
2023-12-06_1205,4867,17,False
2023-12-06_1305,4868,5,False
2023-12-06_1405,4869,9,False
2023-12-06_1505,4870,38,False
2023-12-06_1605,4871,0,False
2023-12-06_1705,4872,42,False
2023-12-06_1805,4873,30,False
2023-12-06_1905,4874,20,False
2023-12-06_2005,4875,13,False
2023-12-06_2105,4876,8,False
2023-12-06_2205,4877,12,False
2023-12-06_2305,4878,15,False
2023-12-07_0005,4879,26,False
2023-12-07_0105,4880,3,False
2023-12-07_0205,4881,0,False
2023-12-07_0305,4882,0,False
2023-12-07_0405,4883,0,False
2023-12-07_0505,4884,0,False
2023-12-07_0605,4885,0,False
2023-12-07_0705,4886,0,False
2023-12-07_0805,4887,0,False
2023-12-07_0905,4888,0,False
2023-12-07_1005,4889,0,False
2023-12-07_1105,4890,0,False
2023-12-07_1205,4891,0,False
2023-12-07_1305,4892,0,False
2023-12-07_1405,4893,0,False
2023-12-07_1505,4894,0,False
2023-12-07_1605,4895,0,False
2023-12-07_1705,4896,0,False
2023-12-07_1805,4897,3,False
2023-12-07_1905,4898,0,False
2023-12-07_2005,4899,0,False
2023-12-07_2105,4900,0,False
2023-12-07_2205,4901,0,False
2023-12-07_2305,4902,4,False
2023-12-08_0005,4903,24,False
2023-12-08_0105,4904,7,False
2023-12-08_0205,4905,23,False
2023-12-08_0305,4906,0,False
2023-12-08_0405,4907,27,False
2023-12-08_0505,4908,18,False
2023-12-08_0605,4909,0,False
2023-12-08_0705,4910,0,False
2023-12-08_0805,4911,1,False
2023-12-08_0905,4912,0,False
2023-12-08_1005,4913,2,False
2023-12-08_1105,4914,2,False
2023-12-08_1205,4915,1,False
2023-12-08_1305,4916,0,False
2023-12-08_1405,4917,4,False
2023-12-08_1505,4918,2,False
2023-12-08_1605,4919,0,False
2023-12-08_1705,4920,0,False
2023-12-08_1805,4921,0,False
2023-12-08_1905,4922,0,False
2023-12-08_2005,4923,0,False
2023-12-08_2105,4924,0,False
2023-12-08_2205,4925,0,False
2023-12-08_2305,4926,10,False
2023-12-09_0005,4927,0,False
2023-12-09_0105,4928,4,False
2023-12-09_0205,4929,0,False
2023-12-09_0305,4930,0,False
2023-12-09_0405,4931,2,False
2023-12-09_0505,4932,0,False
2023-12-09_0605,4933,1,False
2023-12-09_0705,4934,0,False
2023-12-09_0805,4935,0,False
2023-12-09_0905,4936,1,False
2023-12-09_1005,4937,0,False
2023-12-09_1105,4938,0,False
2023-12-09_1205,4939,0,False
2023-12-09_1305,4940,0,False
2023-12-09_1405,4941,9,False
2023-12-09_1505,4942,0,False
2023-12-09_1605,4943,0,False
2023-12-09_1705,4944,0,False
2023-12-09_1805,4945,0,False
2023-12-09_1905,4946,1,False
2023-12-09_2005,4947,0,False
2023-12-09_2105,4948,1,False
2023-12-09_2205,4949,0,False
2023-12-09_2305,4950,0,False
2023-12-10_0005,4951,0,False
2023-12-10_0105,4952,0,False
