Date,Hours From Start,Area,MayHavePlant
2023-05-01_1305,0,0,False
2023-05-22_1205,503,0,False
2023-05-22_1305,504,0,False
2023-05-22_1405,505,0,False
2023-05-22_1505,506,0,False
2023-05-22_1605,507,0,False
2023-05-22_1705,508,0,False
2023-05-22_1805,509,0,False
2023-05-22_1905,510,0,False
2023-05-22_2005,511,0,False
2023-05-22_2105,512,0,False
2023-05-22_2205,513,0,False
2023-05-22_2305,514,0,False
2023-05-23_0005,515,0,False
2023-05-23_0105,516,0,False
2023-05-23_0205,517,0,False
2023-05-23_0305,518,0,False
2023-05-23_0405,519,0,False
2023-05-23_0505,520,0,False
2023-05-23_0605,521,0,False
2023-05-23_0705,522,0,False
2023-05-23_0805,523,0,False
2023-05-23_0905,524,0,False
2023-05-23_1035,525,0,False
2024-01-02_1239,5904,58,False
2024-03-01_0805,7316,9,False
2024-03-01_0905,7317,4,False
2024-03-01_1005,7318,6,False
2024-03-05_1105,7415,22,False
2024-03-05_1205,7416,17,False
2024-03-05_1305,7417,6,False
2024-03-05_1405,7418,13,False
2024-03-05_1505,7419,13,False
2024-03-05_1605,7420,15,False
2024-03-05_1705,7421,13,False
2024-03-05_1805,7422,11,False
2024-03-05_1905,7423,15,False
2024-03-05_2005,7424,0,False
2024-03-05_2105,7425,11,False
2024-03-05_2205,7426,12,False
2024-03-05_2305,7427,17,False
2024-03-06_0005,7428,11,False
2024-03-06_0105,7429,9,False
2024-03-06_0205,7430,12,False
2024-03-06_0305,7431,11,False
2024-03-06_0405,7432,10,False
2024-03-06_0505,7433,14,False
2024-03-06_0605,7434,8,False
2024-03-06_0705,7435,11,False
2024-03-06_0805,7436,0,False
2024-03-06_0905,7437,11,False
2024-03-06_1005,7438,22,False
2024-03-06_1105,7439,14,False
2024-03-06_1205,7440,12,False
2024-03-06_1305,7441,14,False
2024-03-06_1405,7442,15,False
2024-03-06_1505,7443,22,False
2024-03-06_1605,7444,21,False
2024-03-06_1705,7445,20,False
2024-03-06_1805,7446,16,False
2024-03-06_1905,7447,0,False
2024-03-06_2005,7448,13,False
2024-03-06_2105,7449,15,False
2024-03-06_2205,7450,14,False
2024-03-06_2305,7451,12,False
2024-03-07_0005,7452,9,False
2024-03-07_0105,7453,14,False
2024-03-07_0205,7454,18,False
2024-03-07_0305,7455,11,False
2024-03-07_0405,7456,16,False
2024-03-07_0505,7457,22,False
2024-03-07_0605,7458,10,False
2024-03-07_0705,7459,15,False
2024-03-07_0805,7460,25,False
2024-03-07_0905,7461,0,False
2024-03-07_1005,7462,0,False
2024-03-07_1105,7463,0,False
2024-03-07_1205,7464,0,False
2024-03-07_1305,7465,0,False
2024-03-07_1405,7466,0,False
2024-03-07_1505,7467,0,False
2024-03-07_1605,7468,0,False
2024-03-07_1705,7469,0,False
2024-03-07_1805,7470,0,False
2024-03-07_1905,7471,0,False
2024-03-07_2005,7472,0,False
2024-03-07_2105,7473,0,False
2024-03-07_2205,7474,0,False
2024-03-07_2305,7475,0,False
2024-03-08_0005,7476,0,False
2024-03-08_0105,7477,0,False
2024-03-08_0205,7478,0,False
2024-03-08_0305,7479,0,False
2024-03-08_0405,7480,0,False
2024-03-08_0505,7481,0,False
2024-03-08_0605,7482,0,False
2024-03-08_0705,7483,0,False
2024-03-08_0805,7484,0,False
