Date,Hours From Start,Area,MayHavePlant
2023-05-22_1205,0,0,False
2023-05-22_1305,1,0,False
2023-05-22_1405,2,0,False
2023-05-22_1505,3,0,False
2023-05-22_1605,4,0,False
2023-05-22_1705,5,0,False
2023-05-22_1805,6,0,False
2023-05-22_1905,7,0,False
2023-05-22_2005,8,0,False
2023-05-22_2105,9,0,False
2023-05-22_2205,10,0,False
2023-05-22_2305,11,0,False
2023-05-23_0005,12,0,False
2023-05-23_0105,13,0,False
2023-05-23_0205,14,0,False
2023-05-23_0305,15,0,False
2023-05-23_0405,16,0,False
2023-05-23_0505,17,0,False
2023-05-23_0605,18,0,False
2023-05-23_0705,19,0,False
2023-05-23_0805,20,0,False
2023-05-23_0905,21,0,False
2023-05-23_1048,22,0,False
2024-01-02_1250,5401,146,False
2024-01-12_1205,5641,1269,False
2024-01-12_1305,5642,579,False
2024-01-12_1405,5643,483,False
2024-01-12_1505,5644,738,False
2024-01-12_1605,5645,563,False
2024-01-12_1705,5646,519,False
2024-01-12_1805,5647,371,False
2024-01-12_1905,5648,587,False
2024-01-12_2005,5649,333,False
2024-01-12_2105,5650,434,False
2024-01-12_2205,5651,267,False
2024-01-12_2305,5652,441,False
2024-01-13_0005,5653,433,False
2024-01-13_0105,5654,530,False
2024-01-13_0205,5655,643,False
2024-01-13_0305,5656,534,False
2024-01-13_0405,5657,428,False
2024-01-13_0505,5658,567,False
2024-01-13_0605,5659,378,False
2024-01-13_0705,5660,402,False
2024-01-13_0805,5661,273,False
2024-01-13_0905,5662,140,False
2024-01-13_1005,5663,525,False
2024-01-13_1105,5664,107,False
2024-01-13_1205,5665,259,False
2024-01-13_1305,5666,0,False
2024-01-13_1405,5667,311,False
2024-01-13_1505,5668,121,False
2024-01-13_1605,5669,168,False
2024-01-13_1705,5670,100,False
2024-01-13_1805,5671,151,False
2024-01-13_1905,5672,190,False
2024-01-13_2005,5673,206,False
2024-01-13_2105,5674,215,False
2024-01-13_2205,5675,144,False
2024-01-13_2305,5676,162,False
2024-01-14_0005,5677,174,False
2024-01-14_0105,5678,115,False
2024-01-14_0205,5679,5317,False
2024-01-14_0305,5680,161,False
2024-01-14_0405,5681,118,False
2024-01-14_0505,5682,160,False
2024-01-14_0605,5683,137,False
2024-01-14_0705,5684,198,False
2024-01-14_0805,5685,0,False
2024-01-14_0905,5686,191,False
2024-01-14_1005,5687,148,False
2024-01-14_1105,5688,0,False
2024-01-14_1205,5689,184,False
2024-01-14_1305,5690,152,False
2024-01-14_1405,5691,163,False
2024-01-14_1505,5692,0,False
2024-01-14_1605,5693,158,False
2024-01-14_1705,5694,162,False
2024-01-14_1805,5695,136,False
2024-01-14_1905,5696,160,False
2024-01-14_2005,5697,152,False
2024-01-14_2105,5698,155,False
2024-01-14_2205,5699,133,False
2024-01-14_2305,5700,60,False
2024-01-15_0005,5701,80,False
2024-01-15_0105,5702,49,False
2024-01-15_0205,5703,92,False
2024-01-15_0305,5704,97,False
2024-01-15_0405,5705,87,False
2024-01-15_0505,5706,79,False
2024-01-15_0605,5707,89,False
2024-01-15_0705,5708,0,False
2024-01-15_0805,5709,133,False
2024-01-15_0905,5710,67,False
2024-01-15_1005,5711,110,False
2024-01-15_1105,5712,142,False
2024-01-15_1205,5713,0,False
2024-01-15_1305,5714,85,False
2024-01-15_1405,5715,120,False
2024-01-15_1505,5716,68,False
2024-01-15_1605,5717,50,False
2024-01-15_1705,5718,80,False
2024-01-15_1805,5719,46,False
2024-01-15_1905,5720,89,False
2024-01-15_2005,5721,54,False
2024-01-15_2105,5722,90,False
2024-01-15_2205,5723,78,False
2024-01-15_2305,5724,38,False
2024-01-16_0005,5725,14676,False
2024-01-16_0105,5726,63,False
2024-01-16_0205,5727,51,False
2024-01-16_0305,5728,54,False
2024-01-16_0405,5729,59,False
2024-01-16_0505,5730,85,False
2024-01-16_0605,5731,40,False
2024-01-16_0705,5732,46,False
2024-01-16_0805,5733,49,False
2024-01-16_0905,5734,61,False
2024-01-16_1005,5735,69,False
2024-01-16_1105,5736,55,False
2024-01-16_1205,5737,84,False
2024-01-16_1305,5738,47,False
2024-01-16_1405,5739,39,False
2024-01-16_1505,5740,0,False
2024-01-16_1605,5741,0,False
2024-01-16_1705,5742,39,False
2024-01-16_1805,5743,50,False
2024-01-16_1905,5744,40,False
2024-01-16_2005,5745,50,False
2024-01-16_2105,5746,42,False
2024-01-16_2205,5747,0,False
2024-01-16_2305,5748,37,False
2024-01-17_0005,5749,14,False
2024-01-17_0105,5750,8,False
2024-01-17_0205,5751,31,False
2024-01-17_0305,5752,10,False
2024-01-17_0405,5753,48,False
2024-01-17_0505,5754,30,False
2024-01-17_0605,5755,16,False
2024-01-17_0705,5756,52,False
2024-01-17_0805,5757,59,False
2024-01-17_0905,5758,47,False
2024-01-17_1005,5759,24,False
2024-01-17_1105,5760,0,False
2024-01-17_1205,5761,0,False
2024-01-17_1305,5762,0,False
2024-01-17_1405,5763,0,False
2024-01-17_1505,5764,0,False
2024-01-17_1605,5765,0,False
2024-01-17_1705,5766,0,False
2024-01-17_1805,5767,0,False
2024-01-17_1905,5768,0,False
2024-01-17_2005,5769,0,False
2024-01-17_2105,5770,0,False
2024-01-17_2205,5771,0,False
2024-01-17_2305,5772,0,False
2024-01-18_0005,5773,0,False
2024-01-18_0105,5774,0,False
2024-01-18_0205,5775,0,False
2024-01-18_0305,5776,0,False
2024-01-18_0405,5777,5,False
2024-01-18_0505,5778,368,False
2024-01-18_0605,5779,0,False
2024-01-18_0705,5780,0,False
2024-01-18_0805,5781,0,False
2024-01-18_0905,5782,0,False
2024-01-18_1005,5783,2,False
2024-01-18_1105,5784,0,False
2024-01-18_1205,5785,0,False
2024-01-18_1305,5786,0,False
2024-01-18_1405,5787,0,False
2024-01-18_1505,5788,0,False
2024-01-18_1605,5789,0,False
2024-01-18_1705,5790,0,False
