Date,Hours From Start,Area,MayHavePlant
2023-05-22_1205,0,0,False
2023-05-22_1305,1,0,False
2023-05-22_1405,2,0,False
2023-05-22_1505,3,0,False
2023-05-22_1605,4,0,False
2023-05-22_1705,5,0,False
2023-05-22_1805,6,0,False
2023-05-22_1905,7,0,False
2023-05-22_2005,8,0,False
2023-05-22_2105,9,0,False
2023-05-22_2205,10,0,False
2023-05-22_2305,11,0,False
2023-05-23_0005,12,0,False
2023-05-23_0105,13,0,False
2023-05-23_0205,14,0,False
2023-05-23_0305,15,0,False
2023-05-23_0405,16,0,False
2023-05-23_0505,17,0,False
2023-05-23_0605,18,0,False
2023-05-23_0705,19,0,False
2023-05-23_0805,20,0,False
2023-05-23_0905,21,0,False
2023-05-23_1131,23,0,False
2024-01-02_1315,5402,0,False
2024-01-12_1305,5642,0,False
2024-01-12_1405,5643,0,False
2024-01-12_1505,5644,0,False
2024-01-12_1605,5645,0,False
2024-01-12_1705,5646,0,False
2024-01-12_1805,5647,0,False
2024-01-12_1905,5648,0,False
2024-01-12_2005,5649,0,False
2024-01-12_2105,5650,0,False
2024-01-12_2205,5651,0,False
2024-01-12_2305,5652,0,False
2024-01-13_0005,5653,0,False
2024-01-13_0105,5654,0,False
2024-01-13_0205,5655,0,False
2024-01-13_0305,5656,1,False
2024-01-13_0405,5657,1,False
2024-01-13_0505,5658,0,False
2024-01-13_0605,5659,0,False
2024-01-13_0705,5660,0,False
2024-01-13_0805,5661,0,False
2024-01-13_0905,5662,0,False
2024-01-13_1005,5663,0,False
2024-01-13_1105,5664,0,False
2024-01-13_1205,5665,0,False
2024-01-13_1305,5666,0,False
2024-01-13_1405,5667,0,False
2024-01-13_1505,5668,0,False
2024-01-13_1605,5669,0,False
2024-01-13_1705,5670,0,False
2024-01-13_1805,5671,0,False
2024-01-13_1905,5672,0,False
2024-01-13_2005,5673,0,False
2024-01-13_2105,5674,0,False
2024-01-13_2205,5675,0,False
2024-01-13_2305,5676,0,False
2024-01-14_0005,5677,0,False
2024-01-14_0105,5678,0,False
2024-01-14_0205,5679,0,False
2024-01-14_0305,5680,0,False
2024-01-14_0405,5681,0,False
2024-01-14_0505,5682,0,False
2024-01-14_0605,5683,0,False
2024-01-14_0705,5684,0,False
2024-01-14_0805,5685,0,False
2024-01-14_0905,5686,0,False
2024-01-14_1005,5687,0,False
2024-01-14_1105,5688,0,False
2024-01-14_1205,5689,0,False
2024-01-14_1305,5690,0,False
2024-01-14_1405,5691,0,False
2024-01-14_1505,5692,0,False
2024-01-14_1605,5693,0,False
2024-01-14_1705,5694,0,False
2024-01-14_1805,5695,0,False
2024-01-14_1905,5696,0,False
2024-01-14_2005,5697,1,False
2024-01-14_2105,5698,0,False
2024-01-14_2205,5699,0,False
2024-01-14_2305,5700,0,False
2024-01-15_0005,5701,0,False
2024-01-15_0105,5702,0,False
2024-01-15_0205,5703,0,False
2024-01-15_0305,5704,0,False
2024-01-15_0405,5705,0,False
2024-01-15_0505,5706,96,False
2024-01-15_0605,5707,0,False
2024-01-15_0705,5708,0,False
2024-01-15_0805,5709,0,False
2024-01-15_0905,5710,0,False
2024-01-15_1005,5711,0,False
2024-01-15_1105,5712,0,False
2024-01-15_1205,5713,0,False
2024-01-15_1305,5714,0,False
2024-01-15_1405,5715,0,False
2024-01-15_1505,5716,0,False
2024-01-15_1605,5717,0,False
2024-01-15_1705,5718,0,False
2024-01-15_1805,5719,0,False
2024-01-15_1905,5720,0,False
2024-01-15_2005,5721,0,False
2024-01-15_2105,5722,0,False
2024-01-15_2205,5723,0,False
2024-01-15_2305,5724,0,False
2024-01-16_0005,5725,0,False
2024-01-16_0105,5726,0,False
2024-01-16_0205,5727,0,False
2024-01-16_0305,5728,0,False
2024-01-16_0405,5729,0,False
2024-01-16_0505,5730,0,False
2024-01-16_0605,5731,0,False
2024-01-16_0705,5732,0,False
2024-01-16_0805,5733,0,False
2024-01-16_0905,5734,0,False
2024-01-16_1005,5735,0,False
2024-01-16_1105,5736,0,False
2024-01-16_1205,5737,0,False
2024-01-16_1305,5738,0,False
2024-01-16_1405,5739,0,False
2024-01-16_1505,5740,0,False
2024-01-16_1605,5741,0,False
2024-01-16_1705,5742,0,False
2024-01-16_1805,5743,1,False
2024-01-16_1905,5744,0,False
2024-01-16_2005,5745,0,False
2024-01-16_2105,5746,0,False
2024-01-16_2205,5747,0,False
2024-01-16_2305,5748,0,False
2024-01-17_0005,5749,124,False
2024-01-17_0105,5750,0,False
2024-01-17_0205,5751,0,False
2024-01-17_0305,5752,0,False
2024-01-17_0405,5753,0,False
2024-01-17_0505,5754,0,False
2024-01-17_0605,5755,0,False
2024-01-17_0705,5756,0,False
2024-01-17_0805,5757,0,False
2024-01-17_0905,5758,0,False
2024-01-17_1005,5759,0,False
2024-01-17_1105,5760,0,False
2024-01-17_1205,5761,0,False
2024-01-17_1305,5762,0,False
2024-01-17_1405,5763,164188,True
2024-01-17_1505,5764,128782,True
2024-01-17_1605,5765,112456,True
2024-01-17_1705,5766,77428,False
2024-01-17_1805,5767,39607,False
2024-01-17_1905,5768,28488,False
2024-01-17_2005,5769,14843,False
2024-01-17_2105,5770,7267,False
2024-01-17_2205,5771,5831,False
2024-01-17_2305,5772,3835,False
2024-01-18_0005,5773,3802,False
2024-01-18_0105,5774,4103,False
2024-01-18_0205,5775,2859,False
2024-01-18_0305,5776,2741,False
2024-01-18_0405,5777,2850,False
2024-01-18_0505,5778,1630,False
2024-01-18_0605,5779,969,False
2024-01-18_0705,5780,564,False
2024-01-18_0805,5781,938,False
2024-01-18_0905,5782,235,False
2024-01-18_1005,5783,18,False
2024-01-18_1105,5784,3,False
2024-01-18_1205,5785,1,False
2024-01-18_1305,5786,0,False
2024-01-18_1405,5787,2,False
2024-01-18_1505,5788,0,False
2024-01-18_1605,5789,8,False
2024-01-18_1705,5790,0,False
