Date,Hours From Start,Area,MayHavePlant
2023-05-22_1205,0,0,False
2023-05-22_1305,1,0,False
2023-05-22_1405,2,0,False
2023-05-22_1505,3,0,False
2023-05-22_1605,4,0,False
2023-05-22_1705,5,0,False
2023-05-22_1805,6,0,False
2023-05-22_1905,7,0,False
2023-05-22_2005,8,0,False
2023-05-22_2105,9,0,False
2023-05-22_2205,10,0,False
2023-05-22_2305,11,0,False
2023-05-23_0005,12,0,False
2023-05-23_0105,13,0,False
2023-05-23_0205,14,0,False
2023-05-23_0305,15,0,False
2023-05-23_0405,16,0,False
2023-05-23_0505,17,0,False
2023-05-23_0605,18,0,False
2023-05-23_0705,19,0,False
2023-05-23_0805,20,0,False
2023-05-23_0905,21,0,False
2023-06-01_1605,244,0,False
2023-06-01_1654,244,3,False
2023-06-01_1705,245,0,False
2024-01-02_1327,5402,0,False
2024-01-12_1305,5642,2,False
2024-01-12_1405,5643,2,False
2024-01-12_1505,5644,4,False
2024-01-12_1605,5645,3,False
2024-01-12_1705,5646,5,False
2024-01-12_1805,5647,3,False
2024-01-12_1905,5648,1,False
2024-01-12_2005,5649,1,False
2024-01-12_2105,5650,2,False
2024-01-12_2205,5651,3,False
2024-01-12_2305,5652,1,False
2024-01-13_0005,5653,1,False
2024-01-13_0105,5654,1,False
2024-01-13_0205,5655,0,False
2024-01-13_0305,5656,4,False
2024-01-13_0405,5657,5,False
2024-01-13_0505,5658,1,False
2024-01-13_0605,5659,4,False
2024-01-13_0705,5660,4,False
2024-01-13_0805,5661,5,False
2024-01-13_0905,5662,2,False
2024-01-13_1005,5663,3,False
2024-01-13_1105,5664,2,False
2024-01-13_1205,5665,0,False
2024-01-13_1305,5666,0,False
2024-01-13_1405,5667,0,False
2024-01-13_1505,5668,1,False
2024-01-13_1605,5669,1,False
2024-01-13_1705,5670,6,False
2024-01-13_1805,5671,2,False
2024-01-13_1905,5672,3,False
2024-01-13_2005,5673,2,False
2024-01-13_2105,5674,0,False
2024-01-13_2205,5675,2,False
2024-01-13_2305,5676,3,False
2024-01-14_0005,5677,3,False
2024-01-14_0105,5678,2,False
2024-01-14_0205,5679,1,False
2024-01-14_0305,5680,1,False
2024-01-14_0405,5681,0,False
2024-01-14_0505,5682,1,False
2024-01-14_0605,5683,1,False
2024-01-14_0705,5684,1,False
2024-01-14_0805,5685,1,False
2024-01-14_0905,5686,0,False
2024-01-14_1005,5687,0,False
2024-01-14_1105,5688,7,False
2024-01-14_1205,5689,0,False
2024-01-14_1305,5690,0,False
2024-01-14_1405,5691,1,False
2024-01-14_1505,5692,1,False
2024-01-14_1605,5693,0,False
2024-01-14_1705,5694,0,False
2024-01-14_1805,5695,2,False
2024-01-14_1905,5696,6,False
2024-01-14_2005,5697,2,False
2024-01-14_2105,5698,0,False
2024-01-14_2205,5699,6,False
2024-01-14_2305,5700,1,False
2024-01-15_0005,5701,1,False
2024-01-15_0105,5702,3813,False
2024-01-15_0205,5703,2,False
2024-01-15_0305,5704,0,False
2024-01-15_0405,5705,1,False
2024-01-15_0505,5706,0,False
2024-01-15_0605,5707,1,False
2024-01-15_0705,5708,2,False
2024-01-15_0805,5709,0,False
2024-01-15_0905,5710,0,False
2024-01-15_1005,5711,0,False
2024-01-15_1105,5712,0,False
2024-01-15_1205,5713,2,False
2024-01-15_1305,5714,0,False
2024-01-15_1405,5715,4,False
2024-01-15_1505,5716,5,False
2024-01-15_1605,5717,3,False
2024-01-15_1705,5718,2,False
2024-01-15_1805,5719,0,False
2024-01-15_1905,5720,1,False
2024-01-15_2005,5721,3,False
2024-01-15_2105,5722,0,False
2024-01-15_2205,5723,0,False
2024-01-15_2305,5724,1,False
2024-01-16_0005,5725,0,False
2024-01-16_0105,5726,1,False
2024-01-16_0205,5727,0,False
2024-01-16_0305,5728,3,False
2024-01-16_0405,5729,1,False
2024-01-16_0505,5730,1,False
2024-01-16_0605,5731,1,False
2024-01-16_0705,5732,2,False
2024-01-16_0805,5733,7,False
2024-01-16_0905,5734,1,False
2024-01-16_1005,5735,2,False
2024-01-16_1105,5736,0,False
2024-01-16_1205,5737,1,False
2024-01-16_1305,5738,2,False
2024-01-16_1405,5739,2,False
2024-01-16_1505,5740,1,False
2024-01-16_1605,5741,0,False
2024-01-16_1705,5742,1,False
2024-01-16_1805,5743,0,False
2024-01-16_1905,5744,4,False
2024-01-16_2005,5745,0,False
2024-01-16_2105,5746,0,False
2024-01-16_2205,5747,0,False
2024-01-16_2305,5748,4,False
2024-01-17_0005,5749,2,False
2024-01-17_0105,5750,3,False
2024-01-17_0205,5751,2,False
2024-01-17_0305,5752,0,False
2024-01-17_0405,5753,2,False
2024-01-17_0505,5754,2,False
2024-01-17_0605,5755,0,False
2024-01-17_0705,5756,2,False
2024-01-17_0805,5757,1,False
2024-01-17_0905,5758,3,False
2024-01-17_1005,5759,2,False
2024-01-17_1105,5760,0,False
2024-01-17_1205,5761,3,False
2024-01-17_1305,5762,4,False
2024-01-17_1405,5763,0,False
2024-01-17_1505,5764,0,False
2024-01-17_1605,5765,2,False
2024-01-17_1705,5766,0,False
2024-01-17_1805,5767,1,False
2024-01-17_1905,5768,3,False
2024-01-17_2005,5769,0,False
2024-01-17_2105,5770,6,False
2024-01-17_2205,5771,3,False
2024-01-17_2305,5772,2,False
2024-01-18_0005,5773,0,False
2024-01-18_0105,5774,0,False
2024-01-18_0205,5775,0,False
2024-01-18_0305,5776,1,False
2024-01-18_0405,5777,3,False
2024-01-18_0505,5778,3,False
2024-01-18_0605,5779,0,False
2024-01-18_0705,5780,0,False
2024-01-18_0805,5781,2,False
2024-01-18_0905,5782,1,False
2024-01-18_1005,5783,1,False
2024-01-18_1105,5784,1,False
2024-01-18_1205,5785,0,False
2024-01-18_1305,5786,3,False
2024-01-18_1405,5787,2,False
2024-01-18_1505,5788,1,False
2024-01-18_1605,5789,0,False
