Date,Hours From Start,Area,MayHavePlant
2023-05-22_1205,0,0,False
2023-05-22_1305,1,0,False
2023-05-22_1405,2,0,False
2023-05-22_1505,3,0,False
2023-05-22_1605,4,0,False
2023-05-22_1705,5,0,False
2023-05-22_1805,6,0,False
2023-05-22_1905,7,0,False
2023-05-22_2005,8,0,False
2023-05-22_2105,9,0,False
2023-05-22_2205,10,0,False
2023-05-22_2305,11,0,False
2023-05-23_0005,12,0,False
2023-05-23_0105,13,0,False
2023-05-23_0205,14,0,False
2023-05-23_0305,15,0,False
2023-05-23_0405,16,0,False
2023-05-23_0505,17,0,False
2023-05-23_0605,18,0,False
2023-05-23_0705,19,0,False
2023-05-23_0805,20,0,False
2023-05-23_0905,21,0,False
2023-06-15_1615,580,0,False
2023-06-15_1622,580,0,False
2023-06-15_1633,580,0,False
2023-06-21_1057,718,0,False
2024-01-02_1339,5402,0,False
2024-03-01_0805,6813,0,False
2024-03-05_1105,6912,0,False
2024-03-05_1205,6913,0,False
2024-03-05_1305,6914,0,False
2024-03-05_1405,6915,0,False
2024-03-05_1505,6916,0,False
2024-03-05_1605,6917,0,False
2024-03-05_1705,6918,0,False
2024-03-05_1805,6919,0,False
2024-03-05_1905,6920,0,False
2024-03-05_2005,6921,0,False
2024-03-05_2105,6922,0,False
2024-03-05_2205,6923,0,False
2024-03-05_2305,6924,0,False
2024-03-06_0005,6925,0,False
2024-03-06_0105,6926,0,False
2024-03-06_0205,6927,0,False
2024-03-06_0305,6928,0,False
2024-03-06_0405,6929,0,False
2024-03-06_0505,6930,0,False
2024-03-06_0605,6931,0,False
2024-03-06_0705,6932,0,False
2024-03-06_0805,6933,0,False
2024-03-06_0905,6934,0,False
2024-03-06_1005,6935,0,False
2024-03-06_1105,6936,0,False
2024-03-06_1205,6937,0,False
2024-03-06_1305,6938,1,False
2024-03-06_1405,6939,0,False
2024-03-06_1505,6940,0,False
2024-03-06_1605,6941,0,False
2024-03-06_1705,6942,0,False
2024-03-06_1805,6943,0,False
2024-03-06_1905,6944,0,False
2024-03-06_2005,6945,0,False
2024-03-06_2105,6946,0,False
2024-03-06_2205,6947,0,False
2024-03-06_2305,6948,0,False
2024-03-07_0005,6949,41,False
2024-03-07_0105,6950,0,False
2024-03-07_0205,6951,0,False
2024-03-07_0305,6952,0,False
2024-03-07_0405,6953,0,False
2024-03-07_0505,6954,0,False
2024-03-07_0605,6955,0,False
2024-03-07_0705,6956,0,False
2024-03-07_0805,6957,0,False
2024-03-07_0905,6958,0,False
2024-03-07_1005,6959,0,False
2024-03-07_1105,6960,0,False
2024-03-07_1205,6961,0,False
2024-03-07_1305,6962,1,False
2024-03-07_1405,6963,0,False
2024-03-07_1505,6964,0,False
2024-03-07_1605,6965,1,False
2024-03-07_1705,6966,0,False
2024-03-07_1805,6967,0,False
2024-03-07_1905,6968,0,False
2024-03-07_2005,6969,0,False
2024-03-07_2105,6970,0,False
2024-03-07_2205,6971,0,False
2024-03-07_2305,6972,0,False
2024-03-08_0005,6973,0,False
2024-03-08_0105,6974,0,False
2024-03-08_0205,6975,0,False
2024-03-08_0305,6976,103,False
2024-03-08_0405,6977,0,False
2024-03-08_0505,6978,83,False
2024-03-08_0605,6979,0,False
2024-03-08_0705,6980,1,False
2024-03-08_0805,6981,0,False
2024-03-08_0905,6982,0,False
2024-03-08_1005,6983,0,False
2024-03-08_1105,6984,0,False
2024-03-08_1205,6985,0,False
2024-03-08_1305,6986,0,False
2024-03-08_1405,6987,0,False
2024-03-08_1505,6988,0,False
2024-03-08_1605,6989,0,False
2024-03-08_1705,6990,0,False
2024-03-08_1805,6991,0,False
2024-03-08_1905,6992,0,False
2024-03-08_2005,6993,0,False
2024-03-08_2105,6994,0,False
2024-03-08_2205,6995,0,False
2024-03-08_2305,6996,22,False
2024-03-09_0005,6997,0,False
2024-03-09_0105,6998,0,False
2024-03-09_0205,6999,187,False
2024-03-09_0305,7000,0,False
2024-03-09_0405,7001,0,False
2024-03-09_0505,7002,0,False
2024-03-09_0605,7003,0,False
2024-03-09_0705,7004,0,False
2024-03-09_0805,7005,0,False
2024-03-09_0905,7006,0,False
2024-03-09_1005,7007,0,False
2024-03-09_1105,7008,1,False
2024-03-09_1205,7009,0,False
2024-03-09_1305,7010,0,False
2024-03-09_1405,7011,0,False
2024-03-09_1505,7012,0,False
2024-03-09_1605,7013,0,False
2024-03-09_1705,7014,0,False
2024-03-09_1805,7015,0,False
2024-03-09_1905,7016,0,False
2024-03-09_2005,7017,0,False
2024-03-09_2105,7018,0,False
2024-03-09_2205,7019,0,False
2024-03-09_2305,7020,0,False
2024-03-10_0005,7021,92,False
2024-03-10_0105,7022,94,False
2024-03-10_0305,7023,0,False
2024-03-10_0405,7024,0,False
2024-03-10_0505,7025,0,False
2024-03-10_0605,7026,0,False
2024-03-10_0705,7027,0,False
2024-03-10_0805,7028,0,False
2024-03-10_0905,7029,0,False
2024-03-10_1005,7030,0,False
2024-03-10_1105,7031,0,False
2024-03-10_1205,7032,0,False
2024-03-10_1305,7033,0,False
2024-03-10_1405,7034,0,False
2024-03-10_1505,7035,0,False
2024-03-10_1605,7036,0,False
2024-03-10_1705,7037,0,False
2024-03-10_1805,7038,0,False
2024-03-10_1905,7039,0,False
2024-03-10_2005,7040,0,False
2024-03-10_2105,7041,0,False
2024-03-10_2205,7042,0,False
2024-03-10_2305,7043,0,False
2024-03-11_0005,7044,0,False
2024-03-11_0105,7045,0,False
2024-03-11_0205,7046,0,False
2024-03-11_0305,7047,0,False
2024-03-11_0405,7048,0,False
2024-03-11_0505,7049,0,False
2024-03-11_0605,7050,0,False
2024-03-11_0705,7051,0,False
2024-03-11_0805,7052,0,False
2024-03-11_0905,7053,0,False
2024-03-11_1005,7054,0,False
2024-03-11_1105,7055,0,False
2024-03-11_1205,7056,0,False
2024-03-11_1305,7057,0,False
