Date,Hours From Start,Area,MayHavePlant
2023-05-22_1205,0,0,False
2023-05-22_1305,1,0,False
2023-05-22_1405,2,0,False
2023-05-22_1505,3,0,False
2023-05-22_1605,4,0,False
2023-05-22_1705,5,0,False
2023-05-22_1805,6,0,False
2023-05-22_1905,7,0,False
2023-05-22_2005,8,0,False
2023-05-22_2105,9,0,False
2023-05-22_2205,10,0,False
2023-05-22_2305,11,0,False
2023-05-23_0005,12,0,False
2023-05-23_0105,13,0,False
2023-05-23_0205,14,0,False
2023-05-23_0305,15,0,False
2023-05-23_0405,16,0,False
2023-05-23_0505,17,0,False
2023-05-23_0605,18,0,False
2023-05-23_0705,19,0,False
2023-05-23_0805,20,0,False
2023-05-23_0905,21,0,False
2023-06-15_1658,580,0,False
2023-06-15_1705,581,0,False
2023-06-15_1805,582,0,False
2023-06-15_1905,583,0,False
2023-06-15_2005,584,0,False
2023-06-15_2105,585,0,False
2023-06-15_2205,586,0,False
2023-06-15_2305,587,0,False
2023-06-16_0005,588,0,False
2023-06-16_0105,589,0,False
2023-06-16_0205,590,0,False
2023-06-16_0305,591,0,False
2023-06-16_0405,592,0,False
2023-06-16_0505,593,0,False
2023-06-16_0605,594,0,False
2023-06-16_0705,595,0,False
2023-06-16_0805,596,0,False
2023-06-16_0905,597,0,False
2023-06-16_1005,598,0,False
2023-06-16_1105,599,0,False
2023-06-16_1205,600,0,False
2023-06-16_1305,601,0,False
2023-06-16_1405,602,0,False
2023-06-16_1505,603,0,False
2023-06-16_1605,604,0,False
2023-06-16_1624,604,0,False
2023-06-16_1705,605,0,False
2023-06-16_1805,606,0,False
2023-06-16_1905,607,0,False
2023-06-16_2005,608,0,False
2023-06-16_2105,609,0,False
2023-06-16_2205,610,0,False
2023-06-16_2305,611,0,False
2023-06-17_0005,612,0,False
2023-06-17_0105,613,0,False
2023-06-17_0205,614,0,False
2023-06-17_0305,615,0,False
2023-06-17_0405,616,0,False
2023-06-17_0505,617,0,False
2023-06-17_0605,618,0,False
2023-06-17_0705,619,0,False
2023-06-17_0805,620,0,False
2023-06-17_0905,621,0,False
2023-06-17_1005,622,0,False
2023-06-17_1105,623,0,False
2023-06-17_1205,624,0,False
2023-06-17_1305,625,0,False
2023-06-17_1405,626,0,False
2023-06-17_1505,627,0,False
2023-06-17_1605,628,0,False
2023-06-17_1705,629,0,False
2023-06-17_1805,630,0,False
2023-06-17_1905,631,0,False
2023-06-17_2005,632,0,False
2023-06-17_2105,633,0,False
2023-06-17_2205,634,0,False
2023-06-17_2305,635,0,False
2023-06-18_0005,636,0,False
2023-06-18_0105,637,0,False
2023-06-18_0205,638,0,False
2023-06-18_0305,639,0,False
2023-06-18_0405,640,0,False
2023-06-18_0505,641,0,False
2023-06-18_0605,642,0,False
2023-06-18_0705,643,0,False
2023-06-18_0805,644,0,False
2023-06-18_0905,645,0,False
2023-06-18_1005,646,0,False
2023-06-18_1105,647,0,False
2023-06-18_1205,648,0,False
2023-06-18_1305,649,0,False
2023-06-18_1405,650,0,False
2023-06-18_1505,651,0,False
2023-06-18_1605,652,0,False
2023-06-18_1705,653,0,False
2023-06-18_1805,654,0,False
2023-06-18_1905,655,0,False
2023-06-18_2005,656,0,False
2023-06-18_2105,657,0,False
2023-06-18_2205,658,0,False
2023-06-18_2305,659,0,False
2023-06-19_0005,660,0,False
2023-06-19_0105,661,0,False
2023-06-19_0205,662,0,False
2023-06-19_0305,663,0,False
2023-06-19_0405,664,0,False
2023-06-19_0505,665,0,False
2023-06-19_0605,666,0,False
2023-06-19_0705,667,0,False
2023-06-19_0805,668,0,False
2023-06-19_0905,669,0,False
2023-06-19_1005,670,0,False
2023-06-19_1105,671,0,False
2023-06-19_1205,672,0,False
2023-06-19_1305,673,0,False
2023-06-19_1405,674,0,False
2023-06-19_1505,675,0,False
2023-06-19_1605,676,0,False
2023-06-19_1705,677,0,False
2023-06-19_1805,678,0,False
2023-06-19_1905,679,0,False
2023-06-19_2005,680,0,False
2023-06-19_2105,681,0,False
2023-06-19_2205,682,0,False
2023-06-19_2305,683,0,False
2023-06-20_0005,684,0,False
2023-06-20_0105,685,0,False
2023-06-20_0205,686,0,False
2023-06-20_0305,687,0,False
2023-06-20_0405,688,0,False
2023-06-20_0505,689,0,False
2023-06-20_0605,690,0,False
2023-06-20_0705,691,0,False
2023-06-20_0805,692,0,False
2023-06-20_0905,693,0,False
2023-06-20_1005,694,0,False
2023-06-20_1105,695,0,False
2023-06-20_1205,696,0,False
2023-06-20_1305,697,0,False
2023-06-20_1405,698,0,False
2023-06-20_1505,699,0,False
2023-06-20_1605,700,0,False
2023-06-20_1705,701,0,False
2023-06-20_1805,702,0,False
2023-06-20_1905,703,0,False
2023-06-20_2005,704,0,False
2023-06-20_2105,705,0,False
2023-06-20_2205,706,0,False
2023-06-20_2305,707,0,False
2023-06-21_0005,708,0,False
2023-06-21_0105,709,0,False
2023-06-21_0205,710,0,False
2023-06-21_0305,711,0,False
2023-06-21_0405,712,0,False
2023-06-21_0505,713,0,False
2023-06-21_0605,714,0,False
2023-06-21_0705,715,0,False
2023-06-21_0805,716,0,False
2023-06-21_0905,717,0,False
2023-06-21_1005,718,0,False
2023-06-21_1027,718,0,False
2024-01-02_1353,5402,0,False
2024-01-12_1205,5641,3,False
2024-01-12_1305,5642,1,False
2024-01-12_1405,5643,3,False
2024-01-12_1505,5644,5,False
2024-01-12_1605,5645,2,False
2024-01-12_1705,5646,12,False
2024-01-12_1805,5647,3,False
2024-01-12_1905,5648,5,False
2024-01-12_2005,5649,7,False
2024-01-12_2105,5650,1,False
2024-01-12_2205,5651,0,False
2024-01-12_2305,5652,2,False
2024-01-13_0005,5653,5,False
2024-01-13_0105,5654,0,False
2024-01-13_0205,5655,1,False
2024-01-13_0305,5656,0,False
2024-01-13_0405,5657,1,False
2024-01-13_0505,5658,0,False
2024-01-13_0605,5659,0,False
