Date,Hours From Start,Area,MayHavePlant
2023-05-01_1305,0,0,False
2023-06-02_1605,771,0,False
2023-06-21_1207,1223,0,False
2024-01-02_1421,5906,0,False
2024-01-12_1305,6145,2,False
2024-01-12_1405,6146,0,False
2024-01-12_1505,6147,1,False
2024-01-12_1605,6148,0,False
2024-01-12_1705,6149,0,False
2024-01-12_1805,6150,5,False
2024-01-12_1905,6151,0,False
2024-01-12_2005,6152,1,False
2024-01-12_2105,6153,2,False
2024-01-12_2205,6154,1,False
2024-01-12_2305,6155,5,False
2024-01-13_0005,6156,0,False
2024-01-13_0105,6157,2,False
2024-01-13_0205,6158,0,False
2024-01-13_0305,6159,13,False
2024-01-13_0405,6160,3,False
2024-01-13_0505,6161,4,False
2024-01-13_0605,6162,0,False
2024-01-13_0705,6163,3,False
2024-01-13_0805,6164,0,False
2024-01-13_0905,6165,0,False
2024-01-13_1005,6166,0,False
2024-01-13_1105,6167,1,False
2024-01-13_1205,6168,0,False
2024-01-13_1305,6169,0,False
2024-01-13_1405,6170,0,False
2024-01-13_1505,6171,0,False
2024-01-13_1605,6172,0,False
2024-01-13_1705,6173,4,False
2024-01-13_1805,6174,0,False
2024-01-13_1905,6175,0,False
2024-01-13_2005,6176,0,False
2024-01-13_2105,6177,1,False
2024-01-13_2205,6178,0,False
2024-01-13_2305,6179,0,False
2024-01-14_0005,6180,0,False
2024-01-14_0105,6181,1,False
2024-01-14_0205,6182,14,False
2024-01-14_0305,6183,2,False
2024-01-14_0405,6184,1,False
2024-01-14_0505,6185,2,False
2024-01-14_0605,6186,7,False
2024-01-14_0705,6187,1,False
2024-01-14_0805,6188,0,False
2024-01-14_0905,6189,0,False
2024-01-14_1005,6190,1,False
2024-01-14_1105,6191,0,False
2024-01-14_1205,6192,3,False
2024-01-14_1305,6193,1,False
2024-01-14_1405,6194,2,False
2024-01-14_1505,6195,4,False
2024-01-14_1605,6196,7,False
2024-01-14_1705,6197,0,False
2024-01-14_1805,6198,3,False
2024-01-14_1905,6199,2,False
2024-01-14_2005,6200,3,False
2024-01-14_2105,6201,2,False
2024-01-14_2205,6202,5,False
2024-01-14_2305,6203,0,False
2024-01-15_0005,6204,1,False
2024-01-15_0105,6205,0,False
2024-01-15_0205,6206,3,False
2024-01-15_0305,6207,14,False
2024-01-15_0405,6208,13,False
2024-01-15_0505,6209,0,False
2024-01-15_0605,6210,6,False
2024-01-15_0705,6211,8,False
2024-01-15_0805,6212,2,False
2024-01-15_0905,6213,4,False
2024-01-15_1005,6214,14,False
2024-01-15_1105,6215,2,False
2024-01-15_1205,6216,5,False
2024-01-15_1305,6217,1,False
2024-01-15_1405,6218,1,False
2024-01-15_1505,6219,3,False
2024-01-15_1605,6220,0,False
2024-01-15_1705,6221,6,False
2024-01-15_1805,6222,1,False
2024-01-15_1905,6223,1,False
2024-01-15_2005,6224,4,False
2024-01-15_2105,6225,0,False
2024-01-15_2205,6226,1,False
