Date,Hours From Start,Area,MayHavePlant
2023-05-18_1600,0,0,False
2023-05-24_1754,145,0,False
2023-05-24_1805,146,109614,True
2023-05-24_1905,147,146820,True
2023-05-24_2005,148,149146,True
2023-05-24_2105,149,130099,True
2023-05-24_2205,150,125301,True
2023-05-24_2305,151,112366,True
2023-05-25_0005,152,125537,True
2023-05-25_0105,153,130961,True
2023-05-25_0205,154,120650,True
2023-05-25_0305,155,41467,False
2023-05-25_0405,156,40344,False
2023-05-25_0505,157,31457,False
2023-05-25_0605,158,33595,False
2023-05-25_0705,159,32712,False
2023-05-25_0805,160,26499,False
2023-05-25_0905,161,27167,False
2023-05-25_1005,162,41507,False
2023-05-25_1105,163,66066,False
2023-05-25_1205,164,35101,False
2023-05-25_1305,165,55370,False
2023-05-25_1405,166,33811,False
2023-05-25_1505,167,87284,False
2023-05-25_1605,168,61593,False
2023-05-25_1705,169,38504,False
2023-05-25_1805,170,106795,True
2023-05-25_1905,171,101979,True
2023-05-25_2005,172,92950,False
2023-05-25_2105,173,86568,False
2023-05-25_2205,174,75539,False
2023-05-25_2305,175,43431,False
2023-05-26_0005,176,65434,False
2023-05-26_0105,177,53590,False
2023-05-26_0205,178,62480,False
2023-05-26_0305,179,56591,False
2023-05-26_0405,180,53217,False
2023-05-26_0505,181,49194,False
2023-05-26_0605,182,19717,False
2023-05-26_0705,183,43072,False
2023-05-26_0805,184,39734,False
2023-05-26_0905,185,31288,False
2023-05-26_1005,186,77523,False
2023-05-26_1105,187,110152,True
2023-05-26_1205,188,25510,False
2023-05-26_1305,189,24105,False
2023-05-26_1405,190,25896,False
2023-05-26_1505,191,25991,False
2023-05-26_1605,192,32831,False
2023-05-26_1705,193,30120,False
2023-05-26_1805,194,25741,False
2023-05-26_1905,195,24357,False
2023-05-26_2005,196,115627,True
2023-05-26_2105,197,22954,False
2023-05-26_2205,198,21821,False
2023-05-26_2305,199,21533,False
2023-05-27_0005,200,0,False
2023-05-27_0105,201,18638,False
2023-05-27_0205,202,13897,False
2023-05-27_0305,203,21886,False
2023-05-27_0405,204,12736,False
2023-05-27_0505,205,9945,False
2023-05-27_0605,206,10877,False
2023-05-27_0705,207,14844,False
2023-05-27_0805,208,13461,False
2023-05-27_0905,209,13737,False
2023-05-27_1005,210,13647,False
2023-05-27_1105,211,10210,False
2023-05-27_1205,212,14768,False
2023-05-27_1305,213,11675,False
2023-05-27_1405,214,16994,False
2023-05-27_1505,215,14856,False
2023-05-27_1605,216,21268,False
2023-05-27_1705,217,135099,True
2023-05-27_1805,218,37212,False
2023-05-27_1905,219,26366,False
2023-05-27_2005,220,20140,False
2023-05-27_2105,221,125293,True
2023-05-27_2205,222,9576,False
2023-05-27_2305,223,12744,False
2023-05-28_0005,224,4536,False
2023-05-28_0105,225,4739,False
2023-05-28_0205,226,3633,False
2023-05-28_0305,227,4611,False
2023-05-28_0405,228,5061,False
2023-05-28_0505,229,5559,False
2023-05-28_0605,230,4219,False
2023-05-28_0705,231,5603,False
2023-05-28_0805,232,8871,False
2023-05-28_0905,233,16673,False
2023-05-28_1005,234,7826,False
2023-05-28_1105,235,15384,False
2023-05-28_1205,236,7255,False
2023-05-28_1305,237,9618,False
2023-05-28_1405,238,13986,False
2023-05-28_1505,239,23878,False
2023-05-28_1605,240,9157,False
2023-05-28_1705,241,16053,False
2023-05-28_1805,242,26355,False
2023-05-28_1905,243,45429,False
2023-05-28_2005,244,16500,False
2023-05-28_2105,245,29400,False
2023-05-28_2205,246,22299,False
2023-05-28_2305,247,11746,False
2023-05-29_0005,248,19038,False
2023-05-29_0105,249,24128,False
2023-05-29_0205,250,24307,False
2023-05-29_0305,251,9223,False
2023-05-29_0405,252,12255,False
2023-05-29_0505,253,11652,False
2023-05-29_0605,254,18412,False
2023-05-29_0705,255,18329,False
2023-05-29_0805,256,29514,False
2023-05-29_0905,257,64436,False
2023-05-29_1005,258,135228,True
2023-05-29_1105,259,181976,True
2023-05-29_1205,260,377037,True
2023-05-29_1305,261,483275,True
2023-05-29_1405,262,316254,True
2023-05-29_1505,263,472915,True
2023-05-29_1605,264,410428,True
2023-05-29_1705,265,383288,True
2023-05-29_1805,266,595634,True
2023-05-29_1905,267,223102,True
2023-05-29_2005,268,388484,True
2023-05-29_2105,269,513280,True
2023-05-29_2205,270,323649,True
2023-05-29_2305,271,368627,True
2023-05-30_0005,272,46852,False
2023-05-30_0105,273,78630,False
2023-05-30_0205,274,86786,False
2023-05-30_0305,275,114322,True
2023-05-30_0405,276,328497,True
2023-05-30_0505,277,253597,True
2023-05-30_0605,278,505811,True
2023-05-30_0705,279,424218,True
2023-05-30_0805,280,479370,True
2023-05-30_0905,281,567601,True
2023-05-30_1005,282,700141,True
2023-05-30_1105,283,699101,True
2023-05-30_1205,284,259014,True
2023-05-30_1305,285,259651,True
2023-05-30_1405,286,286116,True
2023-05-30_1505,287,327726,True
2023-05-30_1605,288,247250,True
2023-05-30_1705,289,251980,True
2023-05-30_1805,290,313477,True
2023-05-30_1905,291,424416,True
2023-05-30_2005,292,266335,True
2023-05-30_2105,293,444309,True
2023-05-30_2205,294,449419,True
2023-05-30_2305,295,441638,True
2023-05-31_0005,296,437066,True
