Date,Hours From Start,Area,MayHavePlant
2023-05-18_1605,0,0,False
2023-05-24_1735,145,91,False
2023-05-24_1805,146,51064,False
2023-05-24_1905,147,2363,False
2023-05-24_2005,148,2551,False
2023-05-24_2105,149,3109,False
2023-05-24_2205,150,3852,False
2023-05-24_2305,151,3894,False
2023-05-25_0005,152,3603,False
2023-05-25_0105,153,2862,False
2023-05-25_0205,154,4125,False
2023-05-25_0305,155,0,False
2023-05-25_0405,156,3581,False
2023-05-25_0505,157,3335,False
2023-05-25_0605,158,3653,False
2023-05-25_0705,159,3633,False
2023-05-25_0805,160,3866,False
2023-05-25_0905,161,2791,False
2023-05-25_1005,162,3159,False
2023-05-25_1105,163,3390,False
2023-05-25_1205,164,3098,False
2023-05-25_1305,165,3255,False
2023-05-25_1405,166,3317,False
2023-05-25_1505,167,3952,False
2023-05-25_1605,168,2997,False
2024-01-02_1705,5498,2,False
2024-01-02_1753,5498,1,False
2024-01-02_1805,5499,1,False
2024-03-29_1305,7581,700075,True
2024-03-29_1405,7582,10,False
2024-03-29_1505,7583,13,False
2024-03-29_1605,7584,2,False
2024-03-29_1705,7585,0,False
2024-03-29_1805,7586,0,False
2024-03-29_1905,7587,3,False
2024-03-29_2005,7588,26,False
2024-03-29_2105,7589,7,False
2024-03-29_2205,7590,5,False
2024-03-29_2305,7591,5,False
2024-03-30_0005,7592,1,False
2024-03-30_0105,7593,0,False
2024-03-30_0205,7594,1,False
2024-03-30_0305,7595,0,False
2024-03-30_0405,7596,0,False
2024-03-30_0505,7597,1,False
2024-03-30_0605,7598,2,False
2024-03-30_0705,7599,0,False
2024-03-30_0805,7600,0,False
2024-03-30_0905,7601,0,False
2024-03-30_1005,7602,0,False
2024-03-30_1105,7603,0,False
2024-03-30_1205,7604,1,False
2024-03-30_1305,7605,2,False
2024-03-30_1405,7606,0,False
2024-03-30_1505,7607,0,False
2024-03-30_1605,7608,0,False
2024-03-30_1705,7609,2,False
2024-03-30_1805,7610,0,False
2024-04-01_1605,7656,464,False
2024-04-01_1705,7657,504,False
2024-04-01_1805,7658,552,False
2024-04-01_1905,7659,726,False
2024-04-01_2005,7660,1016,False
2024-04-01_2105,7661,1338,False
2024-04-01_2205,7662,1470,False
2024-04-01_2305,7663,1652,False
2024-04-02_0005,7664,1720,False
2024-04-02_0105,7665,2016,False
2024-04-02_0205,7666,2348,False
2024-04-02_0305,7667,2271,False
2024-04-02_0405,7668,2434,False
2024-04-02_0505,7669,2474,False
2024-04-02_0605,7670,2656,False
2024-04-02_0705,7671,2791,False
2024-04-02_0805,7672,3019,False
2024-04-02_0905,7673,3021,False
2024-04-02_1005,7674,2782,False
2024-04-02_1105,7675,3155,False
2024-04-02_1205,7676,3504,False
2024-04-02_1305,7677,3836,False
2024-04-02_1405,7678,4319,False
2024-04-02_1505,7679,0,False
2024-04-02_1605,7680,5408,False
2024-04-02_1705,7681,5911,False
2024-04-02_1805,7682,5874,False
2024-04-02_1905,7683,6205,False
2024-04-02_2005,7684,7019,False
2024-04-02_2105,7685,7356,False
2024-04-02_2205,7686,7784,False
2024-04-02_2305,7687,8113,False
2024-04-03_0005,7688,8629,False
2024-04-03_0105,7689,8838,False
2024-04-03_0205,7690,9315,False
2024-04-03_0305,7691,9708,False
2024-04-03_0405,7692,9854,False
2024-04-03_0505,7693,10267,False
2024-04-03_0605,7694,10377,False
2024-04-03_0705,7695,10893,False
2024-04-03_0805,7696,11494,False
2024-04-03_0905,7697,9991,False
2024-04-03_1005,7698,10999,False
2024-04-03_1105,7699,11057,False
2024-04-03_1205,7700,11205,False
2024-04-03_1305,7701,10276,False
2024-04-03_1405,7702,9282,False
2024-04-03_1505,7703,10007,False
2024-04-03_1605,7704,10994,False
2024-04-03_1705,7705,11292,False
2024-04-03_1805,7706,12652,False
2024-04-03_1905,7707,13232,False
2024-04-03_2005,7708,14830,False
2024-04-03_2105,7709,14897,False
2024-04-03_2205,7710,0,False
2024-04-03_2305,7711,17724,False
2024-04-04_0005,7712,18239,False
2024-04-04_0105,7713,19590,False
2024-04-04_0205,7714,20748,False
2024-04-04_0305,7715,21162,False
2024-04-04_0405,7716,21650,False
2024-04-04_0505,7717,22869,False
2024-04-04_0605,7718,23816,False
2024-04-04_0705,7719,24891,False
2024-04-04_0805,7720,25935,False
2024-04-04_0905,7721,19486,False
2024-04-04_1005,7722,25359,False
2024-04-04_1105,7723,24911,False
2024-04-04_1205,7724,25149,False
2024-04-04_1305,7725,25537,False
2024-04-04_1405,7726,27233,False
2024-04-04_1505,7727,27351,False
2024-04-04_1605,7728,29250,False
2024-04-04_1705,7729,28700,False
2024-04-04_1805,7730,29755,False
2024-04-04_1905,7731,30439,False
2024-04-04_2005,7732,30992,False
2024-04-04_2105,7733,32364,False
2024-04-04_2205,7734,32953,False
2024-04-04_2305,7735,34381,False
2024-04-05_0005,7736,36580,False
2024-04-05_0105,7737,37703,False
2024-04-05_0205,7738,38866,False
2024-04-05_0305,7739,40459,False
2024-04-05_0405,7740,41197,False
2024-04-05_0505,7741,41826,False
2024-04-05_0605,7742,42425,False
2024-04-05_0705,7743,43367,False
2024-04-05_0805,7744,16704,False
2024-04-05_0905,7745,41851,False
2024-04-05_1005,7746,43433,False
2024-04-05_1105,7747,44634,False
2024-04-05_1205,7748,44655,False
2024-04-05_1305,7749,46612,False
2024-04-05_1405,7750,46404,False
2024-04-05_1505,7751,47322,False
2024-04-05_1605,7752,48570,False
2024-04-05_1705,7753,50112,False
2024-04-05_1805,7754,50558,False
2024-04-05_1905,7755,52561,False
2024-04-05_2005,7756,54042,False
2024-04-05_2105,7757,55125,False
2024-04-05_2205,7758,55763,False
2024-04-05_2305,7759,14026,False
2024-04-06_0005,7760,57550,False
2024-04-06_0105,7761,58100,False
2024-04-06_0205,7762,58604,False
2024-04-06_0305,7763,17842,False
2024-04-06_0405,7764,59826,False
2024-04-06_0505,7765,60024,False
2024-04-06_0605,7766,61140,False
2024-04-06_0705,7767,61323,False
2024-04-06_0805,7768,61985,False
2024-04-06_0905,7769,57898,False
2024-04-06_1005,7770,15434,False
2024-04-06_1105,7771,59852,False
2024-04-06_1205,7772,60918,False
2024-04-06_1305,7773,62017,False
2024-04-06_1405,7774,62367,False
2024-04-06_1505,7775,64082,False
2024-04-06_1605,7776,65253,False
2024-04-06_1705,7777,66966,False
2024-04-06_1805,7778,20595,False
2024-04-06_1905,7779,25924,False
