Date,Hours From Start,Area,MayHavePlant
2023-06-01_1146,0,0,False
2023-06-01_1150,0,0,False
2023-06-01_1205,0,0,False
2023-06-01_1305,1,0,False
2023-06-01_1405,2,0,False
2024-01-16_2105,5506,0,False
2024-01-16_2205,5507,0,False
2024-01-16_2305,5508,0,False
2024-01-17_0005,5509,0,False
2024-01-17_0105,5510,0,False
2024-01-17_0205,5511,0,False
2024-01-17_0305,5512,0,False
2024-01-17_0405,5513,0,False
2024-01-17_0505,5514,0,False
2024-01-17_0605,5515,0,False
2024-01-17_0705,5516,0,False
2024-01-17_0805,5517,0,False
2024-01-17_0905,5518,0,False
2024-01-17_1005,5519,0,False
2024-01-17_1105,5520,0,False
2024-01-17_1205,5521,0,False
2024-01-17_1305,5522,0,False
2024-01-17_1405,5523,0,False
2024-01-17_1505,5524,0,False
2024-01-17_1605,5525,0,False
2024-01-17_1705,5526,0,False
2024-01-17_1805,5527,0,False
2024-01-17_1905,5528,0,False
2024-01-17_2005,5529,0,False
2024-01-17_2105,5530,0,False
2024-01-17_2205,5531,0,False
2024-01-17_2305,5532,0,False
2024-01-18_0005,5533,0,False
2024-01-18_0105,5534,0,False
2024-01-18_0205,5535,0,False
2024-01-18_0305,5536,0,False
2024-01-18_0405,5537,0,False
2024-01-18_0505,5538,0,False
2024-01-18_0605,5539,0,False
2024-01-18_0705,5540,0,False
2024-01-18_0805,5541,0,False
2024-01-18_0905,5542,0,False
2024-01-18_1005,5543,0,False
2024-01-18_1105,5544,0,False
2024-01-18_1205,5545,0,False
2024-01-18_1305,5546,0,False
2024-01-18_1405,5547,0,False
2024-01-18_1505,5548,0,False
2024-01-18_1605,5549,0,False
2024-01-18_1705,5550,0,False
2024-01-18_1805,5551,0,False
2024-01-18_1905,5552,0,False
2024-01-18_2005,5553,0,False
2024-01-18_2105,5554,0,False
2024-01-18_2205,5555,0,False
2024-01-18_2305,5556,0,False
2024-01-19_0005,5557,0,False
2024-01-19_0105,5558,0,False
2024-01-19_0205,5559,0,False
2024-01-19_0305,5560,0,False
2024-01-19_0405,5561,0,False
2024-01-19_0505,5562,0,False
2024-01-19_0605,5563,0,False
2024-01-19_0705,5564,0,False
2024-01-19_0805,5565,0,False
2024-01-19_0905,5566,0,False
2024-01-19_1005,5567,0,False
2024-01-19_1105,5568,0,False
2024-01-19_1205,5569,0,False
2024-01-19_1305,5570,0,False
2024-01-19_1405,5571,0,False
2024-01-19_1505,5572,0,False
2024-01-19_1605,5573,0,False
2024-01-19_1705,5574,0,False
2024-01-19_1805,5575,0,False
2024-01-19_1905,5576,0,False
2024-01-19_2005,5577,0,False
2024-01-19_2105,5578,0,False
2024-01-19_2205,5579,0,False
2024-01-19_2305,5580,0,False
2024-01-20_0005,5581,0,False
2024-01-20_0105,5582,0,False
2024-01-20_0205,5583,0,False
2024-01-20_0305,5584,0,False
2024-01-20_0405,5585,0,False
2024-01-20_0505,5586,0,False
2024-01-20_0605,5587,0,False
2024-01-20_0705,5588,0,False
2024-01-20_0805,5589,0,False
2024-01-20_0905,5590,0,False
2024-01-20_1005,5591,0,False
2024-01-20_1105,5592,0,False
2024-01-20_1205,5593,0,False
2024-01-20_1305,5594,0,False
2024-01-20_1405,5595,0,False
2024-01-20_1505,5596,0,False
2024-01-20_1605,5597,0,False
2024-01-20_1705,5598,0,False
2024-01-20_1805,5599,0,False
2024-01-20_1905,5600,0,False
2024-01-20_2005,5601,0,False
2024-01-20_2105,5602,0,False
2024-01-20_2205,5603,0,False
2024-01-20_2305,5604,0,False
2024-01-21_0005,5605,0,False
2024-01-21_0105,5606,0,False
2024-01-21_0205,5607,0,False
2024-01-21_0305,5608,0,False
2024-01-21_0405,5609,0,False
2024-01-21_0505,5610,0,False
2024-01-21_0605,5611,0,False
2024-01-21_0705,5612,0,False
2024-01-21_0805,5613,0,False
2024-01-21_0905,5614,0,False
2024-01-21_1005,5615,0,False
2024-01-21_1105,5616,0,False
2024-01-21_1205,5617,0,False
2024-01-21_1305,5618,0,False
2024-01-21_1405,5619,0,False
2024-01-21_1505,5620,0,False
2024-01-21_1605,5621,0,False
2024-01-21_1705,5622,0,False
2024-01-21_1805,5623,0,False
2024-01-21_1905,5624,0,False
2024-01-21_2005,5625,0,False
2024-01-21_2105,5626,0,False
2024-01-21_2205,5627,0,False
2024-01-21_2305,5628,0,False
2024-01-22_0005,5629,0,False
2024-01-22_0105,5630,0,False
