Date,Hours From Start,Area,MayHavePlant
2023-06-27_1651,0,1649,False
2023-06-27_1705,0,0,False
2023-06-27_1805,1,1631,False
2023-06-27_1905,2,1598,False
2023-06-27_2005,3,1643,False
2023-06-27_2105,4,1502,False
2023-06-27_2205,5,1608,False
2023-06-27_2305,6,1614,False
2023-06-28_0005,7,1577,False
2023-06-28_0105,8,1633,False
2023-06-28_0205,9,0,False
2023-06-28_0305,10,1589,False
2023-06-28_0405,11,1652,False
2023-06-28_0505,12,0,False
2023-06-28_0605,13,0,False
2023-06-28_0705,14,1565,False
2023-06-28_0805,15,1593,False
2023-06-28_0905,16,1557,False
2023-06-28_1005,17,0,False
2023-06-28_1105,18,1577,False
2023-06-28_1205,19,1564,False
2023-06-28_1305,20,1604,False
2023-06-28_1405,21,1637,False
2023-06-28_1505,22,1570,False
2023-06-28_1605,23,1610,False
2023-06-28_1705,24,1599,False
2023-06-28_1805,25,1664,False
2023-06-28_1905,26,1547,False
2023-06-28_2005,27,1593,False
2023-06-28_2105,28,1542,False
2023-06-28_2205,29,1546,False
2023-06-28_2305,30,1632,False
2023-06-29_0005,31,1560,False
2023-06-29_0105,32,1581,False
2023-06-29_0205,33,1489,False
2023-06-29_0305,34,1542,False
2023-06-29_0405,35,1565,False
2023-06-29_0505,36,1495,False
2023-06-29_0605,37,1510,False
2023-06-29_0705,38,1623,False
2023-06-29_0805,39,1490,False
2023-06-29_0905,40,1536,False
2023-06-29_1005,41,1469,False
2023-06-29_1205,43,1623,False
2023-06-29_1250,43,1704,False
2023-06-29_1305,44,1648,False
2023-06-29_1405,45,1673,False
2023-06-29_1505,46,0,False
2023-06-29_1605,47,1691,False
2023-06-29_1705,48,1576,False
2023-06-29_1805,49,1604,False
2023-06-29_1905,50,1622,False
2023-06-29_2005,51,1652,False
2023-06-29_2105,52,1571,False
2023-06-29_2205,53,1545,False
2023-06-29_2305,54,1547,False
2023-06-30_0005,55,1613,False
2023-06-30_0105,56,1609,False
2023-06-30_0205,57,1582,False
2023-06-30_0305,58,1572,False
2023-06-30_0405,59,1631,False
2023-06-30_0505,60,1600,False
2023-06-30_0605,61,1632,False
2023-06-30_0705,62,1533,False
2023-06-30_0805,63,1648,False
2023-06-30_0905,64,1644,False
2023-06-30_0954,65,1513,False
2023-06-30_1105,66,1279,False
2023-06-30_1205,67,1132,False
2023-06-30_1305,68,1257,False
2023-06-30_1405,69,1163,False
2023-06-30_1605,71,329,False
2023-07-05_1408,189,0,False
2023-07-05_1505,190,7,False
2023-07-06_1205,211,0,False
2023-07-06_1405,213,3,False
2023-07-06_1605,215,2,False
2023-07-12_1053,354,2,False
2023-07-12_1106,354,0,False
2023-07-12_1158,355,2,False
2023-07-12_1205,355,0,False
2023-07-12_1305,356,0,False
2023-07-12_1405,357,0,False
2023-07-12_1505,358,2,False
2023-07-13_1205,379,5,False
2023-07-13_1216,379,4,False
2023-07-13_1305,380,2,False
2023-07-13_1405,381,0,False
2023-07-13_1513,382,0,False
2023-07-13_1605,383,2,False
2023-07-13_1705,384,4,False
2023-07-13_1805,385,1,False
2023-07-13_1905,386,2,False
2023-07-13_2005,387,1,False
2023-07-13_2105,388,2,False
2023-07-13_2205,389,1,False
2023-07-13_2305,390,0,False
2023-07-14_0005,391,0,False
2023-07-14_0105,392,0,False
2023-07-14_0205,393,0,False
2023-07-14_0305,394,2,False
2023-07-14_0405,395,0,False
2023-07-14_0505,396,1,False
2023-07-14_0605,397,0,False
2023-07-14_0705,398,3,False
2023-07-14_0805,399,1,False
2023-07-14_0905,400,1,False
2023-07-14_1005,401,0,False
2023-07-14_1105,402,4,False
2023-07-14_1128,402,0,False
2023-07-14_1205,403,3,False
2023-07-14_1307,404,0,False
2023-07-14_1505,406,3,False
2023-07-14_1605,407,1,False
2023-07-14_1705,408,2,False
2023-07-14_1805,409,2,False
2023-07-14_1905,410,11,False
2023-07-14_2005,411,10,False
2023-07-14_2105,412,15,False
2023-07-14_2205,413,2,False
2023-07-14_2305,414,5,False
2023-07-15_0005,415,6,False
2023-07-15_0105,416,6,False
2023-07-15_0205,417,6,False
2023-07-15_0305,418,3,False
2023-07-15_0405,419,8,False
2023-07-15_0505,420,3,False
2023-07-15_0605,421,2,False
2023-07-15_0705,422,2,False
2023-07-15_0805,423,2,False
2023-07-15_0905,424,6,False
2023-07-15_1005,425,3,False
2023-07-15_1105,426,4,False
2023-07-15_1205,427,2,False
2023-07-15_1305,428,2,False
2023-07-15_1405,429,1,False
2023-07-15_1505,430,4,False
2023-07-15_1605,431,0,False
2023-07-15_1705,432,1,False
2023-07-15_1805,433,8,False
2023-07-15_1905,434,13,False
2023-07-15_2005,435,7,False
2023-07-15_2105,436,3,False
2023-07-15_2205,437,1,False
2023-07-15_2305,438,2,False
2023-07-16_0005,439,6,False
2023-07-16_0105,440,4,False
2023-07-16_0205,441,2,False
2023-07-16_0305,442,5,False
2023-07-16_0405,443,1,False
2023-07-16_0505,444,4,False
2023-07-16_0605,445,1,False
2023-07-16_0705,446,0,False
2023-07-16_0805,447,5,False
2023-07-16_0905,448,1,False
2023-07-16_1005,449,2,False
2023-07-16_1105,450,0,False
2023-07-16_1205,451,0,False
2023-07-16_1305,452,6,False
2023-07-16_1405,453,1,False
2023-07-16_1505,454,4,False
2023-07-16_1605,455,6,False
2023-07-16_1705,456,1,False
2023-07-16_1805,457,0,False
2023-07-16_1905,458,1,False
2023-07-16_2005,459,2,False
2023-07-16_2105,460,2,False
2023-07-16_2205,461,3,False
2023-07-16_2305,462,1,False
2023-07-17_0005,463,8,False
2023-07-17_0105,464,1,False
2023-07-17_0205,465,7,False
2023-07-17_0305,466,2,False
2023-07-17_0405,467,2,False
2023-07-17_0505,468,1,False
2023-07-17_0605,469,0,False
2023-07-17_0705,470,0,False
2023-07-17_0805,471,0,False
2023-07-17_0905,472,5,False
2023-07-17_1005,473,47,False
2023-07-17_1105,474,1,False
2023-07-17_1205,475,0,False
2023-07-17_1305,476,5,False
2023-07-17_1359,477,6,False
2023-07-17_1405,477,5,False
2023-07-17_1505,478,0,False
2023-07-17_1605,479,1,False
2023-07-17_1705,480,2,False
2023-07-17_1805,481,3,False
2023-07-17_1905,482,3,False
2023-07-17_2005,483,1,False
2023-07-17_2105,484,4,False
2023-07-17_2205,485,1,False
2023-07-17_2305,486,4,False
2023-07-18_0005,487,1,False
2023-07-18_0105,488,0,False
2023-07-18_0205,489,0,False
2023-07-18_0305,490,1,False
2023-07-18_0405,491,0,False
2023-07-18_0505,492,0,False
2023-07-18_0605,493,2,False
2023-07-18_0705,494,1,False
2023-07-18_0805,495,3,False
2023-07-18_0905,496,2,False
2023-07-18_1005,497,0,False
2023-07-18_1105,498,2,False
2023-07-18_1205,499,3,False
2023-07-18_1305,500,2,False
2023-07-18_1405,501,3,False
2023-07-18_1505,502,5,False
2023-07-18_1605,503,7,False
2023-07-18_1705,504,1,False
2023-07-18_1805,505,1,False
2023-07-18_1905,506,0,False
2023-07-18_2005,507,0,False
2023-07-18_2105,508,0,False
2023-07-18_2205,509,0,False
2023-07-18_2305,510,5,False
2023-07-19_0005,511,0,False
2023-07-19_0105,512,7,False
2023-07-19_0205,513,1,False
2023-07-19_0305,514,5,False
2023-07-19_0405,515,8,False
2023-07-19_0505,516,0,False
2023-07-19_0605,517,4,False
2023-07-19_0705,518,0,False
2023-07-19_0805,519,4,False
2023-07-19_0905,520,9,False
2023-07-19_1005,521,1,False
2023-07-19_1105,522,0,False
2023-07-19_1205,523,0,False
2023-07-19_1305,524,2,False
2023-07-19_1405,525,5,False
2023-07-19_1505,526,1,False
2023-07-19_1605,527,1,False
2023-07-19_1705,528,0,False
2023-07-19_1805,529,1,False
2023-07-19_1905,530,0,False
2023-07-19_2005,531,0,False
2023-07-19_2105,532,0,False
2023-07-19_2205,533,2,False
2023-07-19_2305,534,0,False
2023-07-20_0005,535,0,False
2023-07-20_0105,536,1,False
2023-07-20_0205,537,3,False
2023-07-20_0305,538,0,False
2023-07-20_0405,539,1,False
2023-07-20_0505,540,3,False
2023-07-20_0605,541,0,False
2023-07-20_0705,542,2,False
2023-07-20_0805,543,0,False
2023-07-20_0905,544,12,False
2023-07-20_1005,545,10,False
2023-07-20_1105,546,3,False
2023-07-20_1205,547,0,False
2023-07-20_1305,548,3,False
2023-07-20_1405,549,1,False
2023-07-20_1505,550,1,False
2023-07-21_0105,560,3,False
2023-07-21_0205,561,3,False
2023-07-21_0305,562,4,False
2023-07-21_0405,563,5,False
2023-07-21_0505,564,2,False
2023-07-21_0605,565,1,False
2023-07-21_0705,566,6,False
2023-07-21_0805,567,5,False
2023-07-21_0905,568,0,False
2023-07-21_1005,569,1,False
2023-07-21_1105,570,3,False
2023-07-21_1205,571,3,False
2023-07-21_1305,572,1,False
2023-07-21_1405,573,1,False
2023-07-21_1505,574,5,False
2023-07-21_1605,575,2,False
2023-07-21_1705,576,0,False
2023-07-21_1805,577,2,False
2023-07-21_1905,578,1,False
2023-07-21_2005,579,3,False
2023-07-21_2105,580,2,False
2023-07-21_2205,581,0,False
2023-07-21_2305,582,3,False
2023-07-22_0005,583,5,False
2023-07-22_0105,584,9,False
2023-07-22_0205,585,4,False
2023-07-22_0305,586,1,False
2023-07-22_0405,587,3,False
2023-07-22_0505,588,5,False
2023-07-22_0605,589,0,False
2023-07-22_0705,590,4,False
2023-07-22_0805,591,1,False
2023-07-22_0905,592,1,False
2023-07-22_1005,593,5,False
2023-07-22_1105,594,4,False
2023-07-22_1205,595,0,False
2023-07-22_1305,596,5,False
2023-07-22_1405,597,2,False
2023-07-22_1505,598,2,False
2023-07-22_1605,599,1,False
2023-07-22_1705,600,4,False
2023-07-22_1805,601,0,False
2023-07-22_1905,602,2,False
2023-07-22_2005,603,2,False
2023-07-22_2105,604,3,False
2023-07-22_2205,605,2,False
2023-07-22_2305,606,0,False
2023-07-23_0005,607,7,False
2023-07-23_0105,608,3,False
2023-07-23_0205,609,5,False
2023-07-23_0305,610,4,False
2023-07-23_0405,611,6,False
2023-07-23_0505,612,0,False
2023-07-23_0605,613,10,False
2023-07-23_0705,614,9,False
2023-07-23_0805,615,4,False
2023-07-23_0905,616,4,False
2023-07-23_1005,617,2,False
2023-07-23_1105,618,4,False
2023-07-23_1205,619,3,False
2023-07-23_1305,620,7,False
2023-07-23_1405,621,2,False
2023-07-23_1505,622,4,False
2023-07-23_1605,623,0,False
2023-07-23_1705,624,2,False
2023-07-23_1805,625,0,False
2023-07-23_1905,626,9,False
2023-07-23_2005,627,1,False
2023-07-23_2105,628,0,False
2023-07-23_2205,629,3,False
2023-07-23_2305,630,3,False
2023-07-24_0005,631,1,False
2023-07-24_0105,632,1,False
2023-07-24_0205,633,6,False
2023-07-24_0305,634,3,False
2023-07-24_0405,635,1,False
2023-07-24_0505,636,4,False
