Date,Hours From Start,Area,MayHavePlant
2023-11-09_2005,0,95318,False
2023-11-17_1231,184,43,False
2023-12-04_1205,592,0,False
2023-12-04_1305,593,17,False
2023-12-04_1405,594,35,False
2023-12-04_1505,595,47,False
2023-12-04_1605,596,39,False
2023-12-04_1705,597,0,False
2023-12-04_1805,598,0,False
2023-12-04_1905,599,27,False
2023-12-05_1105,615,51,False
2023-12-05_1205,616,27,False
2023-12-05_1305,617,27,False
2023-12-05_1405,618,40,False
2023-12-05_1505,619,45,False
2023-12-05_1605,620,21,False
2023-12-15_1510,859,57,False
2024-02-15_1205,2344,0,False
2024-02-15_1305,2345,4,False
2024-02-15_1405,2346,1,False
2024-02-15_1505,2347,2,False
2024-02-15_1605,2348,0,False
2024-02-15_1705,2349,0,False
2024-02-15_1805,2350,42,False
2024-02-15_1905,2351,40,False
2024-02-15_2005,2352,48,False
2024-02-15_2105,2353,63,False
2024-02-15_2205,2354,35,False
2024-02-15_2305,2355,63,False
2024-02-16_0005,2356,99,False
2024-02-16_0105,2357,112,False
2024-02-16_0205,2358,84,False
2024-02-16_0305,2359,86,False
2024-02-16_0405,2360,141,False
2024-02-16_0505,2361,84,False
2024-02-16_0605,2362,114,False
2024-02-16_0705,2363,292,False
2024-02-16_0805,2364,87,False
2024-02-16_1105,2367,2189,False
2024-02-16_1205,2368,811,False
2024-02-16_1305,2369,814,False
2024-02-16_1405,2370,561,False
2024-02-16_1605,2372,8,False
2024-02-21_1005,2486,16,False
2024-02-21_1105,2487,5,False
2024-02-21_1205,2488,6,False
2024-02-21_1305,2489,7,False
2024-02-21_1405,2490,8,False
