Date,Hours From Start,Area,MayHavePlant
2023-11-15_0105,0,0,False
2023-11-20_1315,132,25,False
2023-12-15_1546,734,57,False
2024-02-15_1005,2217,0,False
2024-02-15_1105,2218,0,False
2024-02-15_1205,2219,0,False
2024-02-15_1305,2220,0,False
2024-02-15_1405,2221,0,False
2024-02-15_1505,2222,0,False
2024-02-15_1605,2223,0,False
2024-02-15_1705,2224,0,False
2024-02-15_1805,2225,0,False
2024-02-15_1905,2226,0,False
2024-02-15_2005,2227,0,False
2024-02-15_2105,2228,0,False
2024-02-15_2205,2229,0,False
2024-02-15_2305,2230,0,False
2024-02-16_0005,2231,2,False
2024-02-16_0105,2232,2,False
2024-02-16_0205,2233,1,False
2024-02-16_0305,2234,0,False
2024-02-16_0405,2235,2,False
2024-02-16_0505,2236,1,False
2024-02-16_0605,2237,0,False
2024-02-16_0705,2238,1,False
2024-02-16_0805,2239,0,False
2024-02-16_1205,2243,2,False
2024-02-16_1305,2244,13,False
2024-02-16_1405,2245,3,False
2024-02-21_1005,2361,5,False
2024-02-21_1105,2362,1,False
2024-02-21_1205,2363,1,False
2024-02-21_1305,2364,1,False
2024-02-21_1405,2365,0,False
