Date,Hours From Start,Area,MayHavePlant
2023-11-20_1343,0,24,False
2023-12-15_1601,602,62,False
2024-02-15_1305,2087,0,False
2024-02-15_1405,2088,0,False
2024-02-15_1505,2089,0,False
2024-02-15_1605,2090,0,False
2024-02-15_1705,2091,1,False
2024-02-15_1805,2092,0,False
2024-02-15_1905,2093,0,False
2024-02-15_2005,2094,0,False
2024-02-15_2105,2095,0,False
2024-02-15_2205,2096,0,False
2024-02-15_2305,2097,5,False
2024-02-16_0005,2098,1,False
2024-02-16_0105,2099,3,False
2024-02-16_0205,2100,0,False
2024-02-16_0305,2101,2,False
2024-02-16_0405,2102,1,False
2024-02-16_0505,2103,1,False
2024-02-16_0605,2104,1,False
2024-02-16_0705,2105,0,False
2024-02-16_0805,2106,0,False
2024-02-16_1205,2110,0,False
2024-02-16_1305,2111,0,False
2024-02-16_1405,2112,2,False
2024-02-21_1005,2228,2284,False
2024-02-21_1105,2229,2206,False
2024-02-21_1205,2230,2080,False
2024-02-21_1305,2231,1986,False
2024-02-21_1405,2232,2256,False
