Date,Hours From Start,Area,MayHavePlant
2023-11-20_1448,0,21,False
2023-12-18_1124,668,137,False
2023-12-19_1205,693,106,False
2024-03-14_1005,2754,0,False
2024-03-14_1105,2755,1,False
2024-03-14_1205,2756,2,False
2024-03-14_1305,2757,0,False
2024-03-14_1405,2758,0,False
2024-03-14_1505,2759,0,False
2024-03-14_1605,2760,0,False
2024-03-14_1705,2761,0,False
2024-03-14_1805,2762,0,False
2024-03-14_1905,2763,0,False
2024-03-14_2005,2764,0,False
2024-03-14_2105,2765,1,False
2024-03-14_2205,2766,4,False
2024-03-14_2305,2767,1,False
2024-03-15_0005,2768,0,False
2024-03-15_0105,2769,7,False
2024-03-15_0205,2770,4,False
2024-03-15_0305,2771,1,False
2024-03-15_0405,2772,0,False
2024-03-15_0505,2773,0,False
2024-03-15_0605,2774,0,False
2024-03-15_0705,2775,0,False
2024-03-15_0805,2776,1,False
2024-03-15_0905,2777,0,False
2024-03-15_1005,2778,0,False
2024-03-15_1105,2779,143,False
2024-03-15_1205,2780,147,False
2024-03-15_1305,2781,121,False
2024-03-15_1405,2782,174,False
2024-03-15_1505,2783,120,False
2024-03-15_1605,2784,0,False
2024-03-15_1705,2785,0,False
2024-03-15_1805,2786,169,False
2024-03-15_1905,2787,222,False
2024-03-15_2005,2788,250,False
2024-03-15_2105,2789,161,False
2024-03-15_2205,2790,157,False
2024-03-15_2305,2791,173,False
2024-03-16_0005,2792,239,False
2024-03-16_0105,2793,208,False
2024-03-16_0205,2794,198,False
2024-03-16_0305,2795,166,False
2024-03-16_0405,2796,198,False
2024-03-16_0505,2797,241,False
2024-03-16_0605,2798,290,False
2024-03-16_0705,2799,36,False
2024-03-16_0805,2800,91,False
2024-03-16_0905,2801,94,False
2024-03-16_1005,2802,168,False
2024-03-16_1105,2803,102,False
2024-03-16_1205,2804,127,False
2024-03-16_1305,2805,179,False
2024-03-16_1405,2806,125,False
2024-03-16_1505,2807,125,False
2024-03-16_1605,2808,215,False
2024-03-16_1705,2809,210,False
2024-03-16_1805,2810,214,False
2024-03-16_1905,2811,0,False
2024-03-16_2005,2812,152,False
2024-03-16_2105,2813,152,False
2024-03-16_2205,2814,161,False
2024-03-16_2305,2815,176,False
2024-03-17_0005,2816,45,False
