Date,Hours From Start,Area,MayHavePlant
2023-11-20_1508,0,13,False
2023-12-18_1209,669,108,False
2023-12-19_1305,693,119,False
2023-12-19_1405,694,137,False
2023-12-19_1505,695,214,False
2023-12-19_1605,696,252,False
2023-12-19_1705,697,0,False
2023-12-19_1805,698,208,False
2023-12-19_1905,699,162,False
2023-12-19_2005,700,213,False
2023-12-19_2105,701,207,False
2023-12-19_2205,702,189,False
2023-12-19_2305,703,203,False
2023-12-20_0005,704,119,False
2023-12-20_0105,705,185,False
2023-12-20_0205,706,114,False
2023-12-20_0305,707,129,False
2023-12-20_0405,708,200,False
2023-12-20_0505,709,159,False
2023-12-20_0605,710,254,False
2023-12-20_0705,711,191,False
2023-12-20_0805,712,0,False
2023-12-20_0905,713,223,False
2023-12-20_1005,714,0,False
2023-12-20_1105,715,0,False
2023-12-20_1205,716,350,False
2023-12-20_1305,717,224,False
2023-12-20_1405,718,266,False
2023-12-20_1505,719,258,False
2023-12-20_1605,720,111,False
2023-12-20_1705,721,94,False
2023-12-21_1205,740,48,False
2023-12-21_1305,741,83,False
2023-12-21_1405,742,91,False
2023-12-21_1505,743,66,False
2023-12-21_1605,744,136,False
2023-12-21_1705,745,117,False
2023-12-21_1805,746,45,False
2023-12-21_1905,747,96,False
2023-12-21_2005,748,26,False
2023-12-21_2105,749,94,False
2023-12-21_2205,750,38,False
2023-12-21_2305,751,89,False
2023-12-22_0005,752,87,False
2023-12-22_0105,753,76,False
2023-12-22_0205,754,42,False
2023-12-22_0305,755,56,False
2023-12-22_0405,756,48,False
2023-12-22_0505,757,33,False
2023-12-22_0605,758,129,False
2023-12-22_0705,759,69,False
2023-12-22_0805,760,60,False
2023-12-22_0905,761,34,False
2023-12-22_1005,762,79,False
2023-12-22_1105,763,56,False
