Date,Hours From Start,Area,MayHavePlant
2024-01-03_1724,0,0,False
2024-01-03_1905,1,0,False
2024-01-03_2005,2,0,False
2024-01-03_2105,3,0,False
2024-01-03_2205,4,0,False
2024-01-03_2305,5,0,False
2024-01-04_0005,6,0,False
2024-01-04_0105,7,0,False
2024-01-04_0205,8,0,False
2024-01-04_0305,9,0,False
2024-01-04_0405,10,0,False
2024-01-04_0505,11,0,False
2024-01-04_0605,12,0,False
2024-01-04_0705,13,0,False
2024-01-04_0805,14,0,False
2024-01-04_0905,15,0,False
2024-01-04_1005,16,0,False
2024-01-04_1105,17,0,False
2024-01-04_1205,18,0,False
2024-01-04_1305,19,0,False
2024-01-04_1405,20,0,False
2024-01-04_1505,21,0,False
2024-01-04_1605,22,0,False
2024-01-04_1705,23,0,False
2024-01-04_1805,24,0,False
2024-01-04_1905,25,0,False
2024-01-04_2005,26,0,False
2024-01-04_2105,27,0,False
2024-01-04_2205,28,0,False
2024-01-04_2305,29,0,False
2024-01-05_0005,30,0,False
2024-01-05_0105,31,0,False
2024-01-05_0205,32,0,False
2024-01-05_0305,33,0,False
2024-01-05_0405,34,0,False
2024-01-05_0505,35,0,False
2024-01-05_0605,36,0,False
2024-01-05_0705,37,0,False
2024-01-05_0805,38,0,False
2024-01-05_0905,39,0,False
2024-02-02_1405,716,0,False
2024-02-02_1505,717,0,False
2024-02-08_1605,862,0,False
2024-02-13_1305,979,0,False
2024-02-13_1405,980,0,False
2024-02-13_1505,981,0,False
2024-02-13_1605,982,0,False
2024-02-13_1705,983,0,False
2024-02-20_1741,1152,0,False
2024-02-21_1205,1170,0,False
2024-02-21_1305,1171,0,False
2024-02-21_1405,1172,0,False
2024-02-21_1505,1173,0,False
2024-02-21_1605,1174,0,False
2024-02-21_1705,1175,0,False
2024-02-26_1605,1294,135,False
2024-02-26_1705,1295,99,False
2024-02-26_1805,1296,163,False
2024-02-26_2005,1298,54,False
2024-02-27_1418,1316,96,False
2024-02-27_1634,1319,97,False
