Date,Hours From Start,Area,MayHavePlant
2023-11-09_2005,0,95318,False
2024-01-03_1814,1318,0,False
2024-01-03_1905,1319,0,False
2024-01-03_2005,1320,0,False
2024-01-03_2105,1321,0,False
2024-01-03_2205,1322,0,False
2024-01-03_2305,1323,0,False
2024-01-04_0005,1324,0,False
2024-01-04_0105,1325,0,False
2024-01-04_0205,1326,0,False
2024-01-04_0305,1327,0,False
2024-01-04_0405,1328,0,False
2024-01-04_0505,1329,0,False
2024-01-04_0605,1330,0,False
2024-01-04_0705,1331,0,False
2024-01-04_0805,1332,0,False
2024-01-04_0905,1333,0,False
2024-01-04_1005,1334,0,False
2024-01-04_1105,1335,0,False
2024-01-04_1205,1336,0,False
2024-01-04_1305,1337,0,False
2024-01-04_1405,1338,0,False
2024-01-04_1505,1339,0,False
2024-01-04_1605,1340,0,False
2024-01-04_1705,1341,0,False
2024-01-04_1805,1342,0,False
2024-01-04_1905,1343,0,False
2024-01-04_2005,1344,0,False
2024-01-04_2105,1345,0,False
2024-01-04_2205,1346,0,False
2024-01-04_2305,1347,0,False
2024-01-05_0005,1348,0,False
2024-01-05_0105,1349,0,False
2024-01-05_0205,1350,0,False
2024-01-05_0305,1351,0,False
2024-01-05_0405,1352,0,False
2024-01-05_0505,1353,0,False
2024-01-05_0605,1354,0,False
2024-01-05_0705,1355,0,False
2024-01-05_0805,1356,0,False
2024-01-05_0905,1357,0,False
2024-02-21_1205,2488,27,False
2024-02-21_1305,2489,21,False
2024-02-21_1405,2490,22,False
2024-02-21_1505,2491,16,False
2024-02-21_1605,2492,19,False
2024-02-21_1705,2493,21,False
2024-02-27_1518,2635,16,False
