Date,Hours From Start,Area,MayHavePlant
2024-01-03_1905,0,0,False
2024-01-03_2005,1,0,False
2024-01-03_2105,2,0,False
2024-01-03_2205,3,0,False
2024-01-03_2305,4,0,False
2024-01-04_0005,5,0,False
2024-01-04_0105,6,0,False
2024-01-04_0205,7,0,False
2024-01-04_0305,8,0,False
2024-01-04_0405,9,0,False
2024-01-04_0505,10,0,False
2024-01-04_0605,11,0,False
2024-01-04_0705,12,0,False
2024-01-04_0805,13,0,False
2024-01-04_0905,14,0,False
2024-01-04_1005,15,0,False
2024-01-04_1105,16,0,False
2024-01-04_1205,17,0,False
2024-01-04_1305,18,0,False
2024-01-04_1405,19,0,False
2024-01-04_1505,20,0,False
2024-01-04_1605,21,0,False
2024-01-04_1705,22,0,False
2024-01-04_1805,23,0,False
2024-01-04_1905,24,0,False
2024-01-04_2005,25,0,False
2024-01-04_2105,26,0,False
2024-01-04_2205,27,0,False
2024-01-04_2305,28,0,False
2024-01-05_0005,29,0,False
2024-01-05_0105,30,0,False
2024-01-05_0205,31,0,False
2024-01-05_0305,32,0,False
2024-01-05_0405,33,0,False
2024-01-05_0505,34,0,False
2024-01-05_0605,35,0,False
2024-01-05_0705,36,0,False
2024-01-05_0805,37,0,False
2024-01-05_0905,38,0,False
2024-02-21_1205,1169,0,False
2024-02-21_1305,1170,0,False
2024-02-21_1405,1171,0,False
2024-02-21_1505,1172,0,False
2024-02-21_1605,1173,0,False
2024-02-21_1705,1174,0,False
2024-02-28_1208,1337,0,False
2024-04-04_1505,2203,0,False
2024-04-04_1605,2204,0,False
2024-04-04_1705,2205,26,False
2024-04-04_1805,2206,0,False
2024-04-04_1905,2207,37,False
2024-04-04_2005,2208,0,False
2024-04-04_2105,2209,13,False
2024-04-04_2205,2210,14,False
2024-04-04_2305,2211,24,False
2024-04-05_0005,2212,22,False
2024-04-05_0105,2213,17,False
2024-04-05_0205,2214,0,False
2024-04-05_0305,2215,14,False
2024-04-05_0405,2216,0,False
2024-04-05_0505,2217,17,False
2024-04-05_0605,2218,0,False
2024-04-05_0705,2219,35,False
2024-04-05_0805,2220,0,False
2024-04-05_0905,2221,0,False
2024-04-05_1005,2222,62,False
2024-04-05_1105,2223,21,False
2024-04-05_1205,2224,19,False
2024-04-05_1305,2225,15,False
2024-04-05_1405,2226,0,False
2024-04-05_1505,2227,30,False
2024-04-05_1605,2228,0,False
2024-04-05_1705,2229,7,False
2024-04-05_1805,2230,0,False
2024-04-05_1905,2231,14,False
2024-04-05_2005,2232,5,False
2024-04-05_2105,2233,0,False
2024-04-05_2205,2234,0,False
2024-04-05_2305,2235,0,False
2024-04-06_0005,2236,0,False
2024-04-06_0105,2237,0,False
2024-04-06_0205,2238,23,False
2024-04-06_0305,2239,30,False
2024-04-06_0405,2240,78,False
2024-04-06_0505,2241,18,False
2024-04-06_0605,2242,30,False
2024-04-06_0705,2243,22,False
2024-04-06_0805,2244,0,False
2024-04-06_0905,2245,0,False
2024-04-06_1005,2246,15,False
2024-04-06_1105,2247,18,False
2024-04-06_1205,2248,0,False
2024-04-06_1305,2249,0,False
2024-04-06_1405,2250,13,False
2024-04-06_1505,2251,0,False
2024-04-06_1605,2252,0,False
2024-04-06_1705,2253,14,False
2024-04-06_1805,2254,21,False
2024-04-06_1905,2255,23,False
2024-04-06_2005,2256,45,False
2024-04-06_2105,2257,0,False
2024-04-06_2205,2258,9,False
2024-04-06_2305,2259,0,False
2024-04-07_0005,2260,29,False
2024-04-07_0105,2261,16,False
2024-04-07_0205,2262,23,False
