Date,Hours From Start,Area,MayHavePlant
2024-01-03_1905,0,0,False
2024-01-03_2005,1,0,False
2024-01-03_2105,2,0,False
2024-01-03_2205,3,0,False
2024-01-03_2305,4,0,False
2024-01-04_0005,5,0,False
2024-01-04_0105,6,0,False
2024-01-04_0205,7,0,False
2024-01-04_0305,8,0,False
2024-01-04_0405,9,0,False
2024-01-04_0505,10,0,False
2024-01-04_0605,11,0,False
2024-01-04_0705,12,0,False
2024-01-04_0805,13,0,False
2024-01-04_0905,14,0,False
2024-01-04_1005,15,0,False
2024-01-04_1105,16,0,False
2024-01-04_1205,17,0,False
2024-01-04_1305,18,0,False
2024-01-04_1405,19,0,False
2024-01-04_1505,20,0,False
2024-01-04_1605,21,0,False
2024-01-04_1705,22,0,False
2024-01-04_1805,23,0,False
2024-01-04_1905,24,0,False
2024-01-04_2005,25,0,False
2024-01-04_2105,26,0,False
2024-01-04_2205,27,0,False
2024-01-04_2305,28,0,False
2024-01-05_0005,29,0,False
2024-01-05_0105,30,0,False
2024-01-05_0205,31,0,False
2024-01-05_0305,32,0,False
2024-01-05_0405,33,0,False
2024-01-05_0505,34,0,False
2024-01-05_0605,35,0,False
2024-01-05_0705,36,0,False
2024-01-05_0805,37,0,False
2024-01-05_0905,38,0,False
2024-02-21_1205,1169,71057,False
2024-02-21_1305,1170,73051,False
2024-02-21_1405,1171,73055,False
2024-02-21_1505,1172,72391,False
2024-02-21_1605,1173,73700,False
2024-02-21_1705,1174,73346,False
2024-03-20_1205,1840,348,False
2024-03-20_1221,1840,789,False
