Date,Hours From Start,Area,MayHavePlant
2024-01-05_1105,0,0,False
2024-01-05_1205,1,0,False
2024-01-05_1305,2,0,False
2024-01-05_1405,3,0,False
2024-01-05_1505,4,0,False
2024-01-05_1605,5,0,False
2024-01-05_1705,6,0,False
2024-01-05_1805,7,0,False
2024-01-05_1905,8,0,False
2024-01-05_2005,9,0,False
2024-01-05_2105,10,0,False
2024-01-05_2205,11,0,False
2024-01-05_2305,12,0,False
2024-01-06_0005,13,0,False
2024-01-06_0105,14,0,False
2024-01-06_0205,15,0,False
2024-01-06_0305,16,0,False
2024-01-06_0405,17,0,False
2024-01-06_0505,18,0,False
2024-01-06_0605,19,0,False
2024-01-06_0705,20,0,False
2024-01-06_0805,21,0,False
2024-01-06_0905,22,0,False
2024-01-06_1005,23,0,False
2024-01-06_1105,24,0,False
2024-01-06_1205,25,0,False
2024-01-06_1305,26,0,False
2024-01-06_1405,27,0,False
2024-01-06_1505,28,0,False
2024-01-06_1605,29,0,False
2024-01-06_1705,30,0,False
2024-01-06_1805,31,0,False
2024-01-06_1905,32,0,False
2024-01-06_2005,33,0,False
2024-01-06_2105,34,0,False
2024-01-06_2205,35,0,False
2024-01-06_2305,36,0,False
2024-01-07_0005,37,0,False
2024-01-07_0105,38,0,False
2024-01-07_0205,39,0,False
2024-01-07_0305,40,0,False
2024-01-07_0405,41,0,False
2024-01-07_0505,42,0,False
2024-01-07_0605,43,0,False
2024-01-07_0705,44,0,False
2024-01-07_0805,45,0,False
2024-01-07_0905,46,0,False
2024-01-07_1005,47,0,False
2024-01-07_1105,48,0,False
2024-01-07_1205,49,0,False
2024-01-07_1305,50,0,False
2024-01-07_1405,51,0,False
2024-01-07_1505,52,0,False
2024-01-07_1605,53,0,False
2024-01-07_1705,54,0,False
2024-01-07_1805,55,0,False
2024-01-07_1905,56,0,False
2024-01-07_2005,57,0,False
2024-01-07_2105,58,0,False
2024-01-07_2205,59,0,False
2024-01-07_2305,60,0,False
2024-01-08_0005,61,0,False
2024-01-08_0105,62,0,False
2024-01-08_0205,63,0,False
2024-01-08_0305,64,0,False
2024-01-08_0405,65,0,False
2024-01-08_0505,66,0,False
2024-01-08_0605,67,0,False
2024-01-08_0705,68,0,False
2024-01-08_0805,69,0,False
2024-01-08_0905,70,0,False
2024-01-08_1005,71,0,False
2024-02-21_1205,1129,59452,False
2024-02-21_1305,1130,58647,False
2024-02-21_1405,1131,59123,False
2024-02-21_1505,1132,59361,False
2024-02-21_1605,1133,59882,False
2024-02-21_1705,1134,60332,False
2024-03-20_1316,1801,1293,False
