Date,Hours From Start,Area,MayHavePlant
2024-01-05_1105,0,0,False
2024-01-05_1205,1,0,False
2024-01-05_1305,2,0,False
2024-01-05_1405,3,0,False
2024-01-05_1505,4,0,False
2024-01-05_1605,5,0,False
2024-01-05_1705,6,0,False
2024-01-05_1805,7,0,False
2024-01-05_1905,8,0,False
2024-01-05_2005,9,0,False
2024-01-05_2105,10,0,False
2024-01-05_2205,11,0,False
2024-01-05_2305,12,0,False
2024-01-06_0005,13,0,False
2024-01-06_0105,14,0,False
2024-01-06_0205,15,0,False
2024-01-06_0305,16,0,False
2024-01-06_0405,17,0,False
2024-01-06_0505,18,0,False
2024-01-06_0605,19,0,False
2024-01-06_0705,20,0,False
2024-01-06_0805,21,0,False
2024-01-06_0905,22,0,False
2024-01-06_1005,23,0,False
2024-01-06_1105,24,0,False
2024-01-06_1205,25,0,False
2024-01-06_1305,26,0,False
2024-01-06_1405,27,0,False
2024-01-06_1505,28,0,False
2024-01-06_1605,29,0,False
2024-01-06_1705,30,0,False
2024-01-06_1805,31,0,False
2024-01-06_1905,32,0,False
2024-01-06_2005,33,0,False
2024-01-06_2105,34,0,False
2024-01-06_2205,35,0,False
2024-01-06_2305,36,0,False
2024-01-07_0005,37,0,False
2024-01-07_0105,38,0,False
2024-01-07_0205,39,0,False
2024-01-07_0305,40,0,False
2024-01-07_0405,41,0,False
2024-01-07_0505,42,0,False
2024-01-07_0605,43,0,False
2024-01-07_0705,44,0,False
2024-01-07_0805,45,0,False
2024-01-07_0905,46,0,False
2024-01-07_1005,47,0,False
2024-01-07_1105,48,0,False
2024-01-07_1205,49,0,False
2024-01-07_1305,50,0,False
2024-01-07_1405,51,0,False
2024-01-07_1505,52,0,False
2024-01-07_1605,53,0,False
2024-01-07_1705,54,0,False
2024-01-07_1805,55,0,False
2024-01-07_1905,56,0,False
2024-01-07_2005,57,0,False
2024-01-07_2105,58,0,False
2024-01-07_2205,59,0,False
2024-01-07_2305,60,0,False
2024-01-08_0005,61,0,False
2024-01-08_0105,62,0,False
2024-01-08_0205,63,0,False
2024-01-08_0305,64,0,False
2024-01-08_0405,65,0,False
2024-01-08_0505,66,0,False
2024-01-08_0605,67,0,False
2024-01-08_0705,68,0,False
2024-01-08_0805,69,0,False
2024-01-08_0905,70,0,False
2024-01-08_1005,71,0,False
2024-02-21_1205,1129,80611,False
2024-02-21_1305,1130,81400,False
2024-02-21_1405,1131,81639,False
2024-02-21_1505,1132,82325,False
2024-02-21_1605,1133,66334,False
2024-02-21_1705,1134,82444,False
2024-03-22_1105,1847,0,False
2024-03-22_1205,1848,0,False
2024-03-22_1305,1849,0,False
2024-03-22_1605,1852,0,False
2024-03-22_1705,1853,0,False
2024-03-22_1805,1854,0,False
2024-03-22_1905,1855,0,False
2024-03-22_2005,1856,0,False
2024-03-22_2105,1857,0,False
2024-03-22_2205,1858,0,False
2024-03-22_2305,1859,0,False
2024-03-23_0005,1860,0,False
2024-03-23_0105,1861,0,False
2024-03-23_0205,1862,0,False
2024-03-23_0305,1863,0,False
2024-03-23_0405,1864,0,False
2024-03-23_0505,1865,0,False
2024-03-23_0605,1866,0,False
2024-03-23_0705,1867,0,False
2024-03-23_0805,1868,0,False
2024-03-23_0905,1869,0,False
2024-03-23_1005,1870,0,False
2024-03-23_1105,1871,0,False
2024-03-23_1205,1872,0,False
2024-03-23_1305,1873,0,False
2024-03-23_1405,1874,0,False
2024-03-23_1505,1875,0,False
2024-03-23_1605,1876,0,False
2024-03-23_1705,1877,0,False
2024-03-23_1805,1878,0,False
2024-03-23_1905,1879,0,False
2024-03-23_2005,1880,0,False
2024-03-23_2105,1881,0,False
2024-03-23_2205,1882,0,False
2024-03-23_2305,1883,0,False
2024-03-24_0005,1884,0,False
2024-03-24_0105,1885,0,False
2024-03-24_0205,1886,0,False
2024-03-24_0305,1887,0,False
2024-03-24_0405,1888,0,False
2024-03-24_0505,1889,0,False
2024-03-24_0605,1890,0,False
2024-03-24_0705,1891,0,False
2024-03-24_0805,1892,0,False
2024-03-24_0905,1893,0,False
2024-03-24_1005,1894,0,False
2024-03-24_1105,1895,0,False
2024-03-24_1205,1896,0,False
2024-03-24_1305,1897,0,False
2024-03-24_1405,1898,0,False
2024-03-24_1505,1899,0,False
2024-03-24_1605,1900,0,False
2024-03-24_1705,1901,0,False
2024-03-24_1805,1902,0,False
2024-03-24_1905,1903,0,False
2024-03-24_2005,1904,0,False
2024-03-24_2105,1905,0,False
2024-03-24_2205,1906,0,False
2024-03-24_2305,1907,0,False
2024-03-25_0005,1908,0,False
2024-03-25_0105,1909,0,False
2024-03-25_0205,1910,0,False
2024-03-25_0305,1911,0,False
2024-03-25_0405,1912,0,False
2024-03-25_0505,1913,0,False
2024-03-25_0605,1914,0,False
2024-03-25_0705,1915,0,False
2024-03-25_0805,1916,0,False
2024-03-25_0905,1917,0,False
2024-03-25_1005,1918,0,False
2024-03-25_1105,1919,0,False
2024-03-25_1205,1920,0,False
2024-03-25_1305,1921,0,False
2024-03-25_1405,1922,0,False
2024-03-25_1505,1923,0,False
2024-03-25_1605,1924,0,False
2024-03-25_1705,1925,0,False
2024-03-25_1805,1926,0,False
2024-03-25_1905,1927,0,False
2024-03-25_2005,1928,0,False
2024-03-25_2105,1929,0,False
2024-03-25_2205,1930,0,False
2024-03-25_2305,1931,0,False
2024-03-26_0005,1932,0,False
2024-03-26_0105,1933,0,False
2024-03-26_0205,1934,0,False
2024-03-26_0305,1935,0,False
2024-03-26_0405,1936,0,False
2024-03-26_0505,1937,0,False
2024-03-26_0605,1938,0,False
2024-03-26_0705,1939,0,False
2024-03-26_0805,1940,0,False
2024-03-26_0905,1941,0,False
2024-03-26_1005,1942,0,False
2024-03-26_1105,1943,0,False
2024-03-26_1205,1944,0,False
2024-03-26_1305,1945,0,False
2024-03-26_1405,1946,0,False
2024-03-26_1505,1947,0,False
2024-03-26_1605,1948,0,False
2024-03-26_1705,1949,0,False
2024-03-26_1805,1950,0,False
2024-03-26_1905,1951,0,False
2024-03-26_2005,1952,0,False
2024-03-26_2105,1953,0,False
2024-03-26_2205,1954,0,False
2024-03-26_2305,1955,0,False
2024-03-27_0005,1956,0,False
2024-03-27_0105,1957,0,False
2024-03-27_0205,1958,0,False
2024-03-27_0305,1959,0,False
2024-03-27_0405,1960,0,False
2024-03-27_0505,1961,0,False
2024-03-27_0605,1962,0,False
2024-03-27_0705,1963,0,False
2024-03-27_0805,1964,0,False
2024-03-27_0905,1965,0,False
2024-03-27_1005,1966,0,False
2024-03-27_1105,1967,0,False
2024-03-27_1205,1968,0,False
2024-03-27_1305,1969,0,False
2024-03-27_1505,1971,0,False
2024-03-27_1605,1972,0,False
2024-03-28_1805,1998,0,False
2024-03-28_1905,1999,0,False
2024-03-28_2005,2000,0,False
2024-03-28_2105,2001,0,False
2024-03-28_2205,2002,0,False
2024-03-28_2305,2003,0,False
2024-03-29_0005,2004,0,False
2024-03-29_0105,2005,0,False
2024-03-29_0205,2006,0,False
2024-03-29_0305,2007,0,False
2024-03-29_0405,2008,0,False
2024-03-29_0505,2009,0,False
2024-03-29_0605,2010,0,False
2024-03-29_0705,2011,0,False
2024-03-29_0805,2012,0,False
2024-03-29_0905,2013,0,False
2024-03-29_1005,2014,0,False
2024-03-29_1105,2015,0,False
2024-03-29_1205,2016,0,False
2024-03-29_1305,2017,0,False
2024-03-29_1405,2018,481,False
2024-03-29_1505,2019,0,False
2024-03-29_1605,2020,0,False
2024-03-29_1705,2021,0,False
2024-03-29_1805,2022,1,False
2024-03-29_1905,2023,0,False
2024-03-29_2005,2024,0,False
2024-03-29_2105,2025,0,False
2024-03-29_2205,2026,0,False
2024-03-29_2305,2027,0,False
2024-03-30_0005,2028,0,False
2024-03-30_0105,2029,0,False
2024-03-30_0205,2030,0,False
2024-03-30_0305,2031,0,False
2024-03-30_0405,2032,0,False
2024-03-30_0505,2033,0,False
2024-03-30_0605,2034,0,False
2024-03-30_0705,2035,0,False
2024-03-30_0805,2036,0,False
2024-03-30_0905,2037,0,False
2024-03-30_1005,2038,0,False
2024-03-30_1105,2039,0,False
2024-03-30_1205,2040,0,False
2024-03-30_1305,2041,0,False
2024-03-30_1405,2042,0,False
2024-03-30_1505,2043,0,False
2024-03-30_1605,2044,0,False
2024-03-30_1705,2045,0,False
2024-03-30_1805,2046,0,False
2024-03-30_1905,2047,0,False
2024-03-30_2005,2048,0,False
2024-03-30_2105,2049,0,False
2024-03-30_2205,2050,0,False
2024-03-30_2305,2051,0,False
2024-03-31_0005,2052,0,False
2024-03-31_0105,2053,0,False
2024-03-31_0205,2054,0,False
2024-03-31_0305,2055,0,False
2024-03-31_0405,2056,0,False
2024-03-31_0505,2057,0,False
2024-03-31_0605,2058,0,False
2024-03-31_0705,2059,0,False
2024-03-31_0805,2060,0,False
2024-03-31_0905,2061,0,False
2024-03-31_1005,2062,0,False
2024-03-31_1105,2063,0,False
2024-03-31_1205,2064,0,False
2024-03-31_1305,2065,0,False
2024-03-31_1405,2066,0,False
2024-03-31_1505,2067,0,False
2024-03-31_1605,2068,0,False
2024-03-31_1705,2069,0,False
2024-03-31_1805,2070,0,False
2024-03-31_1905,2071,0,False
2024-03-31_2005,2072,0,False
2024-03-31_2105,2073,0,False
2024-03-31_2205,2074,0,False
2024-03-31_2305,2075,0,False
2024-04-01_0005,2076,0,False
2024-04-01_0105,2077,0,False
2024-04-01_0205,2078,0,False
2024-04-01_0305,2079,0,False
2024-04-01_0405,2080,0,False
2024-04-01_0505,2081,0,False
2024-04-01_0605,2082,0,False
2024-04-01_0705,2083,0,False
2024-04-01_0805,2084,0,False
2024-04-01_0905,2085,0,False
2024-04-01_1005,2086,0,False
2024-04-01_1105,2087,0,False
2024-04-01_1305,2089,0,False
2024-04-01_1405,2090,0,False
2024-04-01_1505,2091,0,False
2024-04-01_1605,2092,0,False
2024-04-01_1705,2093,0,False
2024-04-01_1805,2094,0,False
2024-04-01_1905,2095,0,False
2024-04-01_2005,2096,1,False
2024-04-01_2105,2097,0,False
2024-04-01_2205,2098,0,False
2024-04-01_2305,2099,0,False
2024-04-02_0005,2100,0,False
2024-04-02_0105,2101,2,False
2024-04-02_0205,2102,0,False
2024-04-02_0305,2103,0,False
2024-04-02_0405,2104,0,False
2024-04-02_0505,2105,0,False
2024-04-02_0605,2106,0,False
2024-04-02_0705,2107,0,False
2024-04-02_0805,2108,0,False
2024-04-02_0905,2109,0,False
2024-04-02_1005,2110,0,False
2024-04-02_1105,2111,0,False
2024-04-02_1205,2112,0,False
2024-04-02_1305,2113,0,False
2024-04-02_1405,2114,0,False
2024-04-02_1505,2115,0,False
2024-04-02_1605,2116,0,False
