Date,Hours From Start,Area,MayHavePlant
2023-11-09_2005,0,95318,False
2024-01-05_1105,1359,0,False
2024-01-05_1205,1360,0,False
2024-01-05_1305,1361,0,False
2024-01-05_1405,1362,0,False
2024-01-05_1505,1363,0,False
2024-01-05_1605,1364,0,False
2024-01-05_1705,1365,0,False
2024-01-05_1805,1366,0,False
2024-01-05_1905,1367,0,False
2024-01-05_2005,1368,0,False
2024-01-05_2105,1369,0,False
2024-01-05_2205,1370,0,False
2024-01-05_2305,1371,0,False
2024-01-06_0005,1372,0,False
2024-01-06_0105,1373,0,False
2024-01-06_0205,1374,0,False
2024-01-06_0305,1375,0,False
2024-01-06_0405,1376,0,False
2024-01-06_0505,1377,0,False
2024-01-06_0605,1378,0,False
2024-01-06_0705,1379,0,False
2024-01-06_0805,1380,0,False
2024-01-06_0905,1381,0,False
2024-01-06_1005,1382,0,False
2024-01-06_1105,1383,0,False
2024-01-06_1205,1384,0,False
2024-01-06_1305,1385,0,False
2024-01-06_1405,1386,0,False
2024-01-06_1505,1387,0,False
2024-01-06_1605,1388,0,False
2024-01-06_1705,1389,0,False
2024-01-06_1805,1390,0,False
2024-01-06_1905,1391,0,False
2024-01-06_2005,1392,0,False
2024-01-06_2105,1393,0,False
2024-01-06_2205,1394,0,False
2024-01-06_2305,1395,0,False
2024-01-07_0005,1396,0,False
2024-01-07_0105,1397,0,False
2024-01-07_0205,1398,0,False
2024-01-07_0305,1399,0,False
2024-01-07_0405,1400,0,False
2024-01-07_0505,1401,0,False
2024-01-07_0605,1402,0,False
2024-01-07_0705,1403,0,False
2024-01-07_0805,1404,0,False
2024-01-07_0905,1405,0,False
2024-01-07_1005,1406,0,False
2024-01-07_1105,1407,0,False
2024-01-07_1205,1408,0,False
2024-01-07_1305,1409,0,False
2024-01-07_1405,1410,0,False
2024-01-07_1505,1411,0,False
2024-01-07_1605,1412,0,False
2024-01-07_1705,1413,0,False
2024-01-07_1805,1414,0,False
2024-01-07_1905,1415,0,False
2024-01-07_2005,1416,0,False
2024-01-07_2105,1417,0,False
2024-01-07_2205,1418,0,False
2024-01-07_2305,1419,0,False
2024-01-08_0005,1420,0,False
2024-01-08_0105,1421,0,False
2024-01-08_0205,1422,0,False
2024-01-08_0305,1423,0,False
2024-01-08_0405,1424,0,False
2024-01-08_0505,1425,0,False
2024-01-08_0605,1426,0,False
2024-01-08_0705,1427,0,False
2024-01-08_0805,1428,0,False
2024-01-08_0905,1429,0,False
2024-01-08_1005,1430,0,False
2024-02-02_1405,2034,0,False
2024-02-02_1505,2035,0,False
2024-02-08_1605,2180,4,False
2024-02-13_1305,2297,1,False
2024-02-13_1405,2298,1,False
2024-02-13_1505,2299,1,False
2024-02-13_1605,2300,4,False
2024-02-13_1705,2301,10,False
2024-03-22_1105,3206,0,False
2024-03-22_1205,3207,0,False
2024-03-22_1305,3208,0,False
2024-03-22_1805,3213,0,False
2024-03-22_1905,3214,0,False
2024-03-22_2005,3215,0,False
2024-03-22_2105,3216,0,False
2024-03-22_2205,3217,0,False
2024-03-22_2305,3218,0,False
2024-03-23_0005,3219,0,False
2024-03-23_0105,3220,0,False
2024-03-23_0205,3221,0,False
2024-03-23_0305,3222,0,False
2024-03-23_0405,3223,0,False
2024-03-23_0505,3224,0,False
2024-03-23_0605,3225,0,False
2024-03-23_0705,3226,0,False
2024-03-23_0805,3227,0,False
2024-03-23_0905,3228,0,False
2024-03-23_1005,3229,0,False
2024-03-23_1105,3230,0,False
2024-03-23_1205,3231,0,False
2024-03-23_1305,3232,0,False
2024-03-23_1405,3233,0,False
2024-03-23_1505,3234,0,False
2024-03-23_1605,3235,0,False
2024-03-23_1705,3236,0,False
2024-03-23_1805,3237,0,False
2024-03-23_1905,3238,0,False
2024-03-23_2005,3239,0,False
2024-03-23_2105,3240,0,False
2024-03-23_2205,3241,0,False
2024-03-23_2305,3242,0,False
2024-03-24_0005,3243,0,False
2024-03-24_0105,3244,0,False
2024-03-24_0205,3245,0,False
2024-03-24_0305,3246,0,False
2024-03-24_0405,3247,0,False
2024-03-24_0505,3248,1,False
2024-03-24_0605,3249,0,False
2024-03-24_0705,3250,0,False
2024-03-24_0805,3251,0,False
2024-03-24_0905,3252,0,False
2024-03-24_1005,3253,0,False
2024-03-24_1105,3254,0,False
2024-03-24_1205,3255,0,False
2024-03-24_1305,3256,0,False
2024-03-24_1405,3257,0,False
2024-03-24_1505,3258,0,False
2024-03-24_1605,3259,0,False
2024-03-24_1705,3260,0,False
2024-03-24_1805,3261,0,False
2024-03-24_1905,3262,0,False
2024-03-24_2005,3263,0,False
2024-03-24_2105,3264,0,False
