Date,Hours From Start,Area,MayHavePlant
2024-01-15_1005,0,0,False
2024-01-15_1105,1,0,False
2024-01-15_1205,2,0,False
2024-01-15_1305,3,0,False
2024-01-15_1405,4,1,False
2024-01-15_1505,5,0,False
2024-01-15_1605,6,0,False
2024-01-15_1705,7,0,False
2024-01-15_1805,8,0,False
2024-01-15_1905,9,0,False
2024-01-15_2005,10,0,False
2024-01-15_2105,11,0,False
2024-01-15_2205,12,0,False
2024-01-15_2305,13,0,False
2024-01-16_0005,14,1,False
2024-01-16_0105,15,0,False
2024-01-16_0205,16,0,False
2024-01-16_0305,17,0,False
2024-01-16_0405,18,0,False
2024-01-16_0505,19,0,False
2024-01-16_0605,20,0,False
2024-01-16_0705,21,1,False
2024-01-16_0805,22,0,False
2024-01-16_0905,23,0,False
2024-01-16_1005,24,0,False
2024-01-16_1105,25,1,False
2024-01-16_1205,26,0,False
2024-01-16_1305,27,0,False
2024-01-16_1405,28,0,False
2024-01-16_1505,29,0,False
2024-01-16_1605,30,0,False
2024-01-16_1705,31,0,False
2024-01-16_1805,32,0,False
2024-01-16_1905,33,0,False
2024-01-16_2005,34,0,False
2024-01-16_2105,35,0,False
2024-01-16_2205,36,0,False
2024-01-16_2305,37,0,False
2024-01-17_0005,38,0,False
2024-01-17_0105,39,0,False
2024-01-17_0205,40,0,False
2024-01-17_0305,41,0,False
2024-01-17_0405,42,0,False
2024-01-17_0505,43,0,False
2024-01-17_0605,44,0,False
2024-01-17_0705,45,0,False
2024-01-17_0805,46,0,False
2024-01-17_0905,47,0,False
2024-01-17_1005,48,0,False
2024-01-17_1105,49,0,False
2024-01-17_1205,50,0,False
2024-01-17_1305,51,0,False
2024-01-17_1405,52,0,False
2024-01-17_1505,53,0,False
2024-01-18_1605,78,0,False
2024-01-18_1705,79,0,False
2024-01-18_1805,80,0,False
2024-02-02_1405,436,0,False
2024-02-02_1505,437,0,False
2024-02-08_1605,582,0,False
2024-02-13_1305,699,0,False
2024-02-13_1405,700,0,False
2024-02-13_1505,701,0,False
2024-02-13_1605,702,0,False
2024-02-13_1705,703,0,False
2024-03-22_1105,1608,0,False
2024-03-22_1205,1609,0,False
2024-03-22_1305,1610,0,False
2024-03-22_1805,1615,745,False
2024-03-22_1905,1616,0,False
2024-03-22_2005,1617,0,False
2024-03-22_2105,1618,0,False
2024-03-22_2205,1619,0,False
2024-03-22_2305,1620,0,False
2024-03-23_0005,1621,0,False
2024-03-23_0105,1622,0,False
2024-03-23_0205,1623,0,False
2024-03-23_0305,1624,0,False
2024-03-23_0405,1625,0,False
2024-03-23_0505,1626,0,False
2024-03-23_0605,1627,0,False
2024-03-23_0705,1628,0,False
2024-03-23_0805,1629,0,False
2024-03-23_0905,1630,0,False
2024-03-23_1005,1631,0,False
2024-03-23_1105,1632,0,False
2024-03-23_1205,1633,0,False
2024-03-23_1305,1634,0,False
2024-03-23_1405,1635,0,False
2024-03-23_1505,1636,0,False
2024-03-23_1605,1637,0,False
2024-03-23_1705,1638,0,False
2024-03-23_1805,1639,0,False
2024-03-23_1905,1640,0,False
2024-03-23_2005,1641,0,False
2024-03-23_2105,1642,0,False
2024-03-23_2205,1643,0,False
2024-03-23_2305,1644,0,False
2024-03-24_0005,1645,0,False
2024-03-24_0105,1646,0,False
2024-03-24_0205,1647,0,False
2024-03-24_0305,1648,0,False
2024-03-24_0405,1649,0,False
2024-03-24_0505,1650,0,False
2024-03-24_0605,1651,0,False
2024-03-24_0705,1652,0,False
2024-03-24_0805,1653,0,False
2024-03-24_0905,1654,0,False
2024-03-24_1005,1655,0,False
2024-03-24_1105,1656,0,False
2024-03-24_1205,1657,0,False
2024-03-24_1305,1658,0,False
2024-03-24_1405,1659,0,False
2024-03-24_1505,1660,0,False
2024-03-24_1605,1661,0,False
2024-03-24_1705,1662,0,False
2024-03-24_1805,1663,0,False
2024-03-24_1905,1664,0,False
2024-03-24_2005,1665,0,False
2024-03-24_2105,1666,0,False
2024-03-24_2205,1667,0,False
2024-03-24_2305,1668,0,False
2024-03-25_0005,1669,0,False
2024-03-25_0105,1670,0,False
2024-03-25_0205,1671,0,False
2024-03-25_0305,1672,0,False
2024-03-25_0405,1673,0,False
2024-03-25_0505,1674,0,False
2024-03-25_0605,1675,0,False
2024-03-25_0705,1676,0,False
2024-03-25_0805,1677,0,False
2024-03-25_0905,1678,0,False
2024-03-25_1005,1679,0,False
2024-03-25_1105,1680,0,False
2024-03-25_1205,1681,0,False
2024-03-25_1305,1682,0,False
2024-03-25_1405,1683,0,False
2024-03-25_1505,1684,0,False
2024-03-25_1605,1685,0,False
2024-03-25_1705,1686,0,False
2024-03-25_1805,1687,0,False
2024-03-25_1905,1688,0,False
2024-03-25_2005,1689,0,False
2024-03-25_2105,1690,0,False
2024-03-25_2205,1691,0,False
2024-03-25_2305,1692,0,False
2024-03-26_0005,1693,0,False
2024-03-26_0105,1694,0,False
2024-03-26_0205,1695,0,False
2024-03-26_0305,1696,0,False
2024-03-26_0405,1697,0,False
2024-03-26_0505,1698,0,False
2024-03-26_0605,1699,0,False
2024-03-26_0705,1700,0,False
2024-03-26_0805,1701,0,False
2024-03-26_0905,1702,0,False
2024-03-26_1005,1703,0,False
2024-03-26_1105,1704,0,False
2024-03-26_1205,1705,0,False
2024-03-26_1305,1706,0,False
2024-03-26_1405,1707,0,False
2024-03-26_1505,1708,0,False
2024-03-26_1605,1709,0,False
2024-03-26_1705,1710,0,False
2024-03-26_1805,1711,0,False
2024-03-26_1905,1712,0,False
2024-03-26_2005,1713,0,False
2024-03-26_2105,1714,0,False
2024-03-26_2205,1715,0,False
2024-03-26_2305,1716,0,False
2024-03-27_0005,1717,0,False
2024-03-27_0105,1718,0,False
2024-03-27_0205,1719,0,False
2024-03-27_0305,1720,0,False
2024-03-27_0405,1721,0,False
2024-03-27_0505,1722,0,False
2024-03-27_0605,1723,0,False
2024-03-27_0705,1724,0,False
2024-03-27_0805,1725,0,False
2024-03-27_0905,1726,0,False
2024-03-27_1005,1727,0,False
2024-03-27_1105,1728,0,False
2024-03-27_1205,1729,0,False
2024-03-27_1305,1730,0,False
2024-03-27_1405,1731,0,False
2024-03-27_1505,1732,0,False
2024-03-27_1605,1733,0,False
2024-03-28_1805,1759,0,False
2024-03-28_1905,1760,0,False
2024-03-28_2005,1761,0,False
2024-03-28_2105,1762,0,False
2024-03-28_2205,1763,0,False
2024-03-28_2305,1764,0,False
2024-03-29_0005,1765,0,False
2024-03-29_0105,1766,0,False
2024-03-29_0205,1767,0,False
2024-03-29_0305,1768,0,False
2024-03-29_0405,1769,0,False
2024-03-29_0505,1770,0,False
2024-03-29_0605,1771,0,False
2024-03-29_0705,1772,0,False
2024-03-29_0805,1773,0,False
2024-03-29_0905,1774,0,False
2024-03-29_1005,1775,0,False
2024-03-29_1105,1776,0,False
2024-03-29_1205,1777,0,False
2024-03-29_1305,1778,0,False
2024-03-29_1405,1779,0,False
2024-03-29_1505,1780,0,False
2024-03-29_1605,1781,0,False
2024-03-29_1705,1782,0,False
2024-03-29_1805,1783,0,False
2024-03-29_1905,1784,0,False
2024-03-29_2005,1785,0,False
2024-03-29_2105,1786,0,False
2024-03-29_2205,1787,0,False
2024-03-29_2305,1788,0,False
2024-03-30_0005,1789,0,False
2024-03-30_0105,1790,0,False
2024-03-30_0205,1791,0,False
2024-03-30_0305,1792,0,False
2024-03-30_0405,1793,0,False
2024-03-30_0505,1794,0,False
2024-03-30_0605,1795,0,False
2024-03-30_0705,1796,0,False
2024-03-30_0805,1797,0,False
2024-03-30_0905,1798,0,False
2024-03-30_1005,1799,0,False
2024-03-30_1105,1800,0,False
2024-03-30_1205,1801,0,False
2024-03-30_1305,1802,1,False
2024-03-30_1405,1803,0,False
2024-03-30_1505,1804,0,False
2024-03-30_1605,1805,0,False
2024-03-30_1705,1806,0,False
2024-03-30_1805,1807,0,False
2024-03-30_1905,1808,0,False
2024-03-30_2005,1809,0,False
2024-03-30_2105,1810,0,False
2024-03-30_2205,1811,0,False
2024-03-30_2305,1812,0,False
2024-03-31_0005,1813,0,False
2024-03-31_0105,1814,0,False
2024-03-31_0205,1815,0,False
2024-03-31_0305,1816,0,False
2024-03-31_0405,1817,0,False
2024-03-31_0505,1818,0,False
2024-03-31_0605,1819,0,False
2024-03-31_0705,1820,0,False
2024-03-31_0805,1821,0,False
2024-03-31_0905,1822,0,False
2024-03-31_1005,1823,0,False
2024-03-31_1105,1824,0,False
2024-03-31_1205,1825,0,False
2024-03-31_1305,1826,0,False
2024-03-31_1405,1827,0,False
2024-03-31_1505,1828,0,False
2024-03-31_1605,1829,0,False
2024-03-31_1705,1830,0,False
2024-03-31_1805,1831,0,False
2024-03-31_1905,1832,0,False
2024-03-31_2005,1833,0,False
2024-03-31_2105,1834,0,False
2024-03-31_2205,1835,0,False
2024-03-31_2305,1836,0,False
2024-04-01_0005,1837,0,False
2024-04-01_0105,1838,0,False
2024-04-01_0205,1839,0,False
2024-04-01_0305,1840,0,False
2024-04-01_0405,1841,0,False
2024-04-01_0505,1842,0,False
2024-04-01_0605,1843,0,False
2024-04-01_0705,1844,0,False
2024-04-01_0805,1845,0,False
2024-04-01_0905,1846,0,False
2024-04-01_1005,1847,0,False
2024-04-01_1105,1848,0,False
2024-04-01_1305,1850,0,False
2024-04-01_1405,1851,0,False
2024-04-01_1505,1852,0,False
2024-04-01_1605,1853,0,False
2024-04-01_1705,1854,0,False
2024-04-01_1805,1855,0,False
2024-04-01_1905,1856,0,False
2024-04-01_2005,1857,0,False
