Date,Hours From Start,Area,MayHavePlant
2024-01-12_1505,0,458,False
2024-01-15_1005,67,0,False
2024-01-15_1105,68,0,False
2024-01-15_1205,69,0,False
2024-01-15_1305,70,0,False
2024-01-15_1405,71,0,False
2024-01-15_1505,72,0,False
2024-01-15_1605,73,0,False
2024-01-15_1705,74,0,False
2024-01-15_1805,75,0,False
2024-01-15_1905,76,0,False
2024-01-15_2005,77,0,False
2024-01-15_2105,78,0,False
2024-01-15_2205,79,0,False
2024-01-15_2305,80,0,False
2024-01-16_0005,81,0,False
2024-01-16_0105,82,0,False
2024-01-16_0205,83,0,False
2024-01-16_0305,84,0,False
2024-01-16_0405,85,0,False
2024-01-16_0505,86,0,False
2024-01-16_0605,87,0,False
2024-01-16_0705,88,0,False
2024-01-16_0805,89,0,False
2024-01-16_0905,90,0,False
2024-01-16_1005,91,0,False
2024-01-16_1105,92,0,False
2024-01-16_1205,93,0,False
2024-01-16_1305,94,0,False
2024-01-16_1405,95,0,False
2024-01-16_1505,96,0,False
2024-01-16_1605,97,0,False
2024-01-16_1705,98,0,False
2024-01-16_1805,99,0,False
2024-01-16_1905,100,0,False
2024-01-16_2005,101,0,False
2024-01-16_2105,102,0,False
2024-01-16_2205,103,0,False
2024-01-16_2305,104,0,False
2024-01-17_0005,105,0,False
2024-01-17_0105,106,0,False
2024-01-17_0205,107,0,False
2024-01-17_0305,108,0,False
2024-01-17_0405,109,0,False
2024-01-17_0505,110,0,False
2024-01-17_0605,111,0,False
2024-01-17_0705,112,0,False
2024-01-17_0805,113,0,False
2024-01-17_0905,114,0,False
2024-01-17_1005,115,0,False
2024-01-17_1105,116,0,False
2024-01-17_1205,117,0,False
2024-01-17_1305,118,1,False
2024-01-17_1405,119,0,False
2024-01-17_1505,120,0,False
2024-01-18_1605,145,0,False
2024-01-18_1705,146,0,False
2024-01-18_1805,147,0,False
2024-02-02_1405,503,78394,False
2024-02-02_1505,504,76671,False
2024-02-08_1605,649,78385,False
2024-02-13_1305,766,77053,False
2024-02-13_1405,767,79064,False
2024-02-13_1505,768,79257,False
2024-02-13_1605,769,76049,False
2024-02-13_1705,770,77809,False
2024-03-22_1105,1675,51923,False
2024-03-22_1205,1676,52128,False
2024-03-22_1305,1677,54249,False
2024-03-22_1905,1683,61058,False
2024-03-22_2005,1684,62007,False
2024-03-22_2105,1685,60942,False
2024-03-22_2205,1686,64361,False
2024-03-22_2305,1687,64096,False
2024-03-23_0005,1688,62950,False
2024-03-23_0105,1689,67984,False
2024-03-23_0205,1690,63645,False
2024-03-23_0305,1691,63276,False
2024-03-23_0405,1692,64304,False
2024-03-23_0505,1693,63762,False
2024-03-23_0605,1694,0,False
2024-03-23_0705,1695,49903,False
2024-03-23_0805,1696,62467,False
2024-03-23_0905,1697,62162,False
2024-03-23_1005,1698,61996,False
2024-03-23_1105,1699,41792,False
2024-03-23_1205,1700,0,False
2024-03-23_1305,1701,62202,False
2024-03-23_1405,1702,62649,False
2024-03-23_1505,1703,61307,False
2024-03-23_1605,1704,60839,False
2024-03-23_1705,1705,59564,False
2024-03-23_1805,1706,59172,False
2024-03-23_1905,1707,62166,False
2024-03-23_2005,1708,63984,False
2024-03-23_2105,1709,63139,False
2024-03-23_2205,1710,62782,False
2024-03-23_2305,1711,62776,False
2024-03-24_0005,1712,64308,False
2024-03-24_0105,1713,64280,False
2024-03-24_0205,1714,62866,False
2024-03-24_0305,1715,0,False
2024-03-24_0405,1716,64136,False
2024-03-24_0505,1717,61630,False
2024-03-24_0605,1718,64479,False
2024-03-24_0705,1719,64580,False
2024-03-24_0805,1720,0,False
2024-03-24_0905,1721,61175,False
2024-03-24_1005,1722,0,False
2024-03-24_1105,1723,61017,False
2024-03-24_1205,1724,61295,False
2024-03-24_1305,1725,61541,False
2024-03-24_1405,1726,62094,False
2024-03-24_1505,1727,45041,False
2024-03-24_1605,1728,60078,False
2024-03-24_1705,1729,61094,False
2024-03-24_1805,1730,63062,False
2024-03-24_1905,1731,63375,False
2024-03-24_2005,1732,63298,False
2024-03-24_2105,1733,63463,False
2024-03-24_2205,1734,62553,False
2024-03-24_2305,1735,61925,False
2024-03-25_0005,1736,63402,False
2024-03-25_0105,1737,0,False
2024-03-25_0205,1738,64192,False
2024-03-25_0305,1739,64756,False
2024-03-25_0405,1740,0,False
2024-03-25_0505,1741,62805,False
2024-03-25_0605,1742,64071,False
2024-03-25_0705,1743,61692,False
2024-03-25_0805,1744,61544,False
2024-03-25_0905,1745,61995,False
2024-03-25_1005,1746,62911,False
2024-03-25_1105,1747,60920,False
2024-03-25_1205,1748,61558,False
2024-03-25_1305,1749,62114,False
2024-03-25_1405,1750,0,False
2024-03-25_1505,1751,60737,False
2024-03-25_1605,1752,61375,False
2024-03-25_1705,1753,65934,False
2024-03-25_1805,1754,61808,False
2024-03-25_1905,1755,61253,False
2024-03-25_2005,1756,64166,False
2024-03-25_2105,1757,63518,False
2024-03-25_2205,1758,62491,False
2024-03-25_2305,1759,61655,False
2024-03-26_0005,1760,63067,False
2024-03-26_0105,1761,62948,False
2024-03-26_0205,1762,62480,False
