Date,Hours From Start,Area,MayHavePlant
2023-11-09_2005,0,95318,False
2024-03-22_1405,3209,0,False
2024-03-22_1505,3210,0,False
2024-03-22_1605,3211,0,False
2024-03-22_1705,3212,0,False
2024-03-22_1805,3213,0,False
2024-03-22_1905,3214,0,False
2024-03-28_1805,3357,3,False
2024-03-28_1905,3358,2,False
2024-03-28_2005,3359,4,False
2024-03-28_2105,3360,0,False
2024-03-28_2205,3361,1,False
2024-03-28_2305,3362,2,False
2024-03-29_0005,3363,0,False
2024-03-29_0105,3364,1,False
2024-03-29_0205,3365,2,False
2024-03-29_0305,3366,1,False
2024-03-29_0405,3367,3,False
2024-03-29_0505,3368,0,False
2024-03-29_0605,3369,0,False
2024-03-29_0705,3370,0,False
2024-03-29_0805,3371,1,False
2024-03-29_0905,3372,0,False
2024-03-29_1005,3373,0,False
2024-03-29_1105,3374,3,False
2024-03-29_1205,3375,1,False
2024-03-29_1305,3376,8,False
2024-03-29_1405,3377,3,False
2024-03-29_1505,3378,10,False
2024-03-29_1605,3379,12,False
2024-03-29_1705,3380,15,False
2024-03-29_1805,3381,15,False
2024-03-29_1905,3382,15,False
2024-03-29_2005,3383,6,False
2024-03-29_2105,3384,6,False
2024-03-29_2205,3385,38,False
2024-03-29_2305,3386,28,False
2024-03-30_0005,3387,24,False
2024-03-30_0105,3388,25,False
2024-03-30_0205,3389,29,False
2024-03-30_0305,3390,35,False
2024-03-30_0405,3391,24,False
2024-03-30_0505,3392,22,False
2024-03-30_0605,3393,26,False
2024-03-30_0705,3394,25,False
2024-03-30_0805,3395,1,False
2024-03-30_0905,3396,22,False
2024-03-30_1005,3397,31,False
2024-03-30_1105,3398,26,False
2024-03-30_1205,3399,21,False
2024-03-30_1305,3400,19,False
2024-03-30_1405,3401,24,False
2024-03-30_1505,3402,34,False
2024-03-30_1605,3403,24,False
2024-03-30_1705,3404,22,False
2024-03-30_1805,3405,15,False
2024-03-30_1905,3406,51,False
2024-03-30_2005,3407,33,False
2024-03-30_2105,3408,8,False
2024-03-30_2205,3409,3,False
2024-03-30_2305,3410,12,False
2024-03-31_0005,3411,10,False
2024-03-31_0105,3412,8,False
2024-03-31_0205,3413,9,False
2024-03-31_0305,3414,5,False
2024-03-31_0405,3415,13,False
2024-03-31_0505,3416,3,False
2024-03-31_0605,3417,6,False
2024-03-31_0705,3418,16,False
2024-03-31_0805,3419,18,False
2024-03-31_0905,3420,15,False
2024-03-31_1005,3421,24,False
2024-03-31_1105,3422,31,False
2024-03-31_1205,3423,51,False
2024-03-31_1305,3424,72,False
2024-03-31_1405,3425,60,False
2024-03-31_1505,3426,83,False
2024-03-31_1605,3427,108,False
2024-03-31_1705,3428,237,False
2024-03-31_1805,3429,265,False
2024-03-31_1905,3430,512,False
2024-03-31_2005,3431,524,False
2024-03-31_2105,3432,637,False
2024-03-31_2205,3433,573,False
2024-03-31_2305,3434,908,False
2024-04-01_0005,3435,1002,False
2024-04-01_0105,3436,0,False
2024-04-01_0205,3437,1333,False
2024-04-01_0305,3438,1792,False
2024-04-01_0405,3439,2166,False
2024-04-01_0505,3440,2179,False
2024-04-01_0605,3441,2498,False
2024-04-01_0705,3442,2398,False
2024-04-01_0805,3443,3032,False
2024-04-01_0905,3444,2754,False
2024-04-01_1005,3445,2796,False
2024-04-01_1105,3446,3189,False
2024-04-01_1305,3448,4495,False
2024-04-01_1405,3449,4259,False
2024-04-01_1505,3450,4781,False
2024-04-01_1605,3451,5789,False
2024-04-01_1705,3452,5863,False
2024-04-01_1805,3453,7611,False
2024-04-01_1905,3454,8127,False
2024-04-01_2005,3455,7717,False
2024-04-01_2105,3456,8551,False
2024-04-01_2205,3457,0,False
2024-04-01_2305,3458,9403,False
2024-04-02_0005,3459,8795,False
2024-04-02_0105,3460,9905,False
2024-04-02_0205,3461,9487,False
2024-04-02_0305,3462,0,False
2024-04-02_0405,3463,10945,False
2024-04-02_0505,3464,9816,False
2024-04-02_0605,3465,9346,False
2024-04-02_0705,3466,9873,False
2024-04-02_0805,3467,10349,False
2024-04-02_0905,3468,10854,False
2024-04-02_1005,3469,10524,False
2024-04-02_1105,3470,10612,False
2024-04-02_1205,3471,0,False
2024-04-02_1305,3472,10150,False
2024-04-02_1405,3473,10047,False
2024-04-02_1505,3474,10003,False
2024-04-02_1605,3475,11012,False
2024-04-02_1705,3476,9716,False
2024-04-02_1805,3477,10318,False
2024-04-02_1905,3478,12252,False
2024-04-02_2005,3479,12221,False
2024-04-02_2105,3480,13602,False
2024-04-02_2205,3481,11742,False
2024-04-02_2305,3482,11790,False
2024-04-03_0005,3483,12536,False
2024-04-03_0105,3484,10988,False
2024-04-03_0205,3485,11441,False
2024-04-03_0305,3486,12597,False
2024-04-03_0405,3487,12428,False
2024-04-03_0505,3488,11550,False
2024-04-03_0605,3489,11309,False
2024-04-03_0705,3490,10759,False
2024-04-03_0805,3491,11121,False
2024-04-03_0905,3492,10067,False
2024-04-03_1005,3493,7122,False
2024-04-03_1105,3494,8771,False
2024-04-03_1205,3495,8356,False
2024-04-03_1305,3496,8783,False
2024-04-03_1405,3497,12777,False
2024-04-03_1505,3498,11872,False
2024-04-03_1605,3499,13591,False
2024-04-03_1705,3500,12807,False
2024-04-03_1805,3501,13606,False
2024-04-03_1905,3502,12094,False
2024-04-03_2005,3503,7554,False
2024-04-03_2105,3504,7740,False
2024-04-03_2205,3505,7237,False
2024-04-03_2305,3506,7093,False
2024-04-04_0005,3507,5959,False
2024-04-04_0105,3508,9312,False
2024-04-04_0205,3509,9592,False
2024-04-04_0305,3510,9634,False
2024-04-04_0405,3511,7077,False
2024-04-04_0505,3512,8076,False
2024-04-04_0605,3513,9478,False
2024-04-04_0705,3514,0,False
2024-04-04_0805,3515,8546,False
2024-04-04_0905,3516,10513,False
2024-04-04_1005,3517,8492,False
2024-04-04_1105,3518,10511,False
