Date,Hours From Start,Area,MayHavePlant
2024-03-22_1705,0,7,False
2024-03-22_1805,1,14,False
2024-03-22_1905,2,7,False
2024-03-22_2005,3,24,False
2024-03-22_2105,4,36,False
2024-03-22_2205,5,29,False
2024-03-22_2305,6,42,False
2024-03-23_0005,7,67,False
2024-03-23_0105,8,131,False
2024-03-23_0205,9,125,False
2024-03-23_0305,10,37,False
2024-03-23_0405,11,72,False
2024-03-23_0505,12,43,False
2024-03-23_0605,13,52,False
2024-03-23_0705,14,68,False
2024-03-23_0805,15,54,False
2024-03-23_0905,16,76,False
2024-03-23_1005,17,20,False
2024-03-23_1105,18,27,False
2024-03-23_1205,19,35,False
2024-03-23_1305,20,26,False
2024-03-23_1405,21,47,False
2024-03-23_1505,22,23,False
2024-03-23_1605,23,24,False
2024-03-23_1705,24,0,False
2024-03-23_1805,25,29,False
2024-03-23_1905,26,25,False
2024-03-23_2005,27,44,False
2024-03-23_2105,28,49,False
2024-03-23_2205,29,30,False
2024-03-23_2305,30,29,False
2024-03-24_0005,31,74,False
2024-03-24_0105,32,104,False
2024-03-24_0205,33,41,False
2024-03-24_0305,34,60,False
2024-03-24_0405,35,35,False
2024-03-24_0505,36,62,False
2024-03-24_0605,37,58,False
2024-03-24_0705,38,135,False
2024-03-24_0805,39,80,False
2024-03-24_0905,40,59,False
2024-03-24_1005,41,14,False
2024-03-24_1105,42,21,False
2024-03-24_1205,43,18,False
2024-03-24_1305,44,0,False
2024-03-24_1405,45,26,False
2024-03-24_1505,46,18,False
2024-03-24_1605,47,31,False
2024-03-24_1705,48,20,False
2024-03-24_1805,49,29,False
2024-03-24_1905,50,18,False
2024-03-24_2005,51,7,False
2024-03-24_2105,52,18,False
2024-03-24_2205,53,26,False
2024-03-24_2305,54,27,False
2024-03-25_0005,55,64,False
2024-03-25_0105,56,39,False
2024-03-25_0205,57,40,False
2024-03-25_0305,58,68,False
2024-03-25_0405,59,82,False
2024-03-25_0505,60,47,False
2024-03-25_0605,61,90,False
2024-03-25_0705,62,135,False
2024-03-25_0805,63,95,False
2024-03-25_0905,64,100,False
2024-03-25_1005,65,29,False
