Date,Hours From Start,Area,MayHavePlant
2024-03-22_1405,0,0,False
2024-03-22_1505,1,1,False
2024-03-22_1605,2,0,False
2024-03-22_1705,3,0,False
2024-03-22_1805,4,0,False
2024-03-23_1705,27,4,False
2024-03-23_1805,28,3,False
2024-03-23_1905,29,8,False
2024-03-23_2005,30,7,False
2024-03-23_2105,31,1,False
2024-03-23_2205,32,2,False
2024-03-23_2305,33,1,False
2024-03-24_0005,34,4,False
2024-03-24_0105,35,1,False
2024-03-24_0205,36,0,False
2024-03-24_0305,37,6,False
2024-03-24_0405,38,16,False
2024-03-24_0505,39,11,False
2024-03-24_0605,40,17,False
2024-03-24_0705,41,15,False
2024-03-24_0805,42,6,False
2024-03-24_0905,43,15,False
2024-03-24_1005,44,8,False
2024-03-24_1105,45,9,False
2024-03-24_1205,46,6,False
2024-03-24_1305,47,0,False
2024-03-24_1405,48,0,False
2024-03-24_1505,49,8,False
2024-03-24_1605,50,0,False
2024-03-24_1705,51,2,False
2024-03-24_1805,52,2,False
2024-03-24_1905,53,0,False
2024-03-24_2005,54,1,False
2024-03-24_2105,55,1,False
2024-03-24_2205,56,0,False
2024-03-24_2305,57,5,False
2024-03-25_0005,58,3,False
2024-03-25_0105,59,6,False
2024-03-25_0205,60,14,False
2024-03-25_0305,61,5,False
2024-03-25_0405,62,5,False
2024-03-25_0505,63,2,False
2024-03-25_0605,64,15,False
2024-03-25_0705,65,8,False
2024-03-25_0805,66,0,False
2024-03-25_0905,67,8,False
2024-03-27_1105,117,389,False
2024-03-27_1205,118,255,False
2024-03-27_1305,119,251,False
2024-03-27_1405,120,259,False
2024-03-27_1505,121,470,False
2024-03-27_1605,122,291,False
2024-03-27_1705,123,397,False
2024-03-27_1805,124,486,False
2024-03-27_1905,125,345,False
2024-03-27_2005,126,354,False
2024-03-27_2105,127,275,False
2024-03-27_2205,128,205,False
2024-03-27_2305,129,173,False
2024-03-28_0005,130,357,False
2024-03-28_0105,131,344,False
2024-03-28_0205,132,355,False
2024-03-28_0305,133,260,False
2024-03-28_0405,134,160,False
2024-03-28_0505,135,168,False
2024-03-28_1005,140,0,False
2024-03-28_1905,149,107,False
2024-03-28_2005,150,77,False
2024-03-28_2105,151,95,False
2024-03-28_2205,152,126,False
2024-03-28_2305,153,117,False
2024-03-29_0005,154,151,False
2024-03-29_0105,155,178,False
2024-03-29_0205,156,163,False
2024-03-29_0305,157,99,False
2024-03-29_0405,158,0,False
2024-03-29_0505,159,93,False
2024-03-29_0605,160,96,False
2024-03-29_0705,161,105,False
2024-03-29_0805,162,0,False
2024-03-29_0905,163,124,False
2024-03-29_1005,164,112,False
2024-03-29_1105,165,126,False
2024-03-29_1205,166,0,False
2024-03-29_1305,167,81,False
2024-03-29_1405,168,156,False
2024-03-29_1505,169,169,False
2024-03-29_1605,170,116,False
2024-03-29_1705,171,146,False
2024-03-29_1805,172,172,False
2024-03-29_1905,173,132,False
2024-03-29_2005,174,121,False
2024-03-29_2105,175,179,False
2024-03-29_2205,176,0,False
2024-03-29_2305,177,153,False
2024-03-30_0005,178,198,False
2024-03-30_0105,179,193,False
2024-03-30_0205,180,155,False
2024-03-30_0305,181,203,False
2024-03-30_0405,182,175,False
2024-03-30_0505,183,182,False
2024-03-30_0605,184,0,False
2024-03-30_0705,185,180,False
2024-03-30_0805,186,166,False
2024-03-30_0905,187,153,False
2024-03-30_1005,188,105,False
2024-03-30_1105,189,0,False
2024-03-30_1205,190,0,False
2024-03-30_1305,191,147,False
2024-03-30_1405,192,0,False
2024-03-30_1505,193,284,False
2024-03-30_1605,194,286,False
2024-03-30_1705,195,318,False
2024-03-30_1805,196,360,False
2024-03-30_1905,197,331,False
2024-03-30_2005,198,372,False
2024-03-30_2105,199,274,False
2024-03-30_2205,200,242,False
2024-03-30_2305,201,0,False
2024-03-31_0005,202,322,False
2024-03-31_0105,203,315,False
2024-03-31_0205,204,433,False
2024-03-31_0305,205,422,False
2024-03-31_0405,206,402,False
2024-03-31_0505,207,426,False
2024-03-31_0605,208,409,False
2024-03-31_0705,209,332,False
2024-03-31_0805,210,459,False
2024-03-31_0905,211,436,False
2024-03-31_1005,212,339,False
2024-03-31_1105,213,334,False
2024-03-31_1205,214,0,False
2024-03-31_1305,215,308,False
2024-03-31_1405,216,0,False
2024-03-31_1505,217,388,False
2024-03-31_1605,218,261,False
2024-03-31_1705,219,390,False
2024-03-31_1805,220,286,False
2024-03-31_1905,221,0,False
2024-03-31_2005,222,219,False
2024-03-31_2105,223,172,False
2024-03-31_2205,224,150,False
2024-03-31_2305,225,267,False
2024-04-01_0005,226,236,False
2024-04-01_0105,227,227,False
2024-04-01_0205,228,244,False
2024-04-01_0305,229,244,False
2024-04-01_0405,230,229,False
2024-04-01_0505,231,317,False
2024-04-01_0605,232,0,False
2024-04-01_0705,233,193,False
2024-04-01_0805,234,596,False
2024-04-01_0905,235,521,False
2024-04-01_1005,236,542,False
