Date,Hours From Start,Area,MayHavePlant
2024-03-22_1405,0,0,False
2024-03-22_1505,1,1,False
2024-03-22_1605,2,1,False
2024-03-22_1705,3,2,False
2024-03-22_1805,4,2,False
2024-03-23_1705,27,0,False
2024-03-23_1805,28,2,False
2024-03-23_1905,29,0,False
2024-03-23_2005,30,0,False
2024-03-23_2105,31,0,False
2024-03-23_2205,32,0,False
2024-03-23_2305,33,0,False
2024-03-24_0005,34,2,False
2024-03-24_0105,35,0,False
2024-03-24_0205,36,0,False
2024-03-24_0305,37,0,False
2024-03-24_0405,38,1,False
2024-03-24_0505,39,2,False
2024-03-24_0605,40,1,False
2024-03-24_0705,41,0,False
2024-03-24_0805,42,0,False
2024-03-24_0905,43,0,False
2024-03-24_1005,44,0,False
2024-03-24_1105,45,3,False
2024-03-24_1205,46,0,False
2024-03-24_1305,47,0,False
2024-03-24_1405,48,0,False
2024-03-24_1505,49,0,False
2024-03-24_1605,50,0,False
2024-03-24_1705,51,2,False
2024-03-24_1805,52,2,False
2024-03-24_1905,53,0,False
2024-03-24_2005,54,0,False
2024-03-24_2105,55,0,False
2024-03-24_2205,56,0,False
2024-03-24_2305,57,0,False
2024-03-25_0005,58,3,False
2024-03-25_0105,59,0,False
2024-03-25_0205,60,1,False
2024-03-25_0305,61,2,False
2024-03-25_0405,62,1,False
2024-03-25_0505,63,1,False
2024-03-25_0605,64,0,False
2024-03-25_0705,65,0,False
2024-03-25_0805,66,1,False
2024-03-25_0905,67,0,False
2024-03-27_1105,117,9,False
2024-03-27_1205,118,4,False
2024-03-27_1305,119,24,False
2024-03-27_1405,120,27,False
2024-03-27_1505,121,12,False
2024-03-27_1605,122,18,False
2024-03-27_1705,123,0,False
2024-03-27_1805,124,0,False
2024-03-27_1905,125,19,False
2024-03-27_2005,126,11,False
2024-03-27_2105,127,5,False
2024-03-27_2205,128,0,False
2024-03-27_2305,129,8,False
2024-03-28_0005,130,37,False
2024-03-28_0105,131,3,False
2024-03-28_0205,132,32,False
2024-03-28_0305,133,17,False
2024-03-28_0405,134,12,False
2024-03-28_0505,135,32,False
2024-03-28_1805,148,6,False
2024-03-28_1905,149,6,False
2024-03-28_2005,150,4,False
2024-03-28_2105,151,15,False
2024-03-28_2205,152,0,False
2024-03-28_2305,153,4,False
2024-03-29_0005,154,5,False
2024-03-29_0105,155,0,False
2024-03-29_0205,156,0,False
2024-03-29_0305,157,1,False
2024-03-29_0405,158,0,False
2024-03-29_0505,159,9,False
2024-03-29_0605,160,5,False
2024-03-29_0705,161,2,False
2024-03-29_0805,162,0,False
2024-03-29_0905,163,5,False
2024-03-29_1005,164,20,False
2024-03-29_1105,165,15,False
2024-03-29_1205,166,7,False
2024-03-29_1305,167,7,False
2024-03-29_1405,168,7,False
2024-03-29_1505,169,5,False
2024-03-29_1605,170,10,False
2024-03-29_1705,171,12,False
2024-03-29_1805,172,20,False
2024-03-29_1905,173,11,False
2024-03-29_2005,174,15,False
2024-03-29_2105,175,12,False
2024-03-29_2205,176,9,False
2024-03-29_2305,177,11,False
2024-03-30_0005,178,4,False
2024-03-30_0105,179,13,False
2024-03-30_0205,180,24,False
2024-03-30_0305,181,22,False
2024-03-30_0405,182,19,False
2024-03-30_0505,183,28,False
2024-03-30_0605,184,32,False
2024-03-30_0705,185,13,False
2024-03-30_0805,186,11,False
2024-03-30_0905,187,7,False
2024-03-30_1005,188,13,False
2024-03-30_1105,189,7,False
2024-03-30_1205,190,5,False
2024-03-30_1305,191,13,False
2024-03-30_1405,192,23,False
2024-03-30_1505,193,0,False
2024-03-30_1605,194,23,False
2024-03-30_1705,195,39,False
2024-03-30_1805,196,0,False
2024-03-30_1905,197,3,False
2024-03-30_2005,198,5,False
2024-03-30_2105,199,6,False
2024-03-30_2205,200,1,False
2024-03-30_2305,201,6,False
2024-03-31_0005,202,6,False
2024-03-31_0105,203,7,False
2024-03-31_0205,204,4,False
2024-03-31_0305,205,3,False
2024-03-31_0405,206,2,False
2024-03-31_0505,207,2,False
2024-03-31_0605,208,0,False
2024-03-31_0705,209,2,False
2024-03-31_0805,210,3,False
2024-03-31_0905,211,2,False
2024-03-31_1005,212,2,False
2024-03-31_1105,213,0,False
2024-03-31_1205,214,5,False
2024-03-31_1305,215,0,False
2024-03-31_1405,216,10,False
2024-03-31_1505,217,0,False
2024-03-31_1605,218,0,False
2024-03-31_1705,219,0,False
2024-03-31_1805,220,2,False
2024-03-31_1905,221,24,False
2024-03-31_2005,222,7,False
2024-03-31_2105,223,6,False
2024-03-31_2205,224,5,False
2024-03-31_2305,225,0,False
2024-04-01_0005,226,3,False
2024-04-01_0105,227,1,False
2024-04-01_0205,228,12,False
2024-04-01_0305,229,8,False
2024-04-01_0405,230,7,False
2024-04-01_0505,231,6,False
2024-04-01_0605,232,6,False
2024-04-01_0705,233,11,False
2024-04-01_0805,234,0,False
2024-04-01_0905,235,2,False
2024-04-01_1005,236,11,False
