Date,Hours From Start,Area,MayHavePlant
2024-03-22_1405,0,0,False
2024-03-22_1505,1,0,False
2024-03-22_1605,2,0,False
2024-03-22_1705,3,0,False
2024-03-22_1805,4,1,False
2024-03-22_1905,5,0,False
2024-03-22_2005,6,0,False
2024-03-22_2105,7,0,False
2024-03-22_2205,8,0,False
2024-03-22_2305,9,0,False
2024-03-23_0005,10,1,False
2024-03-23_0105,11,0,False
2024-03-23_0205,12,0,False
2024-03-23_0305,13,0,False
2024-03-23_0405,14,0,False
2024-03-23_0505,15,0,False
2024-03-23_0605,16,0,False
2024-03-23_0705,17,0,False
2024-03-23_0805,18,0,False
2024-03-23_0905,19,0,False
2024-03-23_1005,20,0,False
2024-03-23_1105,21,0,False
2024-03-23_1205,22,0,False
2024-03-23_1305,23,0,False
2024-03-23_1405,24,0,False
2024-03-23_1505,25,0,False
2024-03-23_1605,26,0,False
2024-03-23_1705,27,1,False
2024-03-23_1805,28,0,False
2024-03-23_1905,29,0,False
2024-03-23_2005,30,0,False
2024-03-23_2105,31,0,False
2024-03-23_2205,32,0,False
2024-03-23_2305,33,0,False
2024-03-24_0005,34,1,False
2024-03-24_0105,35,0,False
2024-03-24_0205,36,0,False
2024-03-24_0305,37,0,False
2024-03-24_0405,38,0,False
2024-03-24_0505,39,1,False
2024-03-24_0605,40,1,False
2024-03-24_0705,41,0,False
2024-03-24_0805,42,0,False
2024-03-24_0905,43,0,False
2024-03-24_1005,44,0,False
2024-03-24_1105,45,0,False
2024-03-24_1205,46,1,False
2024-03-24_1305,47,0,False
2024-03-24_1405,48,0,False
2024-03-24_1505,49,0,False
2024-03-24_1605,50,0,False
2024-03-24_1705,51,0,False
2024-03-24_1805,52,0,False
2024-03-24_1905,53,0,False
2024-03-24_2005,54,0,False
2024-03-24_2105,55,3,False
2024-03-24_2205,56,0,False
2024-03-24_2305,57,0,False
2024-03-25_0005,58,0,False
2024-03-25_0105,59,1,False
2024-03-25_0205,60,1,False
2024-03-25_0305,61,3,False
2024-03-25_0405,62,1,False
2024-03-25_0505,63,0,False
2024-03-25_0605,64,0,False
2024-03-25_0705,65,0,False
2024-03-25_0805,66,0,False
2024-03-25_0905,67,0,False
2024-03-27_1105,117,0,False
2024-03-27_1205,118,0,False
2024-03-27_1305,119,0,False
2024-03-27_1405,120,0,False
2024-03-27_1505,121,0,False
2024-03-27_1605,122,0,False
2024-03-27_1705,123,0,False
2024-03-27_1805,124,0,False
2024-03-27_1905,125,0,False
2024-03-27_2005,126,0,False
2024-03-27_2105,127,0,False
2024-03-27_2205,128,0,False
2024-03-27_2305,129,0,False
2024-03-28_0005,130,0,False
2024-03-28_0105,131,2,False
2024-03-28_0205,132,0,False
2024-03-28_0305,133,0,False
2024-03-28_0405,134,0,False
2024-03-28_0505,135,0,False
2024-03-28_1705,147,664,False
2024-03-28_1805,148,0,False
2024-03-28_1905,149,1,False
2024-03-28_2005,150,0,False
2024-03-28_2105,151,0,False
2024-03-28_2205,152,0,False
2024-03-28_2305,153,0,False
2024-03-29_0005,154,0,False
2024-03-29_0105,155,0,False
2024-03-29_0205,156,0,False
2024-03-29_0305,157,0,False
2024-03-29_0405,158,0,False
