Date,Hours From Start,Area,MayHavePlant
2024-03-22_1405,0,0,False
2024-03-22_1505,1,0,False
2024-03-22_1605,2,0,False
2024-03-22_1705,3,0,False
2024-03-22_1805,4,0,False
2024-03-22_1905,5,0,False
2024-03-28_1805,148,4,False
2024-03-28_1905,149,0,False
2024-03-28_2005,150,2,False
2024-03-28_2105,151,1,False
2024-03-28_2205,152,1,False
2024-03-28_2305,153,0,False
2024-03-29_0005,154,0,False
2024-03-29_0105,155,0,False
2024-03-29_0205,156,1,False
2024-03-29_0305,157,0,False
2024-03-29_0405,158,0,False
2024-03-29_0505,159,0,False
2024-03-29_0605,160,0,False
2024-03-29_0705,161,0,False
2024-03-29_0805,162,0,False
2024-03-29_0905,163,0,False
2024-03-29_1005,164,1,False
2024-03-29_1105,165,1,False
2024-03-29_1205,166,0,False
2024-03-29_1305,167,153,False
2024-03-29_1405,168,64,False
2024-03-29_1505,169,65,False
2024-03-29_1605,170,115,False
2024-03-29_1705,171,107,False
2024-03-29_1805,172,104,False
2024-03-29_1905,173,83,False
2024-03-29_2005,174,51,False
2024-03-29_2105,175,96,False
2024-03-29_2205,176,105,False
2024-03-29_2305,177,141,False
2024-03-30_0005,178,75,False
2024-03-30_0105,179,63,False
2024-03-30_0205,180,195,False
2024-03-30_0305,181,122,False
2024-03-30_0405,182,157,False
2024-03-30_0505,183,113,False
2024-03-30_0605,184,0,False
2024-03-30_0705,185,163,False
2024-03-30_0805,186,197,False
2024-03-30_0905,187,56,False
2024-03-30_1005,188,41,False
2024-03-30_1105,189,63,False
2024-03-30_1205,190,56,False
2024-03-30_1305,191,78,False
2024-03-30_1405,192,104,False
2024-03-30_1505,193,0,False
2024-03-30_1605,194,72,False
2024-03-30_1705,195,48,False
2024-03-30_1805,196,102,False
2024-03-30_1905,197,53,False
2024-03-30_2005,198,0,False
2024-03-30_2105,199,137,False
2024-03-30_2205,200,109,False
2024-03-30_2305,201,93,False
2024-03-31_0005,202,128,False
2024-03-31_0105,203,164,False
2024-03-31_0205,204,208,False
2024-03-31_0305,205,195,False
2024-03-31_0405,206,116,False
2024-03-31_0505,207,173,False
2024-03-31_0605,208,129,False
2024-03-31_0705,209,71,False
2024-03-31_0805,210,95,False
2024-03-31_0905,211,48,False
2024-03-31_1005,212,69,False
2024-03-31_1105,213,64,False
2024-03-31_1205,214,79,False
2024-03-31_1305,215,92,False
2024-03-31_1405,216,80,False
2024-03-31_1505,217,70,False
2024-03-31_1605,218,87,False
2024-03-31_1705,219,226,False
2024-03-31_1805,220,205,False
2024-03-31_1905,221,345,False
2024-03-31_2005,222,279,False
2024-03-31_2105,223,389,False
2024-03-31_2205,224,421,False
2024-03-31_2305,225,653,False
2024-04-01_0005,226,601,False
2024-04-01_0105,227,671,False
2024-04-01_0205,228,756,False
2024-04-01_0305,229,930,False
2024-04-01_0405,230,0,False
2024-04-01_0505,231,1379,False
2024-04-01_0605,232,1308,False
2024-04-01_0705,233,1640,False
2024-04-01_0805,234,1622,False
2024-04-01_0905,235,1113,False
2024-04-01_1005,236,883,False
2024-04-01_1105,237,1188,False
2024-04-01_1205,238,1029,False
2024-04-01_1305,239,1428,False
